
<<START>>,<<FMS_SUPPLY_CFORM_DTL(DLNG)>>,,,, 	(07-JUL-2025 15:17:39)
 
COLUMN_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
COLUMN_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
COLUMN_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
2,35,1,0,2,0,F, 	(07-JUL-2025 15:17:40)
2,35,1,0,2,0,F, 	(07-JUL-2025 15:17:40)
2,35,1,0,2,0,F, 	(07-JUL-2025 15:17:40)
2,35,1,0,2,0,F, 	(07-JUL-2025 15:17:40)
COLUMN_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
COLUMN_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
2,35,1,0,3,0,F, 	(07-JUL-2025 15:17:40)
2,35,1,0,3,0,F, 	(07-JUL-2025 15:17:40)
2,35,1,0,3,0,F, 	(07-JUL-2025 15:17:40)
2,35,1,0,3,0,F, 	(07-JUL-2025 15:17:40)
COLUMN_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
COLUMN_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
2,35,1,0,4,0,F, 	(07-JUL-2025 15:17:40)
2,35,1,0,4,0,F, 	(07-JUL-2025 15:17:40)
2,35,1,0,4,0,F, 	(07-JUL-2025 15:17:40)
2,35,1,0,4,0,F, 	(07-JUL-2025 15:17:40)
COLUMN_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
COLUMN_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
2,35,1,0,5,0,F, 	(07-JUL-2025 15:17:40)
2,35,1,0,5,0,F, 	(07-JUL-2025 15:17:40)
2,35,1,0,5,0,F, 	(07-JUL-2025 15:17:40)
2,35,1,0,5,0,F, 	(07-JUL-2025 15:17:40)
COLUMN_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
COLUMN_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
2,35,1,0,6,0,F, 	(07-JUL-2025 15:17:40)
2,35,1,0,6,0,F, 	(07-JUL-2025 15:17:40)
2,35,1,0,6,0,F, 	(07-JUL-2025 15:17:40)
2,35,1,0,6,0,F, 	(07-JUL-2025 15:17:40)
