
<<START>>,<<FMS_SUPPLY_CONT_PLANT(DLNG)>>,,,, 	(12-JUN-2025 12:13:13)
 
COUNTERPARTY_ABBR,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,PLANT_SEQ_NO,TIMESTAMP,
SGIPL,1,0,5, 	(12-JUN-2025 12:13:14)
SGIPL,1,0,5, 	(12-JUN-2025 12:13:14)
SGIPL,1,0,3, 	(12-JUN-2025 12:13:14)
SGIPL,1,0,5, 	(12-JUN-2025 12:13:14)
SGIPL,1,0,3, 	(12-JUN-2025 12:13:14)
SGIPL,1,0,3, 	(12-JUN-2025 12:13:14)
SGIPL,1,0,5, 	(12-JUN-2025 12:13:14)
SGIPL,1,0,5, 	(12-JUN-2025 12:13:14)
SGIPL,1,0,5, 	(12-JUN-2025 12:13:14)
SGIPL,1,0,5, 	(12-JUN-2025 12:13:14)
SGIPL,1,0,5, 	(12-JUN-2025 12:13:14)
SGIPL,1,0,3, 	(12-JUN-2025 12:13:14)
SGIPL,1,0,5, 	(12-JUN-2025 12:13:14)
SGIPL,1,0,3, 	(12-JUN-2025 12:13:14)
SGIPL,1,0,5, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
BIL,1,0,1, 	(12-JUN-2025 12:13:14)
