
<<START>>,<<FMS_DLNG_INVOICE_MST_CR_DR>>,,,, 	(19-JAN-2026 10:05:05)
 
COMPANY_CD,DR_CR_REF_NO,DR_CR_SEQ,FINANCIAL_YEAR,INVOICE_NO,INVOICE_SEQ,TIMESTAMP,
SGIPL,S,, 	(19-JAN-2026 10:05:06)
SGIPL,S,, 	(19-JAN-2026 10:05:06)
SGIPL,S,, 	(19-JAN-2026 10:05:06)
SGIPL,S,, 	(19-JAN-2026 10:05:06)
SGIPL,S,, 	(19-JAN-2026 10:05:06)
SGIPL,V,, 	(19-JAN-2026 10:05:06)
RIPL,S,, 	(19-JAN-2026 10:05:06)
CP,S,, 	(19-JAN-2026 10:05:06)
HALHFGL,S,, 	(19-JAN-2026 10:05:06)
AGP CGD,S,, 	(19-JAN-2026 10:05:06)
AGP CGD,S,, 	(19-JAN-2026 10:05:06)
MINDA,S,, 	(19-JAN-2026 10:05:06)
MINDA,S,, 	(19-JAN-2026 10:05:06)
MINDA,S,, 	(19-JAN-2026 10:05:06)
MINDA,S,, 	(19-JAN-2026 10:05:06)
MINDA,S,, 	(19-JAN-2026 10:05:06)
MINDA,S,, 	(19-JAN-2026 10:05:06)
LEIPL,S,, 	(19-JAN-2026 10:05:06)
LEIPL,S,, 	(19-JAN-2026 10:05:06)
LEIPL,S,, 	(19-JAN-2026 10:05:06)
SCHOTT,S,, 	(19-JAN-2026 10:05:06)
EXXARO,S,, 	(19-JAN-2026 10:05:06)
EXXARO,S,, 	(19-JAN-2026 10:05:06)
EXXARO,S,, 	(19-JAN-2026 10:05:06)
EXXARO,S,, 	(19-JAN-2026 10:05:06)
KAJARIA,S,, 	(19-JAN-2026 10:05:06)
KAJARIA,S,, 	(19-JAN-2026 10:05:06)
JKPAPER,S,, 	(19-JAN-2026 10:05:06)
JKPAPER,S,, 	(19-JAN-2026 10:05:06)
JKPAPER,S,, 	(19-JAN-2026 10:05:06)
JKPAPER,S,, 	(19-JAN-2026 10:05:06)
JKPAPER,S,, 	(19-JAN-2026 10:05:06)
VIRGO,S,, 	(19-JAN-2026 10:05:06)
VIRGO,S,, 	(19-JAN-2026 10:05:06)
VIRGO,S,, 	(19-JAN-2026 10:05:06)
GLIL,S,, 	(19-JAN-2026 10:05:06)
VIGASLD,S,, 	(19-JAN-2026 10:05:06)
VIGASLD,S,, 	(19-JAN-2026 10:05:06)

TOTAL DATA EXTRACTED :,38,,,, 	(19-JAN-2026 10:05:06)
 
<<END>>,<<FMS_DLNG_INVOICE_MST_CR_DR>>,,,, 	(19-JAN-2026 10:05:06)
 
<<START>>,<<FMS_DLNG_INV_CRDR_REF>>,,,, 	(19-JAN-2026 10:05:06)
 
COMPANY_CD,FINANCIAL_YEAR,INVOICE_SEQ,TIMESTAMP,
SGIPL,S,, 	(19-JAN-2026 10:05:06)
SGIPL,S,, 	(19-JAN-2026 10:05:06)
SGIPL,S,, 	(19-JAN-2026 10:05:06)
SGIPL,S,, 	(19-JAN-2026 10:05:06)
SGIPL,V,, 	(19-JAN-2026 10:05:06)
RIPL,S,, 	(19-JAN-2026 10:05:06)
CP,S,, 	(19-JAN-2026 10:05:06)
HALHFGL,S,, 	(19-JAN-2026 10:05:06)
AGP CGD,S,, 	(19-JAN-2026 10:05:06)
MINDA,S,, 	(19-JAN-2026 10:05:06)
MINDA,S,, 	(19-JAN-2026 10:05:06)
MINDA,S,, 	(19-JAN-2026 10:05:06)
MINDA,S,, 	(19-JAN-2026 10:05:06)
MINDA,S,, 	(19-JAN-2026 10:05:06)
MINDA,S,, 	(19-JAN-2026 10:05:06)
LEIPL,S,, 	(19-JAN-2026 10:05:06)
LEIPL,S,, 	(19-JAN-2026 10:05:06)
LEIPL,S,, 	(19-JAN-2026 10:05:06)
SCHOTT,S,, 	(19-JAN-2026 10:05:06)
EXXARO,S,, 	(19-JAN-2026 10:05:06)
EXXARO,S,, 	(19-JAN-2026 10:05:06)
EXXARO,S,, 	(19-JAN-2026 10:05:06)
EXXARO,S,, 	(19-JAN-2026 10:05:06)
KAJARIA,S,, 	(19-JAN-2026 10:05:06)
KAJARIA,S,, 	(19-JAN-2026 10:05:06)
JKPAPER,S,, 	(19-JAN-2026 10:05:06)
JKPAPER,S,, 	(19-JAN-2026 10:05:06)
JKPAPER,S,, 	(19-JAN-2026 10:05:06)
JKPAPER,S,, 	(19-JAN-2026 10:05:06)
JKPAPER,S,, 	(19-JAN-2026 10:05:06)
VIRGO,S,, 	(19-JAN-2026 10:05:06)
VIRGO,S,, 	(19-JAN-2026 10:05:06)
VIRGO,S,, 	(19-JAN-2026 10:05:06)
GLIL,S,, 	(19-JAN-2026 10:05:06)
VIGASLD,S,, 	(19-JAN-2026 10:05:06)
VIGASLD,S,, 	(19-JAN-2026 10:05:06)

TOTAL DATA EXTRACTED :,36,,,, 	(19-JAN-2026 10:05:06)
 
<<END>>,<<FMS_DLNG_INV_CRDR_REF>>,,,, 	(19-JAN-2026 10:05:06)
 
