
<<START>>,<<FMS_TRUCK_TRANSPORTER_MST>>, 	(23-MAY-2025 12:06:54)
 
TRUCK_TRANS_CD,EFF_DT,TIMESTAMP,
1,01/12/2020 00:00:00, 	(23-MAY-2025 12:06:55)
2,01/12/2020 00:00:00, 	(23-MAY-2025 12:06:55)
3,01/01/2021 00:00:00, 	(23-MAY-2025 12:06:55)
4,01/01/2021 00:00:00, 	(23-MAY-2025 12:06:55)
5,01/01/2021 00:00:00, 	(23-MAY-2025 12:06:55)
6,01/01/2021 00:00:00, 	(23-MAY-2025 12:06:55)
7,01/01/2021 00:00:00, 	(23-MAY-2025 12:06:55)
8,01/02/2021 00:00:00, 	(23-MAY-2025 12:06:55)
9,01/02/2021 00:00:00, 	(23-MAY-2025 12:06:55)
10,15/02/2021 00:00:00, 	(23-MAY-2025 12:06:55)
11,19/04/2021 00:00:00, 	(23-MAY-2025 12:06:55)
12,31/08/2021 00:00:00, 	(23-MAY-2025 12:06:55)
13,12/05/2022 00:00:00, 	(23-MAY-2025 12:06:55)
14,17/11/2022 00:00:00, 	(23-MAY-2025 12:06:55)
15,01/02/2023 00:00:00, 	(23-MAY-2025 12:06:55)
16,10/03/2023 00:00:00, 	(23-MAY-2025 12:06:55)
17,13/03/2023 00:00:00, 	(23-MAY-2025 12:06:55)

TOTAL DATA EXTRACTED :,17, 	(23-MAY-2025 12:06:55)
 
<<END>>,<<FMS_TRUCK_TRANSPORTER_MST>>, 	(23-MAY-2025 12:06:55)
 
<<START>>,<<FMS_TRUCK_MST>>,, 	(23-MAY-2025 12:06:55)
 
ENT_PROFILE,TRUCK_CD,EFF_DT,TIMESTAMP,
2,6,01/01/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,18,15/02/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,19,15/02/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,23,01/03/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,32,23/07/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,33,23/07/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,41,28/08/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,44,10/09/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,45,20/09/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,49,01/02/2022 00:00:00, 	(23-MAY-2025 12:06:55)
2,55,21/02/2022 00:00:00, 	(23-MAY-2025 12:06:55)
2,65,24/06/2022 00:00:00, 	(23-MAY-2025 12:06:55)
2,101,10/03/2023 00:00:00, 	(23-MAY-2025 12:06:55)
2,104,15/03/2023 00:00:00, 	(23-MAY-2025 12:06:55)
2,119,20/10/2023 00:00:00, 	(23-MAY-2025 12:06:55)
2,1,18/12/2020 00:00:00, 	(23-MAY-2025 12:06:55)
2,2,23/12/2020 00:00:00, 	(23-MAY-2025 12:06:55)
2,3,25/12/2020 00:00:00, 	(23-MAY-2025 12:06:55)
2,5,08/01/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,8,01/01/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,9,27/01/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,10,28/01/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,20,18/02/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,27,31/03/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,29,20/04/2021 00:00:00, 	(23-MAY-2025 12:06:55)
2,53,19/02/2022 00:00:00, 	(23-MAY-2025 12:06:55)
