
<<START>>,<<FMS_DLNG_INVOICE_MST_LP>>,,,, 	(28-JAN-2026 12:18:40)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,LOG_SEQ_NO,TIMESTAMP,
MINDA,I,, 	(28-JAN-2026 12:18:42)
MINDA,I,, 	(28-JAN-2026 12:18:42)
MINDA,I,, 	(28-JAN-2026 12:18:42)
JKPAPER,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:43)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
VIGASLD,I,, 	(28-JAN-2026 12:18:44)
KUTCHCL,I,, 	(28-JAN-2026 12:18:44)
KUTCHCL,I,, 	(28-JAN-2026 12:18:44)
KUTCHCL,I,, 	(28-JAN-2026 12:18:44)
KUTCHCL,I,, 	(28-JAN-2026 12:18:44)
KUTCHCL,I,, 	(28-JAN-2026 12:18:44)
KUTCHCL,I,, 	(28-JAN-2026 12:18:44)
KUTCHCL,I,, 	(28-JAN-2026 12:18:44)
KUTCHCL,I,, 	(28-JAN-2026 12:18:44)
