
<<START>>,<<FMS_DERV_AGMT_MST>>,, 	(09-JUN-2025 15:38:36)
 
ABBR,CD,AGMT_NO,AGMT_REV,AGMT_TYPE,TIMESTAMP,
SPSSETL1,29,1,0,U, 	(09-JUN-2025 15:38:37)
SIETCO,30,1,0,U, 	(09-JUN-2025 15:38:37)
SILS,27,1,0,U, 	(09-JUN-2025 15:38:37)

TOTAL DATA EXTRACTED :,3,,  	(09-JUN-2025 15:38:37)
 
<<END>>,<<FMS_DERV_AGMT_MST>>,, 	(09-JUN-2025 15:38:37)
 
<<START>>,<<FMS_DERV_CONT_MST>>,, 	(09-JUN-2025 15:38:37)
 
COMPANY_CD,ABBR,AGMT_NAME,AGMT_TYPE,TIMESTAMP,

TOTAL DATA EXTRACTED :,472,,  	(09-JUN-2025 15:38:37)
 
<<END>>,<<FMS_DERV_CONT_MST>>,, 	(09-JUN-2025 15:38:37)
 
<<START>>,<<FMS_DERV_INSTRUMENT_MST>>,, 	(09-JUN-2025 15:38:37)
 
COMPANY_CD,ABBR,AGMT_NAME,AGMT_TYPE,TIMESTAMP,

TOTAL DATA EXTRACTED :,472,,  	(09-JUN-2025 15:38:37)
 
<<END>>,<<FMS_DERV_INSTRUMENT_MST>>,, 	(09-JUN-2025 15:38:37)
 
