
<<START>>,<<FMS_DERV_AGMT_MST>>,, 	(24-JUL-2025 09:36:35)
 
ABBR,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP,
DT,4,U,1,0, 	(24-JUL-2025 09:36:36)
SPSSETL1,29,U,1,0, 	(24-JUL-2025 09:36:36)
SIETCO,30,U,1,0, 	(24-JUL-2025 09:36:36)
SILS,27,U,1,0, 	(24-JUL-2025 09:36:36)

TOTAL DATA EXTRACTED :,4,,  	(24-JUL-2025 09:36:36)
 
<<END>>,<<FMS_DERV_AGMT_MST>>,, 	(24-JUL-2025 09:36:36)
 
<<START>>,<<FMS_DERV_CONT_MST>>,, 	(24-JUL-2025 09:36:36)
 
COMPANY_CD,ABBR,AGMT_NAME,AGMT_TYPE,TIMESTAMP,

TOTAL DATA EXTRACTED :,473,,  	(24-JUL-2025 09:36:36)
 
<<END>>,<<FMS_DERV_CONT_MST>>,, 	(24-JUL-2025 09:36:36)
 
<<START>>,<<FMS_DERV_INSTRUMENT_MST>>,, 	(24-JUL-2025 09:36:36)
 
COMPANY_CD,ABBR,AGMT_NAME,AGMT_TYPE,TIMESTAMP,

TOTAL DATA EXTRACTED :,473,,  	(24-JUL-2025 09:36:37)
 
<<END>>,<<FMS_DERV_INSTRUMENT_MST>>,, 	(24-JUL-2025 09:36:37)
 
<<START>>,<<FMS_DERV_CONT_BILLING_DTL>>,, 	(24-JUL-2025 09:36:37)
 
COMPANY_CD,ABBR,AGMT_NAME,AGMT_TYPE,TIMESTAMP,

TOTAL DATA EXTRACTED :,473,,  	(24-JUL-2025 09:36:37)
 
<<END>>,<<FMS_DERV_CONT_BILLING_DTL>>,, 	(24-JUL-2025 09:36:37)
 
<<START>>,<<FMS_DERV_INVOICE_MST>>,,,, 	(24-JUL-2025 09:36:37)
 
ABBR,CONT_TYPE,SEQ_NO,TIMESTAMP
SPSSETL1,,, 	(24-JUL-2025 09:36:37)
SPSSETL1,,, 	(24-JUL-2025 09:36:37)
SPSSETL1,,, 	(24-JUL-2025 09:36:37)
SPSSETL1,,, 	(24-JUL-2025 09:36:37)
SPSSETL1,,, 	(24-JUL-2025 09:36:37)
SPSSETL1,,, 	(24-JUL-2025 09:36:37)
SPSSETL1,,, 	(24-JUL-2025 09:36:37)
SPSSETL1,,, 	(24-JUL-2025 09:36:38)
SPSSETL1,,, 	(24-JUL-2025 09:36:38)
SPSSETL1,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SIETCO,,, 	(24-JUL-2025 09:36:38)
SILS,,, 	(24-JUL-2025 09:36:38)
SILS,,, 	(24-JUL-2025 09:36:38)
SILS,,, 	(24-JUL-2025 09:36:38)
SILS,,, 	(24-JUL-2025 09:36:38)
SILS,,, 	(24-JUL-2025 09:36:38)
SILS,,, 	(24-JUL-2025 09:36:38)
SILS,,, 	(24-JUL-2025 09:36:38)
SILS,,, 	(24-JUL-2025 09:36:38)
SILS,,, 	(24-JUL-2025 09:36:38)
SILS,,, 	(24-JUL-2025 09:36:38)
SILS,,, 	(24-JUL-2025 09:36:38)
SILS,,, 	(24-JUL-2025 09:36:38)
SILS,,, 	(24-JUL-2025 09:36:38)
SILS,,, 	(24-JUL-2025 09:36:38)
SILS,,, 	(24-JUL-2025 09:36:38)

TOTAL DATA EXTRACTED :,46,  	(24-JUL-2025 09:36:38)
 
<<END>>,<<FMS_DERV_INVOICE_MST>>,,,, 	(24-JUL-2025 09:36:38)
 
