
<<START>>,<<FMS_HOLIDAY_DTL>>, 	(01-MAR-2025 10:03:53)
 
HOLIDAY_DT,HOLIDAY_NM,TIMESTAMP
16/02/2025 00:00:00,SUNDAY, 	(01-MAR-2025 10:03:53)
14/01/2022 00:00:00,Makar Sankranti/ Pongal, 	(01-MAR-2025 10:03:53)
26/01/2022 00:00:00,Republic Day, 	(01-MAR-2025 10:03:53)
01/03/2022 00:00:00,Mahashivratri, 	(01-MAR-2025 10:03:53)
18/03/2022 00:00:00,Holi, 	(01-MAR-2025 10:03:53)
15/04/2022 00:00:00,Good Friday, 	(01-MAR-2025 10:03:53)
03/05/2022 00:00:00,Id-Ul-Fitr*/Ramadan, 	(01-MAR-2025 10:03:53)
15/08/2022 00:00:00,Independance Day, 	(01-MAR-2025 10:03:53)
19/08/2022 00:00:00,Krishna Jayanthi/ Janmashtami, 	(01-MAR-2025 10:03:53)
31/08/2022 00:00:00,Ganesh Chaturthi, 	(01-MAR-2025 10:03:53)
05/10/2022 00:00:00,Durga Puja (Vijay Dashmi)/ Dussehra, 	(01-MAR-2025 10:03:53)
24/10/2022 00:00:00,Naraka Chaturdashi/ Diwali, 	(01-MAR-2025 10:03:53)
26/10/2022 00:00:00,Diwali - Bhai Duj, 	(01-MAR-2025 10:03:53)
10/08/2021 00:00:00,Ganesh Chaturthi, 	(01-MAR-2025 10:03:53)
15/10/2021 00:00:00,Durga Puja / Dasera, 	(01-MAR-2025 10:03:53)
10/09/2021 00:00:00,Ganesh Chaturthi, 	(01-MAR-2025 10:03:53)
04/11/2021 00:00:00,Diwali, 	(01-MAR-2025 10:03:53)
05/11/2021 00:00:00,Balipadyami Deepavali, 	(01-MAR-2025 10:03:53)

TOTAL DATA EXTRACTED :,18,  	(01-MAR-2025 10:03:53)
 
<<END>>,<<FMS_HOLIDAY_DTL>>, 	(01-MAR-2025 10:03:53)
 
