
<<START>>,<<FMS_ENTITY_ADDR_MST>>,,,, 	(01-MAR-2025 10:29:31)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ADRESS_TYPE,ENTITY,EFF_DATE,TIMESTAMP
RIL , 1 , C , C , 14/09/2008 00:00:00 ,  	(01-MAR-2025 10:29:33)
RIL , 1 , R , C , 14/09/2008 00:00:00 ,  	(01-MAR-2025 10:29:33)
RIL , 1 , B , C , 14/09/2008 00:00:00 ,  	(01-MAR-2025 10:29:33)
MGL , 2 , C , C , 16/07/2009 00:00:00 ,  	(01-MAR-2025 10:29:33)
MGL , 2 , R , C , 16/07/2009 00:00:00 ,  	(01-MAR-2025 10:29:33)
MGL , 2 , B , C , 16/07/2009 00:00:00 ,  	(01-MAR-2025 10:29:33)
GSPCL , 3 , C , C , 21/04/2006 00:00:00 ,  	(01-MAR-2025 10:29:33)
GSPCL , 3 , B , C , 21/04/2006 00:00:00 ,  	(01-MAR-2025 10:29:33)
GSPCL , 3 , R , C , 21/04/2006 00:00:00 ,  	(01-MAR-2025 10:29:33)
GSPCL , 3 , C , C , 24/03/2005 00:00:00 ,  	(01-MAR-2025 10:29:33)
GSPCL , 3 , R , C , 24/03/2005 00:00:00 ,  	(01-MAR-2025 10:29:33)
GSPCL , 3 , B , C , 24/03/2005 00:00:00 ,  	(01-MAR-2025 10:29:33)
Gail , 4 , B , C , 08/03/2007 00:00:00 ,  	(01-MAR-2025 10:29:33)
Gail , 4 , R , C , 08/03/2007 00:00:00 ,  	(01-MAR-2025 10:29:33)
Gail , 4 , C , C , 08/03/2007 00:00:00 ,  	(01-MAR-2025 10:29:33)
Gail , 4 , C , R , 08/03/2007 00:00:00 ,  	(01-MAR-2025 10:29:33)
BPL , 5 , R , C , 09/04/2010 00:00:00 ,  	(01-MAR-2025 10:29:33)
BPL , 5 , B , C , 09/04/2010 00:00:00 ,  	(01-MAR-2025 10:29:33)
BPL , 5 , C , C , 09/04/2010 00:00:00 ,  	(01-MAR-2025 10:29:33)
EPL , 6 , R , C , 09/04/2010 00:00:00 ,  	(01-MAR-2025 10:29:33)
EPL , 6 , B , C , 09/04/2010 00:00:00 ,  	(01-MAR-2025 10:29:33)
EPL , 6 , C , C , 09/04/2010 00:00:00 ,  	(01-MAR-2025 10:29:33)
ESL , 7 , R , C , 01/04/2006 00:00:00 ,  	(01-MAR-2025 10:29:33)
ESL , 7 , R , C , 26/08/2006 00:00:00 ,  	(01-MAR-2025 10:29:33)
NTPC , 8 , R , C , 01/06/2006 00:00:00 ,  	(01-MAR-2025 10:29:33)
NTPC , 8 , C , C , 01/06/2006 00:00:00 ,  	(01-MAR-2025 10:29:33)
NTPC , 8 , R , C , 18/11/2006 00:00:00 ,  	(01-MAR-2025 10:29:33)
NTPC , 8 , C , C , 18/11/2006 00:00:00 ,  	(01-MAR-2025 10:29:33)
KRIBHCO , 9 , C , C , 05/12/2007 00:00:00 ,  	(01-MAR-2025 10:29:33)
KRIBHCO , 9 , R , C , 05/12/2007 00:00:00 ,  	(01-MAR-2025 10:29:33)
KRIBHCO , 9 , B , C , 05/12/2007 00:00:00 ,  	(01-MAR-2025 10:29:33)
DFPCL , 10 , C , C , 03/12/2007 00:00:00 ,  	(01-MAR-2025 10:29:33)
DFPCL , 10 , R , C , 03/12/2007 00:00:00 ,  	(01-MAR-2025 10:29:33)
DFPCL , 10 , B , C , 03/12/2007 00:00:00 ,  	(01-MAR-2025 10:29:33)
AIGL , 11 , B , C , 22/07/2009 00:00:00 ,  	(01-MAR-2025 10:29:33)
AIGL , 11 , C , C , 22/07/2009 00:00:00 ,  	(01-MAR-2025 10:29:33)
AIGL , 11 , R , C , 22/07/2009 00:00:00 ,  	(01-MAR-2025 10:29:33)
ESEZ , 12 , R , C , 04/04/2008 00:00:00 ,  	(01-MAR-2025 10:29:33)
KSFL , 13 , C , C , 20/12/2007 00:00:00 ,  	(01-MAR-2025 10:29:33)
KSFL , 13 , R , C , 20/12/2007 00:00:00 ,  	(01-MAR-2025 10:29:33)
MAHAGENCO , 14 , C , C , 16/04/2008 00:00:00 ,  	(01-MAR-2025 10:29:33)
MAHAGENCO , 14 , R , C , 16/04/2008 00:00:00 ,  	(01-MAR-2025 10:29:33)
NPL , 15 , C , C , 28/02/2008 00:00:00 ,  	(01-MAR-2025 10:29:33)
NPL , 15 , R , C , 28/02/2008 00:00:00 ,  	(01-MAR-2025 10:29:33)
SIGIL , 16 , C , C , 01/04/2009 00:00:00 ,  	(01-MAR-2025 10:29:33)
SIGIL , 16 , R , C , 01/04/2009 00:00:00 ,  	(01-MAR-2025 10:29:33)
SIGIL , 16 , B , C , 01/04/2009 00:00:00 ,  	(01-MAR-2025 10:29:33)
VIL , 17 , R , C , 12/12/2007 00:00:00 ,  	(01-MAR-2025 10:29:33)
GGCL , 19 , R , C , 11/05/2012 00:00:00 ,  	(01-MAR-2025 10:29:33)
GGCL , 19 , B , C , 11/05/2012 00:00:00 ,  	(01-MAR-2025 10:29:33)
GGCL , 19 , C , C , 11/05/2012 00:00:00 ,  	(01-MAR-2025 10:29:33)
TPL , 20 , B , C , 04/08/2012 00:00:00 ,  	(01-MAR-2025 10:29:33)
TPL , 20 , C , C , 04/08/2012 00:00:00 ,  	(01-MAR-2025 10:29:33)
TPL , 20 , R , C , 04/08/2012 00:00:00 ,  	(01-MAR-2025 10:29:33)
TPL , 20 , C , C , 20/12/2018 00:00:00 ,  	(01-MAR-2025 10:29:33)
TPL , 20 , B , C , 20/12/2018 00:00:00 ,  	(01-MAR-2025 10:29:33)
TPL , 20 , R , C , 20/12/2018 00:00:00 ,  	(01-MAR-2025 10:29:33)
WMSL , 21 , B , C , 25/11/2014 00:00:00 ,  	(01-MAR-2025 10:29:33)
WMSL , 21 , C , C , 25/11/2014 00:00:00 ,  	(01-MAR-2025 10:29:33)
WMSL , 21 , B , C , 31/05/2011 00:00:00 ,  	(01-MAR-2025 10:29:33)
WMSL , 21 , R , C , 31/05/2011 00:00:00 ,  	(01-MAR-2025 10:29:33)
WMSL , 21 , C , C , 31/05/2011 00:00:00 ,  	(01-MAR-2025 10:29:33)
MNGL , 22 , R , C , 20/06/2013 00:00:00 ,  	(01-MAR-2025 10:29:33)
MNGL , 22 , B , C , 20/06/2013 00:00:00 ,  	(01-MAR-2025 10:29:33)
MNGL , 22 , C , C , 20/06/2013 00:00:00 ,  	(01-MAR-2025 10:29:33)
