

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(01-MAR-2025 15:51:57)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,SEQ_NO,ENTITY,TIMESTAMP
RIL , 1 , 1 , C ,  	(01-MAR-2025 15:51:58)
MGL , 2 , 1 , C ,  	(01-MAR-2025 15:51:58)
GSPCL , 3 , 1 , C ,  	(01-MAR-2025 15:51:58)
Gail , 4 , 1 , C ,  	(01-MAR-2025 15:51:58)
Gail , 4 , 2 , R ,  	(01-MAR-2025 15:51:58)
BPL , 5 , 1 , C ,  	(01-MAR-2025 15:51:58)
EPL , 6 , 1 , C ,  	(01-MAR-2025 15:51:58)
ESL , 7 , 1 , C ,  	(01-MAR-2025 15:51:58)
NTPC , 8 , 1 , C ,  	(01-MAR-2025 15:51:58)
KRIBHCO , 9 , 1 , C ,  	(01-MAR-2025 15:51:58)
DFPCL , 10 , 1 , C ,  	(01-MAR-2025 15:51:58)
AIGL , 11 , 1 , C ,  	(01-MAR-2025 15:51:58)
ESEZ , 12 , 1 , C ,  	(01-MAR-2025 15:51:58)
KSFL , 13 , 1 , C ,  	(01-MAR-2025 15:51:58)
MAHAGENCO , 14 , 1 , C ,  	(01-MAR-2025 15:51:58)
NPL , 15 , 1 , C ,  	(01-MAR-2025 15:51:58)
SIGIL , 16 , 1 , C ,  	(01-MAR-2025 15:51:58)
VIL , 17 , 1 , C ,  	(01-MAR-2025 15:51:58)
VSIL , 18 , 1 , C ,  	(01-MAR-2025 15:51:58)
GGCL , 19 , 1 , C ,  	(01-MAR-2025 15:51:58)
TPL , 20 , 1 , C ,  	(01-MAR-2025 15:51:58)
WMSL , 21 , 1 , C ,  	(01-MAR-2025 15:51:58)
MNGL , 22 , 1 , C ,  	(01-MAR-2025 15:51:58)
IGL , 23 , 1 , C ,  	(01-MAR-2025 15:51:58)
BPCL , 24 , 1 , C ,  	(01-MAR-2025 15:51:58)
BPCL , 24 , 2 , T ,  	(01-MAR-2025 15:51:58)
TEL , 25 , 1 , C ,  	(01-MAR-2025 15:51:58)
HPCL , 26 , 1 , C ,  	(01-MAR-2025 15:51:58)
