
<<START>>,<<FMS_SAC_MST>>, 	(02-APR-2025 15:09:49)
 
SAC_CODE,TIMESTAMP
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)
1, 	(02-APR-2025 15:09:50)

TOTAL DATA EXTRACTED :,28,  	(02-APR-2025 15:09:50)
 
<<END>>,<<FMS_SAC_MST>>, 	(02-APR-2025 15:09:50)
 
