
<<START>>,<<FMS_SECTOR_MST>>, 	(06-MAR-2025 17:36:32)
 
SECTOR_CD,SECTOR_ABBR,TIMESTAMP
000,RESELLERS, 	(06-MAR-2025 17:36:33)
730,ElLECTRICAL/ ELECTRONICS, 	(06-MAR-2025 17:36:33)
740,HEAVY MACHINES, 	(06-MAR-2025 17:36:33)
742,LIGHT MACHINES, 	(06-MAR-2025 17:36:33)
743,AIRCRAFTS, 	(06-MAR-2025 17:36:33)
744,SHIPBUILD. & REPAIRS, 	(06-MAR-2025 17:36:33)
745,TRUCKS&PASS VEHICALS, 	(06-MAR-2025 17:36:33)
746,SCOOTERS ETC, 	(06-MAR-2025 17:36:33)
747,HIGH PRESSURE VESSEL, 	(06-MAR-2025 17:36:33)
749,MECH. MISCELLANEOUS, 	(06-MAR-2025 17:36:33)
751,STRUCTURAL WORKS, 	(06-MAR-2025 17:36:33)
752,IRON & STEEL PLANTS, 	(06-MAR-2025 17:36:33)
754,IRON & STEEL REWORKS, 	(06-MAR-2025 17:36:33)
755,ALUMINIUM, 	(06-MAR-2025 17:36:33)
756,FOUNDRIES/CASTINGS, 	(06-MAR-2025 17:36:33)
757,FERROUS ALLOYS, 	(06-MAR-2025 17:36:33)
759,METAL. MISCELLANEOUS, 	(06-MAR-2025 17:36:33)
770,CANDLE INDUSTRY, 	(06-MAR-2025 17:36:33)
771,MATCHES, 	(06-MAR-2025 17:36:33)
772,RUBBER TYRES & TUBES, 	(06-MAR-2025 17:36:33)
773,PAPER PRODUCTS, 	(06-MAR-2025 17:36:33)
774,INDU ABRASIVES, 	(06-MAR-2025 17:36:33)
776,GLASS/CERAMICS ETC, 	(06-MAR-2025 17:36:33)
778,PACKING MATERIALS, 	(06-MAR-2025 17:36:33)
780,PLASTIC INDUSTRIES, 	(06-MAR-2025 17:36:33)
782,LEATHER, 	(06-MAR-2025 17:36:33)
783,PROCESSOR, 	(06-MAR-2025 17:36:33)
784,TOBACCO PRODUCTS, 	(06-MAR-2025 17:36:33)
789,INDUS. MISCELLANEOUS, 	(06-MAR-2025 17:36:33)
760,COTTON MILLS HOSIERY, 	(06-MAR-2025 17:36:33)
761,JUTE MILLS, 	(06-MAR-2025 17:36:33)
762,SYN.FIBRE/RAYON MF, 	(06-MAR-2025 17:36:33)
769,TEXTI. MISCELLANEOUS, 	(06-MAR-2025 17:36:33)
600,PET.EXPLO&PROD, 	(06-MAR-2025 17:36:33)
601,IRON ORE, 	(06-MAR-2025 17:36:33)
603,COAL, 	(06-MAR-2025 17:36:33)
604,BAUXITE, 	(06-MAR-2025 17:36:33)
605,MANGANESE, 	(06-MAR-2025 17:36:33)
606,STONE QUARRYING, 	(06-MAR-2025 17:36:33)
609,MINING MISCELLANEOUS, 	(06-MAR-2025 17:36:33)
800,POST & TELEGRAPHS, 	(06-MAR-2025 17:36:33)
801,STATE ELEC. BOARDS, 	(06-MAR-2025 17:36:33)
802,CATERING & HOTELS, 	(06-MAR-2025 17:36:33)
804,UNIVERSITIES ETC, 	(06-MAR-2025 17:36:33)
806,LAUNDRIES, 	(06-MAR-2025 17:36:33)
809,REFINERIES, 	(06-MAR-2025 17:36:33)
500,TPP-OIL, 	(06-MAR-2025 17:36:33)
504,HYDEL POWER PLANTS, 	(06-MAR-2025 17:36:33)
506,ATOMIC POWER PLANTS, 	(06-MAR-2025 17:36:33)
507,GAS TURBINES, 	(06-MAR-2025 17:36:33)
509,POWER MISCELLANEOUS, 	(06-MAR-2025 17:36:33)
300,RAILWAYS, 	(06-MAR-2025 17:36:33)
007,OTHER ROAD TRANSPORT, 	(06-MAR-2025 17:36:33)
006,STATE ROAD TRANSPORT, 	(06-MAR-2025 17:36:33)
220,SHIP. COASTAL, 	(06-MAR-2025 17:36:33)
