
<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,, 	(09-SEP-2025 13:21:53)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TIMESTAMP
RIL,1,C,18, 	(09-SEP-2025 13:21:54)
RIL,1,C,1, 	(09-SEP-2025 13:21:54)
RIL,1,C,15, 	(09-SEP-2025 13:21:54)
RIL,1,C,4, 	(09-SEP-2025 13:21:54)
RIL,1,C,8, 	(09-SEP-2025 13:21:54)
RIL,1,C,3, 	(09-SEP-2025 13:21:54)
RIL,1,C,5, 	(09-SEP-2025 13:21:54)
RIL,1,C,2, 	(09-SEP-2025 13:21:54)
RIL,1,C,6, 	(09-SEP-2025 13:21:54)
RIL,1,C,17, 	(09-SEP-2025 13:21:54)
RIL,1,C,16, 	(09-SEP-2025 13:21:54)
MGL,2,C,1, 	(09-SEP-2025 13:21:54)
MGL,2,C,1, 	(09-SEP-2025 13:21:54)
MGL,2,C,1, 	(09-SEP-2025 13:21:54)
GSPCL,3,C,1, 	(09-SEP-2025 13:21:54)
GSPCL,3,C,3, 	(09-SEP-2025 13:21:54)
GSPCL,3,C,1, 	(09-SEP-2025 13:21:54)
GSPCL,3,C,1, 	(09-SEP-2025 13:21:54)
GSPCL,3,C,2, 	(09-SEP-2025 13:21:54)
Gail,4,C,1, 	(09-SEP-2025 13:21:54)
Gail,4,C,3, 	(09-SEP-2025 13:21:54)
Gail,4,C,2, 	(09-SEP-2025 13:21:54)
Gail,4,C,8, 	(09-SEP-2025 13:21:54)
Gail,4,C,4, 	(09-SEP-2025 13:21:54)
Gail,4,C,7, 	(09-SEP-2025 13:21:54)
Gail,4,C,1, 	(09-SEP-2025 13:21:54)
NTPC,8,C,2, 	(09-SEP-2025 13:21:54)
NTPC,8,C,1, 	(09-SEP-2025 13:21:54)
NTPC,8,C,3, 	(09-SEP-2025 13:21:54)
NTPC,8,C,6, 	(09-SEP-2025 13:21:54)
NTPC,8,C,5, 	(09-SEP-2025 13:21:54)
NTPC,8,C,4, 	(09-SEP-2025 13:21:54)
NTPC,8,C,1, 	(09-SEP-2025 13:21:54)
NTPC,8,C,2, 	(09-SEP-2025 13:21:54)
NTPC,8,C,6, 	(09-SEP-2025 13:21:54)
NTPC,8,C,4, 	(09-SEP-2025 13:21:54)
NTPC,8,C,3, 	(09-SEP-2025 13:21:54)
NTPC,8,C,5, 	(09-SEP-2025 13:21:54)
KRIBHCO,9,C,1, 	(09-SEP-2025 13:21:54)
KRIBHCO,9,C,1, 	(09-SEP-2025 13:21:54)
KRIBHCO,9,C,1, 	(09-SEP-2025 13:21:54)
DFPCL,10,C,1, 	(09-SEP-2025 13:21:54)
SIGIL,16,C,1, 	(09-SEP-2025 13:21:54)
SIGIL,16,C,1, 	(09-SEP-2025 13:21:54)
GGCL,19,C,1, 	(09-SEP-2025 13:21:54)
TPL,20,C,1, 	(09-SEP-2025 13:21:54)
TPL,20,C,1, 	(09-SEP-2025 13:21:54)
WMSL,21,C,1, 	(09-SEP-2025 13:21:54)
MNGL,22,C,1, 	(09-SEP-2025 13:21:54)
IGL,23,C,1, 	(09-SEP-2025 13:21:54)
IGL,23,C,2, 	(09-SEP-2025 13:21:54)
IGL,23,C,3, 	(09-SEP-2025 13:21:54)
IGL,23,C,4, 	(09-SEP-2025 13:21:54)
IGL,23,C,5, 	(09-SEP-2025 13:21:54)
IGL,23,C,6, 	(09-SEP-2025 13:21:54)
IGL,23,C,1, 	(09-SEP-2025 13:21:54)
BPCL,24,C,1, 	(09-SEP-2025 13:21:54)
BPCL,24,C,3, 	(09-SEP-2025 13:21:54)
BPCL,24,C,4, 	(09-SEP-2025 13:21:54)
BPCL,24,C,3, 	(09-SEP-2025 13:21:54)
BPCL,24,C,1, 	(09-SEP-2025 13:21:54)
BPCL,24,C,2, 	(09-SEP-2025 13:21:54)
TEL,25,C,1, 	(09-SEP-2025 13:21:54)
HPCL,26,C,2, 	(09-SEP-2025 13:21:54)
HPCL,26,C,4, 	(09-SEP-2025 13:21:54)
HPCL,26,C,3, 	(09-SEP-2025 13:21:54)
HPCL,26,C,1, 	(09-SEP-2025 13:21:54)
HPCL,26,C,5, 	(09-SEP-2025 13:21:54)
HPCL,26,C,3, 	(09-SEP-2025 13:21:54)
HPCL,26,C,2, 	(09-SEP-2025 13:21:54)
JSW,27,C,1, 	(09-SEP-2025 13:21:54)
JSW,27,C,1, 	(09-SEP-2025 13:21:54)
BGL,28,C,1, 	(09-SEP-2025 13:21:54)
BGL,28,C,1, 	(09-SEP-2025 13:21:54)
GSFC,29,C,1, 	(09-SEP-2025 13:21:54)
GSFC,29,C,2, 	(09-SEP-2025 13:21:54)
GSFC,29,C,1, 	(09-SEP-2025 13:21:54)
H-Energy,30,C,2, 	(09-SEP-2025 13:21:54)
H-Energy,30,C,1, 	(09-SEP-2025 13:21:54)
SIMPL,31,C,1, 	(09-SEP-2025 13:21:54)
SIMPL,31,C,2, 	(09-SEP-2025 13:21:54)
SIMPL,31,C,2, 	(09-SEP-2025 13:21:54)
SIMPL,31,C,1, 	(09-SEP-2025 13:21:54)
ATGL,32,C,2, 	(09-SEP-2025 13:21:54)
ATGL,32,C,2, 	(09-SEP-2025 13:21:54)
AMNS,33,C,2, 	(09-SEP-2025 13:21:54)
AMNS,33,C,1, 	(09-SEP-2025 13:21:54)
AMNS,33,C,1, 	(09-SEP-2025 13:21:54)
AMNS,33,C,1, 	(09-SEP-2025 13:21:54)
AMNS,33,C,4, 	(09-SEP-2025 13:21:54)
AMNS,33,C,1, 	(09-SEP-2025 13:21:54)
AMNS,33,C,1, 	(09-SEP-2025 13:21:54)
SEMTIPL,34,C,2, 	(09-SEP-2025 13:21:54)
SEMTIPL,34,C,9, 	(09-SEP-2025 13:21:54)
SEMTIPL,34,C,7, 	(09-SEP-2025 13:21:54)
SEMTIPL,34,C,6, 	(09-SEP-2025 13:21:54)
SEMTIPL,34,C,4, 	(09-SEP-2025 13:21:54)
SEMTIPL,34,C,8, 	(09-SEP-2025 13:21:54)
SEMTIPL,34,C,1, 	(09-SEP-2025 13:21:54)
SEMTIPL,34,C,10, 	(09-SEP-2025 13:21:54)
SEMTIPL,34,C,3, 	(09-SEP-2025 13:21:54)
SEMTIPL,34,C,4, 	(09-SEP-2025 13:21:54)
SEMTIPL,34,C,6, 	(09-SEP-2025 13:21:54)
SEMTIPL,34,C,5, 	(09-SEP-2025 13:21:54)
SGIPL,35,C,3, 	(09-SEP-2025 13:21:54)
SGIPL,35,C,5, 	(09-SEP-2025 13:21:54)
SGIPL,35,C,1, 	(09-SEP-2025 13:21:54)
SGIPL,35,C,1, 	(09-SEP-2025 13:21:54)
SGIPL,35,C,1, 	(09-SEP-2025 13:21:54)
