
<<START>>,<<FMS_METER_MST>>,,,, 	(14-NOV-2025 14:52:03)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,PLANT_SEQ,METER_SEQ,METER_ID,TIMESTAMP
Gail,16,3,1,Gail-P3-M1, 	(14-NOV-2025 14:52:04)
Gail,16,4,1,Gail-P4-M1, 	(14-NOV-2025 14:52:04)
GSPL,2,4,1,GSPL-P4-M1, 	(14-NOV-2025 14:52:04)
PLLD,4,2,1,PLLD-P2-M1, 	(14-NOV-2025 14:52:04)
Gail,16,1,1,Gail-P1-M1, 	(14-NOV-2025 14:52:04)
Gail,16,1,2,Gail-P1-M2, 	(14-NOV-2025 14:52:04)
PipeInfra,18,6,1,PipeInfra-P6-M1, 	(14-NOV-2025 14:52:04)
PipeInfra,18,8,1,PipeInfra-P8-M1, 	(14-NOV-2025 14:52:04)
PipeInfra,18,1,1,PipeInfra-P1-M1, 	(14-NOV-2025 14:52:04)
PipeInfra,18,1,2,PipeInfra-P1-M2, 	(14-NOV-2025 14:52:04)
PipeInfra,18,3,1,PipeInfra-P3-M1, 	(14-NOV-2025 14:52:04)
PipeInfra,18,4,1,PipeInfra-P4-M1, 	(14-NOV-2025 14:52:04)
PipeInfra,18,5,1,PipeInfra-P5-M1, 	(14-NOV-2025 14:52:04)
Gail,16,2,1,Gail-P2-M1, 	(14-NOV-2025 14:52:04)
RGPL,17,1,1,RGPL-P1-M1, 	(14-NOV-2025 14:52:04)
PIL-Haz,1,1,1,PIL-Haz-P1-M1, 	(14-NOV-2025 14:52:04)
PIL-Haz,1,2,1,PIL-Haz-P2-M1, 	(14-NOV-2025 14:52:04)
GSPL,2,1,1,GSPL-P1-M1, 	(14-NOV-2025 14:52:04)
GSPL,2,1,2,GSPL-P1-M2, 	(14-NOV-2025 14:52:04)
GSPL,2,2,1,GSPL-P2-M1, 	(14-NOV-2025 14:52:04)
PLLD,4,1,1,PLLD-P1-M1, 	(14-NOV-2025 14:52:04)
Gail,16,6,1,Gail-P6-M1, 	(14-NOV-2025 14:52:04)
Gail,16,7,1,Gail-P7-M1, 	(14-NOV-2025 14:52:04)
Gail,16,9,1,Gail-P9-M1, 	(14-NOV-2025 14:52:04)
GSINLIM,20,1,1,GSINLIM-P1-M1, 	(14-NOV-2025 14:52:04)
PipeInfra,18,9,1,PipeInfra-P9-M1, 	(14-NOV-2025 14:52:04)
Gail,16,8,1,Gail-P8-M1, 	(14-NOV-2025 14:52:04)

TOTAL DATA EXTRACTED :,27,,,, 	(14-NOV-2025 14:52:04)
 
<<END>>,<<FMS_METER_MST>>,,,, 	(14-NOV-2025 14:52:04)
 
