
<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,, 	(18-FEB-2025 11:41:17)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TIMESTAMP
RIL,1,C,18, 	(18-FEB-2025 11:41:18)
RIL,1,C,2, 	(18-FEB-2025 11:41:18)
RIL,1,C,3, 	(18-FEB-2025 11:41:18)
RIL,1,C,4, 	(18-FEB-2025 11:41:18)
RIL,1,C,5, 	(18-FEB-2025 11:41:18)
RIL,1,C,6, 	(18-FEB-2025 11:41:18)
RIL,1,C,8, 	(18-FEB-2025 11:41:18)
RIL,1,C,15, 	(18-FEB-2025 11:41:18)
RIL,1,C,16, 	(18-FEB-2025 11:41:18)
RIL,1,C,17, 	(18-FEB-2025 11:41:18)
RIL,1,C,18, 	(18-FEB-2025 11:41:18)
MGL,2,C,1, 	(18-FEB-2025 11:41:18)
MGL,2,C,1, 	(18-FEB-2025 11:41:18)
GSPCL,3,C,1, 	(18-FEB-2025 11:41:18)
GSPCL,3,C,2, 	(18-FEB-2025 11:41:18)
GSPCL,3,C,3, 	(18-FEB-2025 11:41:18)
GSPCL,3,C,1, 	(18-FEB-2025 11:41:18)
GSPCL,3,C,1, 	(18-FEB-2025 11:41:18)
Gail,4,C,1, 	(18-FEB-2025 11:41:18)
Gail,4,C,2, 	(18-FEB-2025 11:41:18)
Gail,4,C,3, 	(18-FEB-2025 11:41:18)
Gail,4,C,4, 	(18-FEB-2025 11:41:18)
Gail,4,C,7, 	(18-FEB-2025 11:41:18)
Gail,4,C,8, 	(18-FEB-2025 11:41:18)
Gail,4,C,1, 	(18-FEB-2025 11:41:18)
NTPC,8,C,3, 	(18-FEB-2025 11:41:18)
NTPC,8,C,4, 	(18-FEB-2025 11:41:18)
NTPC,8,C,5, 	(18-FEB-2025 11:41:18)
NTPC,8,C,1, 	(18-FEB-2025 11:41:18)
NTPC,8,C,2, 	(18-FEB-2025 11:41:18)
NTPC,8,C,3, 	(18-FEB-2025 11:41:18)
NTPC,8,C,4, 	(18-FEB-2025 11:41:18)
NTPC,8,C,5, 	(18-FEB-2025 11:41:18)
NTPC,8,C,6, 	(18-FEB-2025 11:41:18)
NTPC,8,C,6, 	(18-FEB-2025 11:41:18)
NTPC,8,C,2, 	(18-FEB-2025 11:41:18)
NTPC,8,C,6, 	(18-FEB-2025 11:41:18)
Kribhco,9,C,1, 	(18-FEB-2025 11:41:18)
KRIBHCO,9,C,1, 	(18-FEB-2025 11:41:18)
KRIBHCO,9,C,1, 	(18-FEB-2025 11:41:18)
DFPCL,10,C,1, 	(18-FEB-2025 11:41:18)
SIGIL,16,C,1, 	(18-FEB-2025 11:41:18)
GGCL,19,C,1, 	(18-FEB-2025 11:41:18)
TPL,20,C,1, 	(18-FEB-2025 11:41:18)
TPL,20,C,1, 	(18-FEB-2025 11:41:18)
WMSL,21,C,1, 	(18-FEB-2025 11:41:18)
MNGL,22,C,1, 	(18-FEB-2025 11:41:18)
IGL,23,C,4, 	(18-FEB-2025 11:41:18)
IGL,23,C,5, 	(18-FEB-2025 11:41:18)
IGL,23,C,6, 	(18-FEB-2025 11:41:18)
IGL,23,C,1, 	(18-FEB-2025 11:41:18)
IGL,23,C,1, 	(18-FEB-2025 11:41:18)
IGL,23,C,2, 	(18-FEB-2025 11:41:18)
IGL,23,C,3, 	(18-FEB-2025 11:41:18)
BPCL,24,C,1, 	(18-FEB-2025 11:41:18)
BPCL,24,C,3, 	(18-FEB-2025 11:41:18)
BPCL,24,C,2, 	(18-FEB-2025 11:41:18)
BPCL,24,C,1, 	(18-FEB-2025 11:41:18)
BPCL,24,C,3, 	(18-FEB-2025 11:41:18)
BPCL,24,C,4, 	(18-FEB-2025 11:41:18)
TEL,25,C,1, 	(18-FEB-2025 11:41:18)
HPCL,26,C,1, 	(18-FEB-2025 11:41:18)
HPCL,26,C,2, 	(18-FEB-2025 11:41:18)
HPCL,26,C,3, 	(18-FEB-2025 11:41:18)
HPCL,26,C,4, 	(18-FEB-2025 11:41:18)
HPCL,26,C,5, 	(18-FEB-2025 11:41:18)
HPCL,26,C,2, 	(18-FEB-2025 11:41:18)
HPCL,26,C,3, 	(18-FEB-2025 11:41:18)
JSW-Salav,27,C,1, 	(18-FEB-2025 11:41:18)
BGL,28,C,1, 	(18-FEB-2025 11:41:18)
GSFC,29,C,1, 	(18-FEB-2025 11:41:18)
GSFC,29,C,1, 	(18-FEB-2025 11:41:18)
GSFC,29,C,2, 	(18-FEB-2025 11:41:18)
H-Energy,30,C,1, 	(18-FEB-2025 11:41:18)
H-Energy,30,C,2, 	(18-FEB-2025 11:41:18)
SIMPL,31,C,1, 	(18-FEB-2025 11:41:18)
SIMPL,31,C,2, 	(18-FEB-2025 11:41:18)
ATGL,32,C,2, 	(18-FEB-2025 11:41:18)
ESIL,33,C,1, 	(18-FEB-2025 11:41:18)
AMNS,33,C,1, 	(18-FEB-2025 11:41:18)
AMNS,33,C,1, 	(18-FEB-2025 11:41:18)
AMNS,33,C,2, 	(18-FEB-2025 11:41:18)
AMNS,33,C,1, 	(18-FEB-2025 11:41:18)
AMNS,33,C,4, 	(18-FEB-2025 11:41:18)
AMNS,33,C,5, 	(18-FEB-2025 11:41:18)
SEMTIPL,34,C,2, 	(18-FEB-2025 11:41:19)
SEMTIPL,34,C,3, 	(18-FEB-2025 11:41:19)
SEMTIPL,34,C,4, 	(18-FEB-2025 11:41:19)
SEMTIPL,34,C,5, 	(18-FEB-2025 11:41:19)
SEMTIPL,34,C,1, 	(18-FEB-2025 11:41:19)
SEMTIPL,34,C,6, 	(18-FEB-2025 11:41:19)
SEMTIPL,34,C,7, 	(18-FEB-2025 11:41:19)
SEMTIPL,34,C,8, 	(18-FEB-2025 11:41:19)
SEMTIPL,34,C,9, 	(18-FEB-2025 11:41:19)
SEMTIPL,34,C,10, 	(18-FEB-2025 11:41:19)
SEMTIPL,34,C,6, 	(18-FEB-2025 11:41:19)
SEMTIPL,34,C,4, 	(18-FEB-2025 11:41:19)
SGIPL,35,C,1, 	(18-FEB-2025 11:41:19)
SGIPL,35,C,2, 	(18-FEB-2025 11:41:19)
SGIPL,35,C,3, 	(18-FEB-2025 11:41:19)
SGIPL,35,C,5, 	(18-FEB-2025 11:41:19)
SGIPL,35,C,6, 	(18-FEB-2025 11:41:19)
SGIPL,35,C,1, 	(18-FEB-2025 11:41:19)
SGIPL,35,C,1, 	(18-FEB-2025 11:41:19)
VGL,36,C,1, 	(18-FEB-2025 11:41:19)
VGL,36,C,2, 	(18-FEB-2025 11:41:19)
VGL,36,C,3, 	(18-FEB-2025 11:41:19)
PGPGPL,37,C,1, 	(18-FEB-2025 11:41:19)
PGPGPL,37,C,2, 	(18-FEB-2025 11:41:19)
