
<<START>>,<<FMS_HOLIDAY_DTL>>, 	(18-FEB-2025 17:34:22)
 
HOLIDAY_DT,HOLIDAY_NM,TIMESTAMP
16/02/2025 00:00:00,SUNDAY, 	(18-FEB-2025 17:34:22)
14/01/2022 00:00:00,Makar Sankranti/ Pongal, 	(18-FEB-2025 17:34:22)
26/01/2022 00:00:00,Republic Day, 	(18-FEB-2025 17:34:22)
01/03/2022 00:00:00,Mahashivratri, 	(18-FEB-2025 17:34:22)
18/03/2022 00:00:00,Holi, 	(18-FEB-2025 17:34:22)
15/04/2022 00:00:00,Good Friday, 	(18-FEB-2025 17:34:22)
03/05/2022 00:00:00,Id-Ul-Fitr*/Ramadan, 	(18-FEB-2025 17:34:22)
15/08/2022 00:00:00,Independance Day, 	(18-FEB-2025 17:34:22)
19/08/2022 00:00:00,Krishna Jayanthi/ Janmashtami, 	(18-FEB-2025 17:34:22)
31/08/2022 00:00:00,Ganesh Chaturthi, 	(18-FEB-2025 17:34:22)
05/10/2022 00:00:00,Durga Puja (Vijay Dashmi)/ Dussehra, 	(18-FEB-2025 17:34:22)
24/10/2022 00:00:00,Naraka Chaturdashi/ Diwali, 	(18-FEB-2025 17:34:22)
26/10/2022 00:00:00,Diwali - Bhai Duj, 	(18-FEB-2025 17:34:22)
10/08/2021 00:00:00,Ganesh Chaturthi, 	(18-FEB-2025 17:34:22)
15/10/2021 00:00:00,Durga Puja / Dasera, 	(18-FEB-2025 17:34:22)
10/09/2021 00:00:00,Ganesh Chaturthi, 	(18-FEB-2025 17:34:22)
04/11/2021 00:00:00,Diwali, 	(18-FEB-2025 17:34:22)
05/11/2021 00:00:00,Balipadyami Deepavali, 	(18-FEB-2025 17:34:22)

TOTAL DATA EXTRACTED :,18,  	(18-FEB-2025 17:34:22)
 
<<END>>,<<FMS_HOLIDAY_DTL>>, 	(18-FEB-2025 17:34:22)
 
