

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(20-FEB-2025 15:43:53)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,SEQ_NO,ENTITY,TIMESTAMP
RIL , 1 , 1 , C ,  	(20-FEB-2025 15:43:54)
MGL , 2 , 1 , C ,  	(20-FEB-2025 15:43:54)
GSPCL , 3 , 1 , C ,  	(20-FEB-2025 15:43:54)
Gail , 4 , 1 , C ,  	(20-FEB-2025 15:43:54)
Gail , 4 , 2 , R ,  	(20-FEB-2025 15:43:54)
BPL , 5 , 1 , C ,  	(20-FEB-2025 15:43:54)
EPL , 6 , 1 , C ,  	(20-FEB-2025 15:43:54)
ESL , 7 , 1 , C ,  	(20-FEB-2025 15:43:54)
NTPC , 8 , 1 , C ,  	(20-FEB-2025 15:43:54)
KRIBHCO , 9 , 1 , C ,  	(20-FEB-2025 15:43:54)
DFPCL , 10 , 1 , C ,  	(20-FEB-2025 15:43:54)
AIGL , 11 , 1 , C ,  	(20-FEB-2025 15:43:54)
ESEZ , 12 , 1 , C ,  	(20-FEB-2025 15:43:54)
KSFL , 13 , 1 , C ,  	(20-FEB-2025 15:43:54)
MAHAGENCO , 14 , 1 , C ,  	(20-FEB-2025 15:43:54)
NPL , 15 , 1 , C ,  	(20-FEB-2025 15:43:54)
SIGIL , 16 , 1 , C ,  	(20-FEB-2025 15:43:54)
VIL , 17 , 1 , C ,  	(20-FEB-2025 15:43:54)
VSIL , 18 , 1 , C ,  	(20-FEB-2025 15:43:54)
GGCL , 19 , 1 , C ,  	(20-FEB-2025 15:43:54)
TPL , 20 , 1 , C ,  	(20-FEB-2025 15:43:54)
WMSL , 21 , 1 , C ,  	(20-FEB-2025 15:43:54)
MNGL , 22 , 1 , C ,  	(20-FEB-2025 15:43:54)
IGL , 23 , 1 , C ,  	(20-FEB-2025 15:43:54)
BPCL , 24 , 1 , C ,  	(20-FEB-2025 15:43:54)
BPCL , 24 , 2 , T ,  	(20-FEB-2025 15:43:54)
TEL , 25 , 1 , C ,  	(20-FEB-2025 15:43:54)
HPCL , 26 , 1 , C ,  	(20-FEB-2025 15:43:54)
