
<<START>>,<<FMS_ENTITY_TURNOVER_DTL>>,,, 	(21-FEB-2025 10:05:59)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,FINANCIAL_YEAR,TIMESTAMP
RIL,1,C,2020-2021, 	(21-FEB-2025 10:06:00)
MGL,2,C,2020-2021, 	(21-FEB-2025 10:06:00)
MGL,2,C,2021-2022, 	(21-FEB-2025 10:06:00)
MGL,2,C,2022-2023, 	(21-FEB-2025 10:06:00)
MGL,2,C,2023-2024, 	(21-FEB-2025 10:06:00)
GSPCL,3,C,2020-2021, 	(21-FEB-2025 10:06:00)
GSPCL,3,C,2021-2022, 	(21-FEB-2025 10:06:00)
GSPCL,3,C,2023-2024, 	(21-FEB-2025 10:06:00)
Gail,4,C,2020-2021, 	(21-FEB-2025 10:06:00)
Gail,4,C,2021-2022, 	(21-FEB-2025 10:06:00)
Gail,4,C,2022-2023, 	(21-FEB-2025 10:06:00)
Gail,4,C,2023-2024, 	(21-FEB-2025 10:06:00)
NTPC,8,C,2021-2022, 	(21-FEB-2025 10:06:00)
NTPC,8,C,2022-2023, 	(21-FEB-2025 10:06:00)
NTPC,8,C,2023-2024, 	(21-FEB-2025 10:06:00)
KRIBHCO,9,C,2020-2021, 	(21-FEB-2025 10:06:00)
KRIBHCO,9,C,2021-2022, 	(21-FEB-2025 10:06:00)
KRIBHCO,9,C,2022-2023, 	(21-FEB-2025 10:06:00)
DFPCL,10,C,2020-2021, 	(21-FEB-2025 10:06:00)
DFPCL,10,C,2021-2022, 	(21-FEB-2025 10:06:00)
DFPCL,10,C,2022-2023, 	(21-FEB-2025 10:06:00)
TPL,20,C,2022-2023, 	(21-FEB-2025 10:06:00)
IGL,23,C,2021-2022, 	(21-FEB-2025 10:06:00)
IGL,23,C,2022-2023, 	(21-FEB-2025 10:06:00)
IGL,23,C,2023-2024, 	(21-FEB-2025 10:06:00)
BPCL,24,C,2021-2022, 	(21-FEB-2025 10:06:00)
BPCL,24,C,2022-2023, 	(21-FEB-2025 10:06:00)
BPCL,24,C,2023-2024, 	(21-FEB-2025 10:06:00)
HPCL,26,C,2020-2021, 	(21-FEB-2025 10:06:00)
HPCL,26,C,2022-2023, 	(21-FEB-2025 10:06:00)
HPCL,26,C,2023-2024, 	(21-FEB-2025 10:06:00)
GSFC,29,C,2020-2021, 	(21-FEB-2025 10:06:00)
GSFC,29,C,2021-2022, 	(21-FEB-2025 10:06:00)
GSFC,29,C,2022-2023, 	(21-FEB-2025 10:06:00)
GSFC,29,C,2023-2024, 	(21-FEB-2025 10:06:00)
ATGL,32,C,2022-2023, 	(21-FEB-2025 10:06:00)
AMNS,33,C,2020-2021, 	(21-FEB-2025 10:06:00)
AMNS,33,C,2021-2022, 	(21-FEB-2025 10:06:00)
AMNS,33,C,2022-2023, 	(21-FEB-2025 10:06:00)
SEMTPL,34,C,2020-2021, 	(21-FEB-2025 10:06:00)
SEMTPL,34,C,2022-2023, 	(21-FEB-2025 10:06:00)
SEMTPL,34,C,2023-2024, 	(21-FEB-2025 10:06:00)
SGIPL,35,C,2020-2021, 	(21-FEB-2025 10:06:00)
SGIPL,35,C,2021-2022, 	(21-FEB-2025 10:06:00)
SGIPL,35,C,2022-2023, 	(21-FEB-2025 10:06:00)
SGIPL,35,C,2023-2024, 	(21-FEB-2025 10:06:00)
VGL,36,C,2022-2023, 	(21-FEB-2025 10:06:00)
PGPGPL,37,C,2020-2021, 	(21-FEB-2025 10:06:00)
PGPGPL,37,C,2021-2022, 	(21-FEB-2025 10:06:00)
PGPGPL,37,C,2022-2023, 	(21-FEB-2025 10:06:00)
PGPGPL,37,C,2023-2024, 	(21-FEB-2025 10:06:00)
HCG,38,C,2020-2021, 	(21-FEB-2025 10:06:00)
HCG,38,C,2021-2022, 	(21-FEB-2025 10:06:00)
HCG,38,C,2022-2023, 	(21-FEB-2025 10:06:00)
HCG,38,C,2023-2024, 	(21-FEB-2025 10:06:00)
GGL,39,C,2020-2021, 	(21-FEB-2025 10:06:00)
GGL,39,C,2021-2022, 	(21-FEB-2025 10:06:00)
GGL,39,C,2022-2023, 	(21-FEB-2025 10:06:00)
GGL,39,C,2023-2024, 	(21-FEB-2025 10:06:00)
CFC,40,C,2020-2021, 	(21-FEB-2025 10:06:00)
CFC,40,C,2021-2022, 	(21-FEB-2025 10:06:00)
CFC,40,C,2022-2023, 	(21-FEB-2025 10:06:00)
IFFCO,41,C,2020-2021, 	(21-FEB-2025 10:06:00)
IFFCO,41,C,2021-2022, 	(21-FEB-2025 10:06:00)
IFFCO,41,C,2022-2023, 	(21-FEB-2025 10:06:00)
IFFCO,41,C,2023-2024, 	(21-FEB-2025 10:06:00)
HGL-RLNG,42,C,2020-2021, 	(21-FEB-2025 10:06:00)
NFL,44,C,2021-2022, 	(21-FEB-2025 10:06:00)
NFL,44,C,2022-2023, 	(21-FEB-2025 10:06:00)
HSIL,45,C,2021-2022, 	(21-FEB-2025 10:06:00)
HSIL,45,C,2022-2023, 	(21-FEB-2025 10:06:00)
HSIL,45,C,2023-2024, 	(21-FEB-2025 10:06:00)
VVF,46,C,2021-2022, 	(21-FEB-2025 10:06:00)
KFL,47,C,2020-2021, 	(21-FEB-2025 10:06:00)
KFL,47,C,2022-2023, 	(21-FEB-2025 10:06:00)
BIL,48,C,2020-2021, 	(21-FEB-2025 10:06:00)
BIL,48,C,2021-2022, 	(21-FEB-2025 10:06:00)
BIL,48,C,2022-2023, 	(21-FEB-2025 10:06:00)
BIL,48,C,2023-2024, 	(21-FEB-2025 10:06:00)
CP,50,C,2020-2021, 	(21-FEB-2025 10:06:00)
HHFG DLNG,51,C,2020-2021, 	(21-FEB-2025 10:06:00)
HHFG DLNG,51,C,2021-2022, 	(21-FEB-2025 10:06:00)
HHFG DLNG,51,C,2022-2023, 	(21-FEB-2025 10:06:00)
HHFG DLNG,51,C,2023-2024, 	(21-FEB-2025 10:06:00)
VIDUWIL,52,C,2020-2021, 	(21-FEB-2025 10:06:00)
AGP CGD,53,C,2020-2021, 	(21-FEB-2025 10:06:00)
AGP CGD,53,C,2021-2022, 	(21-FEB-2025 10:06:00)
AGP CGD,53,C,2022-2023, 	(21-FEB-2025 10:06:00)
AGP CGD,53,C,2023-2024, 	(21-FEB-2025 10:06:00)
MINDA,54,C,2020-2021, 	(21-FEB-2025 10:06:00)
MINDA,54,C,2021-2022, 	(21-FEB-2025 10:06:00)
MINDA,54,C,2022-2023, 	(21-FEB-2025 10:06:00)
MINDA,54,C,2023-2024, 	(21-FEB-2025 10:06:00)
