
<<START>>,<<FMS_METER_MST>>,,,, 	(21-FEB-2025 11:59:44)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,PLANT_SEQ,METER_SEQ,METER_ID,TIMESTAMP
PIL-Haz,1,1,1,HLPL [PIL FC 410]-1, 	(21-FEB-2025 11:59:45)
PIL-Haz,1,1,2,PIL-Haz-P1-M2, 	(21-FEB-2025 11:59:45)
PIL-Haz,1,2,1,HLPL [PIL FC 413]-2, 	(21-FEB-2025 11:59:45)
PIL-Haz,1,2,2,PIL-Haz-P2-M2, 	(21-FEB-2025 11:59:45)
GSPL,2,1,1,HLPL [GSPL39 FC 178]-1, 	(21-FEB-2025 11:59:45)
GSPL,2,2,1,HLPL [GSPL39 FC 172]-2, 	(21-FEB-2025 11:59:45)
GSPL,2,3,1,-3, 	(21-FEB-2025 11:59:45)
GSPL,2,4,1,PLL GSPL Dahej-4, 	(21-FEB-2025 11:59:45)
GSPL,2,4,2,GSPL-P4-M2, 	(21-FEB-2025 11:59:45)
GAIL-Haz,3,1,1,HLPL [Gail FC 411]-1, 	(21-FEB-2025 11:59:45)
GAIL-Haz,3,2,1,HLPL [Gail FC 412]-2, 	(21-FEB-2025 11:59:45)
GAIL-Haz,3,3,1,GAIL 3-3, 	(21-FEB-2025 11:59:45)
PLLD,4,1,1,PLL [Dahej FC]-1, 	(21-FEB-2025 11:59:45)
PLLD,4,1,2,PLLD-P1-M2, 	(21-FEB-2025 11:59:45)
PLLD,4,2,1,PLL2-2, 	(21-FEB-2025 11:59:45)
PLLD,4,2,2,PLLD-P2-M2, 	(21-FEB-2025 11:59:45)
D6Gadimoga,5,1,1,D6 Gadimoga-1, 	(21-FEB-2025 11:59:45)
PANKGA,6,1,1,PILANT-1, 	(21-FEB-2025 11:59:45)
PANKGA,6,2,1,Oduru to Ankot-2, 	(21-FEB-2025 11:59:45)
PANKGA,6,3,1,HPCL supply-3, 	(21-FEB-2025 11:59:45)
PMSKGA,7,1,1,PILMSK-1, 	(21-FEB-2025 11:59:45)
PMSKGA,7,2,1,HPCL supply-2, 	(21-FEB-2025 11:59:45)
PMSKGA,7,3,1,Delivery point-3, 	(21-FEB-2025 11:59:45)
PBHDGS,8,1,1,PILBHD-1, 	(21-FEB-2025 11:59:45)
PBHDGS,8,2,1,BHD sale via IGX-2, 	(21-FEB-2025 11:59:45)
PBHDGS,8,3,1,BHD sale via IGX-3, 	(21-FEB-2025 11:59:45)
PURCHASE-T,9,1,1,Purchase-1, 	(21-FEB-2025 11:59:45)
PURCHASE-T,9,2,1,purchase-2, 	(21-FEB-2025 11:59:45)
PARK-ANK,10,1,1,Parking-1, 	(21-FEB-2025 11:59:45)
PARK-ANK,10,2,1,PIL Hazira parking-2, 	(21-FEB-2025 11:59:45)
PHUCBM,11,1,1,Delivery point-1, 	(21-FEB-2025 11:59:45)
PHUCBM,11,2,1,PHUCBM-2, 	(21-FEB-2025 11:59:45)
PARK-MSK,12,1,1,Parking-1, 	(21-FEB-2025 11:59:45)
PARK-BHD,13,1,1,Parking-1, 	(21-FEB-2025 11:59:45)
PARKPHUCBM,14,1,1,Parking-1, 	(21-FEB-2025 11:59:45)
