
<<START>>,<<FMSPRODUCT_MST>>, 	(21-FEB-2025 17:51:51)
 
PROD_CD,PROD_ABBR,TIMESTAMP
1,LNG, 	(21-FEB-2025 17:51:51)
2,RLNG, 	(21-FEB-2025 17:51:51)
201,ImpLNG, 	(21-FEB-2025 17:51:51)
202,ITankPur, 	(21-FEB-2025 17:51:51)
203,TP(RLNG), 	(21-FEB-2025 17:51:51)
301,IGX(DOMG) , 	(21-FEB-2025 17:51:51)
302,D6(DOMG), 	(21-FEB-2025 17:51:51)
303,CBM(DOMG), 	(21-FEB-2025 17:51:51)
304,ONGC Gas , 	(21-FEB-2025 17:51:51)
305,SEMTIPL(DOMG) , 	(21-FEB-2025 17:51:51)
306,RIL(DOMG), 	(21-FEB-2025 17:51:51)
307,BP(DOMG), 	(21-FEB-2025 17:51:51)
308,HPCL(DOMG) , 	(21-FEB-2025 17:51:51)
309,AMNS(DOMG), 	(21-FEB-2025 17:51:51)
3,DOMG, 	(21-FEB-2025 17:51:51)
310,D6(DOMG-CAP), 	(21-FEB-2025 17:51:51)
311,IGX(DOMG-CAP) , 	(21-FEB-2025 17:51:51)

TOTAL DATA EXTRACTED :,17,  	(21-FEB-2025 17:51:51)
 
<<END>>,<<FMS_PRODUCT_MST>>, 	(21-FEB-2025 17:51:51)
 
