
<<START>>,<<FMS_BANK_MST>>,,, 	(25-FEB-2025 19:01:38)
 
BANK_CD,BANK_NAME, BANK_ABBR,EFF_DT,TIMESTAMP
1001,STANDARD CHARTERED BANK,null,01/01/2010 00:00:00, 	(25-FEB-2025 19:01:40)
1021,Mizuho Bank, Ltd,Mizuho,01/06/2023 00:00:00, 	(25-FEB-2025 19:01:40)
1022,RBL Bank Ltd,RBL,26/02/2024 00:00:00, 	(25-FEB-2025 19:01:40)
1002,ICICI Bank Ltd,ICICI,24/03/2021 00:00:00, 	(25-FEB-2025 19:01:40)
1003,HDFC Bank Ltd,HDFC,24/03/2021 00:00:00, 	(25-FEB-2025 19:01:41)
1004,Axis Bank Ltd,Axis,24/03/2021 00:00:00, 	(25-FEB-2025 19:01:41)
1005,Bank of Baroda,BoB,24/03/2021 00:00:00, 	(25-FEB-2025 19:01:42)
1006,Indian Bank,IB,24/03/2021 00:00:00, 	(25-FEB-2025 19:01:42)
1007,Standard Chartered Bank ,SCB,24/03/2021 00:00:00, 	(25-FEB-2025 19:01:42)
1008,IDBI Bank Ltd,IDBI,24/03/2021 00:00:00, 	(25-FEB-2025 19:01:43)
1009,State Bank of India,SBI,24/03/2021 00:00:00, 	(25-FEB-2025 19:01:43)
1010,Federal Bank Ltd,FBL,24/03/2021 00:00:00, 	(25-FEB-2025 19:01:43)
1014,The Hongkong & Shanghai Banking Corporation Ltd,HSBC,14/06/2022 00:00:00, 	(25-FEB-2025 19:01:44)
1015,Citibank N.A. ? India Branches,Citi India,19/07/2022 00:00:00, 	(25-FEB-2025 19:01:44)
1013,Kotak Mahindra Bank Limited,KMB,03/06/2022 00:00:00, 	(25-FEB-2025 19:01:45)
1019,Yes Bank Ltd,YBL,04/01/2023 00:00:00, 	(25-FEB-2025 19:01:45)
1020,Union Bank of India,UBI,10/01/2023 00:00:00, 	(25-FEB-2025 19:01:46)
1011,Punjab National Bank,PNB,13/05/2021 00:00:00, 	(25-FEB-2025 19:01:46)
1012,Credit Agricole Corporate and Investment Bank (India),CACIB,18/05/2022 00:00:00, 	(25-FEB-2025 19:01:46)
1016,Sumitomo Mitsui Banking Corporation,SMBC-Delhi,22/09/2022 00:00:00, 	(25-FEB-2025 19:01:46)
1017,Deutsche Bank AG ,DB India,22/09/2022 00:00:00, 	(25-FEB-2025 19:01:46)
1018,INDUSIND BANK LIMITED,INDUSIND,08/12/2022 00:00:00, 	(25-FEB-2025 19:01:46)

TOTAL DATA EXTRACTED :,22,,,  	(25-FEB-2025 19:01:46)
 
<<END>>,<<FMS_BANK_MST>>,,, 	(25-FEB-2025 19:01:46)
 
