
<<START>>,<<FMS_OTH_ENTITY_MST>>, 	(15-DEC-2025 14:30:42)
 
ENTITY_CD,ENTITY_CD,EFF_DT,TIMESTAMP
1,S,01/07/2017, 	(15-DEC-2025 14:30:43)
2,S,11/10/2022, 	(15-DEC-2025 14:30:43)
ENTITY_CD,ENTITY_CD,EFF_DT,TIMESTAMP
1,V,01/07/2017, 	(15-DEC-2025 14:30:43)
2,V,01/07/2017, 	(15-DEC-2025 14:30:43)
3,V,01/07/2017, 	(15-DEC-2025 14:30:43)
4,V,01/07/2017, 	(15-DEC-2025 14:30:43)
5,V,01/07/2017, 	(15-DEC-2025 14:30:43)
6,V,01/07/2017, 	(15-DEC-2025 14:30:43)
7,V,01/07/2017, 	(15-DEC-2025 14:30:43)
8,V,01/07/2017, 	(15-DEC-2025 14:30:43)
9,V,01/07/2017, 	(15-DEC-2025 14:30:43)
10,V,01/07/2017, 	(15-DEC-2025 14:30:43)
11,V,01/07/2017, 	(15-DEC-2025 14:30:43)
12,V,01/07/2017, 	(15-DEC-2025 14:30:43)
13,V,01/07/2017, 	(15-DEC-2025 14:30:43)
14,V,16/05/2019, 	(15-DEC-2025 14:30:43)
15,V,01/07/2017, 	(15-DEC-2025 14:30:43)
16,V,01/02/2020, 	(15-DEC-2025 14:30:43)
17,V,01/07/2017, 	(15-DEC-2025 14:30:43)
18,V,01/07/2017, 	(15-DEC-2025 14:30:43)
19,V,01/07/2017, 	(15-DEC-2025 14:30:43)
20,V,01/07/2017, 	(15-DEC-2025 14:30:43)
21,V,01/07/2017, 	(15-DEC-2025 14:30:43)
22,V,01/07/2017, 	(15-DEC-2025 14:30:43)
23,V,01/07/2017, 	(15-DEC-2025 14:30:43)
24,V,01/07/2017, 	(15-DEC-2025 14:30:43)
25,V,01/07/2017, 	(15-DEC-2025 14:30:43)
26,V,01/07/2017, 	(15-DEC-2025 14:30:43)
27,V,01/07/2017, 	(15-DEC-2025 14:30:43)
28,V,01/07/2017, 	(15-DEC-2025 14:30:43)
29,V,01/07/2017, 	(15-DEC-2025 14:30:43)
30,V,01/07/2017, 	(15-DEC-2025 14:30:43)
31,V,01/07/2017, 	(15-DEC-2025 14:30:43)
32,V,01/07/2017, 	(15-DEC-2025 14:30:43)
33,V,01/07/2017, 	(15-DEC-2025 14:30:43)
34,V,01/07/2017, 	(15-DEC-2025 14:30:43)
35,V,01/07/2017, 	(15-DEC-2025 14:30:43)
36,V,01/07/2017, 	(15-DEC-2025 14:30:43)
37,V,01/07/2017, 	(15-DEC-2025 14:30:43)
38,V,01/07/2017, 	(15-DEC-2025 14:30:43)
39,V,01/07/2017, 	(15-DEC-2025 14:30:43)
40,V,01/07/2017, 	(15-DEC-2025 14:30:43)
41,V,01/07/2017, 	(15-DEC-2025 14:30:43)
42,V,01/07/2017, 	(15-DEC-2025 14:30:43)
43,V,01/07/2017, 	(15-DEC-2025 14:30:43)
44,V,01/07/2017, 	(15-DEC-2025 14:30:43)
45,V,01/09/2017, 	(15-DEC-2025 14:30:43)
46,V,01/11/2017, 	(15-DEC-2025 14:30:43)
47,V,01/11/2017, 	(15-DEC-2025 14:30:43)
48,V,01/10/2017, 	(15-DEC-2025 14:30:43)
49,V,01/10/2017, 	(15-DEC-2025 14:30:43)
50,V,01/10/2017, 	(15-DEC-2025 14:30:43)
51,V,01/10/2017, 	(15-DEC-2025 14:30:43)
52,V,01/10/2017, 	(15-DEC-2025 14:30:43)
53,V,01/10/2017, 	(15-DEC-2025 14:30:43)
54,V,30/11/2017, 	(15-DEC-2025 14:30:43)
55,V,01/11/2017, 	(15-DEC-2025 14:30:43)
56,V,01/11/2017, 	(15-DEC-2025 14:30:43)
57,V,01/11/2017, 	(15-DEC-2025 14:30:43)
58,V,01/12/2017, 	(15-DEC-2025 14:30:43)
59,V,01/12/2017, 	(15-DEC-2025 14:30:43)
60,V,01/12/2017, 	(15-DEC-2025 14:30:43)
61,V,01/11/2017, 	(15-DEC-2025 14:30:43)
62,V,01/11/2017, 	(15-DEC-2025 14:30:43)
63,V,01/01/2018, 	(15-DEC-2025 14:30:43)
64,V,01/01/2018, 	(15-DEC-2025 14:30:43)
65,V,01/01/2018, 	(15-DEC-2025 14:30:43)
66,V,01/01/2018, 	(15-DEC-2025 14:30:43)
67,V,01/01/2018, 	(15-DEC-2025 14:30:43)
68,V,01/02/2018, 	(15-DEC-2025 14:30:43)
69,V,01/02/2018, 	(15-DEC-2025 14:30:43)
70,V,01/02/2018, 	(15-DEC-2025 14:30:43)
71,V,01/02/2018, 	(15-DEC-2025 14:30:43)
72,V,01/03/2018, 	(15-DEC-2025 14:30:43)
73,V,01/03/2018, 	(15-DEC-2025 14:30:43)
74,V,01/03/2018, 	(15-DEC-2025 14:30:43)
75,V,01/03/2018, 	(15-DEC-2025 14:30:43)
76,V,01/03/2018, 	(15-DEC-2025 14:30:43)
77,V,01/04/2018, 	(15-DEC-2025 14:30:43)
78,V,01/04/2018, 	(15-DEC-2025 14:30:43)
79,V,01/05/2018, 	(15-DEC-2025 14:30:43)
80,V,01/03/2018, 	(15-DEC-2025 14:30:43)
81,V,01/05/2018, 	(15-DEC-2025 14:30:43)
82,V,01/05/2018, 	(15-DEC-2025 14:30:43)
83,V,01/05/2018, 	(15-DEC-2025 14:30:44)
84,V,01/05/2018, 	(15-DEC-2025 14:30:44)
85,V,01/05/2018, 	(15-DEC-2025 14:30:44)
86,V,01/05/2018, 	(15-DEC-2025 14:30:44)
87,V,01/06/2018, 	(15-DEC-2025 14:30:44)
88,V,01/06/2018, 	(15-DEC-2025 14:30:44)
