
<<START>>,<<FMS_PUR_PG_INV_MST>>, 	(12-SEP-2025 15:20:20)
 
COMPANY_CD,COUNTERPARTY_CD, PLANT_SEQ, FINANCIAL_YEAR,CONTRACT_TYPE,INVOICE_NO,TIMESTAMP
,AMNS,1,2022-2023,T,68, 	(12-SEP-2025 15:20:21)
,AMNS,1,2022-2023,D,72, 	(12-SEP-2025 15:20:21)
,AMNS,1,2022-2023,D,75, 	(12-SEP-2025 15:20:21)
,AMNS,1,2022-2023,D,73 and 74, 	(12-SEP-2025 15:20:21)
,AMNS,1,2022-2023,T,76, 	(12-SEP-2025 15:20:21)
,AMNS,1,2022-2023,T,82, 	(12-SEP-2025 15:20:21)
,AMNS,1,2022-2023,T,99, 	(12-SEP-2025 15:20:21)
,AMNS,1,2022-2023,T,98, 	(12-SEP-2025 15:20:21)
,AMNS,1,2022-2024,T,100, 	(12-SEP-2025 15:20:21)
,AMNS,1,2023-2024,T,45, 	(12-SEP-2025 15:20:21)
,AMNS,1,2023-2024,T,48, 	(12-SEP-2025 15:20:21)
,AMNS,1,2024-2025,T,26, 	(12-SEP-2025 15:20:21)
,AMNS,1,2024-2025,T,27, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2022-2023,D,0087/22-23, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2022-2023,D,0093/22-23, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2022-2023,D,0095/22-23, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2022-2023,D,0091/22-23, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2022-2023,D,0092/22-23, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2022-2023,D,0097/22-23, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0099, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0100/23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0102/23-2, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0104/23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0112/23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0114/23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,SEIPL0116-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0117/23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0120-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0124-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0128-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,001-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0133-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0134-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0138-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0141-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0144-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0147-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0153-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0156-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0159-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0162-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2025,D,0167-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2023-2024,D,0139-23-24, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0002/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0007/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0012/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0013/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0020/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0027/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0036/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0048/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0054/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0058/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0063/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0069/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0087/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0094/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0100/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,1,2024-2025,D,1SMH0112/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,2,2024-2025,T,1SGJ0001/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,2,2024-2025,T,1SGJ0002/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,2,2024-2025,T,1SGJ0004/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,2,2024-2025,T,1SGJ0006/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,2,2024-2025,T,1SGJ0007/24-25, 	(12-SEP-2025 15:20:21)
,SEMTIPL,3,2024-2025,D,1SAP0020/24-25, 	(12-SEP-2025 15:20:21)
,RIL,1,2022-2023,D,3221201363, 	(12-SEP-2025 15:20:21)
,RIL,1,2022-2023,D,3221201375, 	(12-SEP-2025 15:20:21)
,BP,1,2022-2023,D,3225201362, 	(12-SEP-2025 15:20:21)
,BP,1,2022-2023,D,3225201374, 	(12-SEP-2025 15:20:21)
,RIL,1,2022-2023,D,3221201687, 	(12-SEP-2025 15:20:21)
,RIL,1,2022-2023,D,3221201698, 	(12-SEP-2025 15:20:21)
,BP,1,2022-2023,D,3225201686, 	(12-SEP-2025 15:20:21)
,BP,1,2022-2023,D,3225201697, 	(12-SEP-2025 15:20:21)
,RIL,1,2022-2024,D,3221201797, 	(12-SEP-2025 15:20:21)
,RIL,1,2022-2024,D,3221201807, 	(12-SEP-2025 15:20:21)
,RIL,1,2023-2024,D,3231200222, 	(12-SEP-2025 15:20:21)
,RIL,1,2023-2024,D,3231200321, 	(12-SEP-2025 15:20:21)
,RIL,1,2023-2024,D,3231200334, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,D,3235200321, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,D,3235200334, 	(12-SEP-2025 15:20:21)
,RIL,1,2023-2024,D,3231200528, 	(12-SEP-2025 15:20:21)
,RIL,1,2023-2024,D,3231201365, 	(12-SEP-2025 15:20:21)
,RIL,1,2023-2024,D,3231201378, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,D,3235201365, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,D,3235201378, 	(12-SEP-2025 15:20:21)
,RIL,1,2023-2024,D,3231201512, 	(12-SEP-2025 15:20:21)
,RIL,1,2023-2024,D,3231201524, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,D,3235201512, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,D,3235201524, 	(12-SEP-2025 15:20:21)
,RIL,1,2023-2024,D,3231200355, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,D,3235200355, 	(12-SEP-2025 15:20:21)
,RIL,1,2023-2024,D,3231201398, 	(12-SEP-2025 15:20:21)
,RIL,1,2023-2024,D,3231201399, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,D,3235201398, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,D,3235201399, 	(12-SEP-2025 15:20:21)
,RIL,1,2023-2024,D,3231201433, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,D,3235201433, 	(12-SEP-2025 15:20:21)
,RIL,1,2023-2024,D,3231201581, 	(12-SEP-2025 15:20:21)
,RIL,1,2023-2024,D,3231201582, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,D,3235201581, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,D,3235201582, 	(12-SEP-2025 15:20:21)
,RIL,1,2022-2023,I,3221201394, 	(12-SEP-2025 15:20:21)
,RIL,1,2022-2023,I,3221201548, 	(12-SEP-2025 15:20:21)
,RIL,1,2022-2023,I,3221201267, 	(12-SEP-2025 15:20:21)
,RIL,1,2022-2023,I,3221201278, 	(12-SEP-2025 15:20:21)
,RIL,1,2022-2023,I,3221201293, 	(12-SEP-2025 15:20:21)
,RIL,1,2022-2023,I,3221201328, 	(12-SEP-2025 15:20:21)
,RIL,1,2022-2023,I,3221201452, 	(12-SEP-2025 15:20:21)
