
<<START>>,<<FMS_CONT_PRICE_DTL(P)>>,, 	(26-AUG-2025 14:26:51)
 
CARGO_REF_CD,CONT_TYPE,SEQ_NO,TIMESTAMP
22017, N ,1, 	(26-AUG-2025 14:26:52)
22018, N ,1, 	(26-AUG-2025 14:26:52)
22019, N ,1, 	(26-AUG-2025 14:26:52)
22020, N ,1, 	(26-AUG-2025 14:26:52)
22020, N ,2, 	(26-AUG-2025 14:26:52)
22021, N ,1, 	(26-AUG-2025 14:26:52)
22022, N ,1, 	(26-AUG-2025 14:26:52)
22023, N ,1, 	(26-AUG-2025 14:26:52)
22028, N ,1, 	(26-AUG-2025 14:26:52)
22033, N ,1, 	(26-AUG-2025 14:26:52)
22036, N ,1, 	(26-AUG-2025 14:26:52)
23002, N ,1, 	(26-AUG-2025 14:26:52)
23037, N ,1, 	(26-AUG-2025 14:26:52)
22026, N ,1, 	(26-AUG-2025 14:26:52)
22027, N ,1, 	(26-AUG-2025 14:26:52)
22029, N ,1, 	(26-AUG-2025 14:26:52)
22030, N ,1, 	(26-AUG-2025 14:26:52)
22031, N ,1, 	(26-AUG-2025 14:26:52)
22032, N ,1, 	(26-AUG-2025 14:26:52)
22034, N ,1, 	(26-AUG-2025 14:26:52)
22035, N ,1, 	(26-AUG-2025 14:26:52)
23001, N ,1, 	(26-AUG-2025 14:26:52)
23003, N ,1, 	(26-AUG-2025 14:26:52)
23006, N ,1, 	(26-AUG-2025 14:26:52)
23008, N ,1, 	(26-AUG-2025 14:26:52)
23014, N ,1, 	(26-AUG-2025 14:26:52)
23014, N ,2, 	(26-AUG-2025 14:26:52)
23021, N ,1, 	(26-AUG-2025 14:26:52)
23021, N ,2, 	(26-AUG-2025 14:26:52)
24007, N ,1, 	(26-AUG-2025 14:26:52)
24008, N ,1, 	(26-AUG-2025 14:26:52)
24009, N ,1, 	(26-AUG-2025 14:26:53)
24013, N ,1, 	(26-AUG-2025 14:26:53)
25004, N ,1, 	(26-AUG-2025 14:26:53)
20025, N ,1, 	(26-AUG-2025 14:26:53)
20026, N ,1, 	(26-AUG-2025 14:26:53)
20027, N ,1, 	(26-AUG-2025 14:26:53)
21008, N ,1, 	(26-AUG-2025 14:26:53)
21009, N ,1, 	(26-AUG-2025 14:26:53)
21047, N ,1, 	(26-AUG-2025 14:26:53)
21048, N ,1, 	(26-AUG-2025 14:26:53)
21049, N ,1, 	(26-AUG-2025 14:26:53)
21050, N ,1, 	(26-AUG-2025 14:26:53)
21053, N ,1, 	(26-AUG-2025 14:26:53)
21012, N ,1, 	(26-AUG-2025 14:26:53)
21013, N ,1, 	(26-AUG-2025 14:26:53)
21014, N ,1, 	(26-AUG-2025 14:26:53)
21015, N ,1, 	(26-AUG-2025 14:26:53)
21016, N ,1, 	(26-AUG-2025 14:26:53)
21017, N ,1, 	(26-AUG-2025 14:26:53)
21018, N ,1, 	(26-AUG-2025 14:26:53)
21019, N ,1, 	(26-AUG-2025 14:26:53)
21020, N ,1, 	(26-AUG-2025 14:26:53)
21021, N ,1, 	(26-AUG-2025 14:26:53)
21022, N ,1, 	(26-AUG-2025 14:26:53)
21023, N ,1, 	(26-AUG-2025 14:26:53)
21024, N ,1, 	(26-AUG-2025 14:26:53)
21025, N ,1, 	(26-AUG-2025 14:26:53)
21026, N ,1, 	(26-AUG-2025 14:26:53)
21027, N ,1, 	(26-AUG-2025 14:26:53)
21028, N ,1, 	(26-AUG-2025 14:26:53)
21029, N ,1, 	(26-AUG-2025 14:26:53)
21030, N ,1, 	(26-AUG-2025 14:26:53)
21031, N ,1, 	(26-AUG-2025 14:26:53)
21032, N ,1, 	(26-AUG-2025 14:26:53)
21033, N ,1, 	(26-AUG-2025 14:26:53)
21034, N ,1, 	(26-AUG-2025 14:26:53)
21035, N ,1, 	(26-AUG-2025 14:26:53)
21036, N ,1, 	(26-AUG-2025 14:26:53)
21037, N ,1, 	(26-AUG-2025 14:26:53)
21038, N ,1, 	(26-AUG-2025 14:26:53)
21039, N ,1, 	(26-AUG-2025 14:26:53)
21040, N ,1, 	(26-AUG-2025 14:26:53)
