

<<START>>,<<FMS_AGMT_MST>>,,, 	(03-MAR-2025 12:33:51)
 
COUNTERPARTY_ABBR,AGMT_TYPE,AGMT_NO,AGMT_REV 	(03-MAR-2025 12:33:52)
 
RIL,F,2,1, 	(03-MAR-2025 12:33:52)
RIL,F,3,0, 	(03-MAR-2025 12:33:52)
RIL,F,2,0, 	(03-MAR-2025 12:33:52)
RIL,F,4,0, 	(03-MAR-2025 12:33:52)
RIL,F,1,0, 	(03-MAR-2025 12:33:52)
MGL,F,7,0, 	(03-MAR-2025 12:33:52)
MGL,F,3,0, 	(03-MAR-2025 12:33:52)
MGL,F,5,0, 	(03-MAR-2025 12:33:52)
MGL,F,1,0, 	(03-MAR-2025 12:33:52)
MGL,F,6,0, 	(03-MAR-2025 12:33:52)
MGL,F,2,0, 	(03-MAR-2025 12:33:52)
MGL,F,4,0, 	(03-MAR-2025 12:33:52)
GSPCL,F,1,0, 	(03-MAR-2025 12:33:52)
GSPCL,F,2,0, 	(03-MAR-2025 12:33:52)
GSPCL,F,1,1, 	(03-MAR-2025 12:33:52)
GSPCL,F,1,3, 	(03-MAR-2025 12:33:52)
GSPCL,F,3,0, 	(03-MAR-2025 12:33:52)
GSPCL,F,1,2, 	(03-MAR-2025 12:33:52)
Gail,F,1,0, 	(03-MAR-2025 12:33:52)
Gail,F,2,1, 	(03-MAR-2025 12:33:52)
Gail,F,2,0, 	(03-MAR-2025 12:33:52)
BPL,F,1,0, 	(03-MAR-2025 12:33:52)
EPL,F,1,0, 	(03-MAR-2025 12:33:52)
ESL,F,1,0, 	(03-MAR-2025 12:33:52)
KRIBHCO,F,1,0, 	(03-MAR-2025 12:33:52)
DFPCL,F,1,0, 	(03-MAR-2025 12:33:52)
DFPCL,F,2,0, 	(03-MAR-2025 12:33:52)
AIGL,F,1,0, 	(03-MAR-2025 12:33:52)
ESEZ,F,1,0, 	(03-MAR-2025 12:33:52)
VIL,F,1,0, 	(03-MAR-2025 12:33:52)
VSIL,F,1,0, 	(03-MAR-2025 12:33:52)
GGCL,F,1,0, 	(03-MAR-2025 12:33:52)
TPL,F,1,0, 	(03-MAR-2025 12:33:52)
WMSL,F,2,0, 	(03-MAR-2025 12:33:52)
WMSL,F,1,1, 	(03-MAR-2025 12:33:52)
WMSL,F,1,0, 	(03-MAR-2025 12:33:52)
MNGL,F,1,0, 	(03-MAR-2025 12:33:52)
IGL,F,2,0, 	(03-MAR-2025 12:33:52)
IGL,F,1,0, 	(03-MAR-2025 12:33:52)
BPCL,F,1,0, 	(03-MAR-2025 12:33:52)
BPCL,F,2,0, 	(03-MAR-2025 12:33:52)
TEL,F,1,0, 	(03-MAR-2025 12:33:52)
HPCL,F,1,0, 	(03-MAR-2025 12:33:53)
HPCL,F,1,2, 	(03-MAR-2025 12:33:53)
HPCL,F,2,0, 	(03-MAR-2025 12:33:53)
HPCL,F,1,1, 	(03-MAR-2025 12:33:53)
JSW,F,1,0, 	(03-MAR-2025 12:33:53)
BGL,F,1,0, 	(03-MAR-2025 12:33:53)
GSFC,F,1,0, 	(03-MAR-2025 12:33:53)
H-Energy,F,1,0, 	(03-MAR-2025 12:33:53)
SIMPL,F,1,0, 	(03-MAR-2025 12:33:53)
AMNS,F,2,3, 	(03-MAR-2025 12:33:53)
AMNS,F,1,0, 	(03-MAR-2025 12:33:53)
AMNS,F,2,1, 	(03-MAR-2025 12:33:53)
AMNS,F,2,2, 	(03-MAR-2025 12:33:53)
AMNS,F,3,0, 	(03-MAR-2025 12:33:53)
AMNS,F,2,0, 	(03-MAR-2025 12:33:53)
SEMTIPL,F,1,0, 	(03-MAR-2025 12:33:53)
SGIPL,F,1,0, 	(03-MAR-2025 12:33:53)
VGL,F,1,0, 	(03-MAR-2025 12:33:53)
PGPGPL,F,1,0, 	(03-MAR-2025 12:33:53)
HCG,F,1,0, 	(03-MAR-2025 12:33:53)
GGL,F,1,0, 	(03-MAR-2025 12:33:53)
PipeInfra,F,1,0, 	(03-MAR-2025 12:33:53)
HSIL,F,1,0, 	(03-MAR-2025 12:33:53)
RIPL,F,1,0, 	(03-MAR-2025 12:33:53)
CP,F,1,0, 	(03-MAR-2025 12:33:53)
CP,F,2,0, 	(03-MAR-2025 12:33:53)
CP,F,3,0, 	(03-MAR-2025 12:33:53)

TOTAL DATA EXTRACTED :,69 ,,, 	(03-MAR-2025 12:33:53)
 
<<END>>,<<FMS_AGMT_MST>>,,, 	(03-MAR-2025 12:33:53)
 
<<START>>,<<FMS_AGMT_TRANSPTR>>,,,, 	(03-MAR-2025 12:33:53)
 
COUNTERPARTY_ABBR,AGMT_TYPE,AGMT_NO,AGMT_REV,TRANSPORTER_CD,PLANT_SEQ_NO 	(03-MAR-2025 12:33:53)
 
RIL,F,3,0,GSPL,1, 	(03-MAR-2025 12:33:53)
RIL,F,3,0,GSPL,2, 	(03-MAR-2025 12:33:53)
RIL,F,3,0,GSPL,3, 	(03-MAR-2025 12:33:53)
RIL,F,3,0,GSPL,4, 	(03-MAR-2025 12:33:53)
RIL,F,2,1,GSPL,1, 	(03-MAR-2025 12:33:53)
RIL,F,2,1,GSPL,2, 	(03-MAR-2025 12:33:53)
RIL,F,2,1,GSPL,3, 	(03-MAR-2025 12:33:53)
RIL,F,2,1,GSPL,4, 	(03-MAR-2025 12:33:53)
RIL,F,2,0,GSPL,1, 	(03-MAR-2025 12:33:53)
RIL,F,2,0,GSPL,2, 	(03-MAR-2025 12:33:53)
RIL,F,2,0,GSPL,3, 	(03-MAR-2025 12:33:53)
RIL,F,2,0,GSPL,4, 	(03-MAR-2025 12:33:53)
RIL,F,4,0,GSPL,1, 	(03-MAR-2025 12:33:53)
RIL,F,4,0,GSPL,2, 	(03-MAR-2025 12:33:53)
RIL,F,4,0,GSPL,3, 	(03-MAR-2025 12:33:53)
RIL,F,4,0,GSPL,4, 	(03-MAR-2025 12:33:53)
RIL,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:53)
RIL,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:53)
RIL,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:53)
RIL,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:53)
MGL,F,7,0,GSPL,1, 	(03-MAR-2025 12:33:53)
MGL,F,7,0,GSPL,2, 	(03-MAR-2025 12:33:53)
MGL,F,7,0,GSPL,3, 	(03-MAR-2025 12:33:53)
MGL,F,7,0,GSPL,4, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,2,GSPL,1, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,2,GSPL,2, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,2,GSPL,3, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,2,GSPL,4, 	(03-MAR-2025 12:33:53)
