
<<START>>,<<FMS_SECURITY_DEAL_MAP>>,,,,, 	(03-JUN-2025 11:32:58)
 
 COUNTERPARTY_CD, SEQ_NO, MAP_SEQ_NO, SEQ_REV_NO, GX ,  CONT_TYPE,TIMESTAMP
1,1,1,K,S, 	(03-JUN-2025 11:32:59)
1,2,1,K,S, 	(03-JUN-2025 11:32:59)
1,3,1,0,K,L, 	(03-JUN-2025 11:32:59)
1,4,1,0,K,L, 	(03-JUN-2025 11:32:59)
1,5,1,0,K,L, 	(03-JUN-2025 11:32:59)
2,1,1,K,S, 	(03-JUN-2025 11:32:59)
2,2,1,K,S, 	(03-JUN-2025 11:32:59)
2,3,1,K,S, 	(03-JUN-2025 11:32:59)
2,4,1,K,S, 	(03-JUN-2025 11:32:59)
2,5,1,K,S, 	(03-JUN-2025 11:32:59)
2,6,1,K,S, 	(03-JUN-2025 11:32:59)
2,7,1,K,S, 	(03-JUN-2025 11:32:59)
2,8,1,K,S, 	(03-JUN-2025 11:32:59)
2,9,1,K,S, 	(03-JUN-2025 11:32:59)
2,10,1,K,S, 	(03-JUN-2025 11:32:59)
2,11,1,K,S, 	(03-JUN-2025 11:32:59)
2,12,1,K,S, 	(03-JUN-2025 11:32:59)
2,13,1,K,S, 	(03-JUN-2025 11:32:59)
2,14,1,K,S, 	(03-JUN-2025 11:32:59)
2,15,1,K,S, 	(03-JUN-2025 11:32:59)
2,16,1,K,S, 	(03-JUN-2025 11:32:59)
2,17,1,K,S, 	(03-JUN-2025 11:32:59)
2,18,1,K,S, 	(03-JUN-2025 11:32:59)
2,19,1,K,S, 	(03-JUN-2025 11:32:59)
3,1,1,K,S, 	(03-JUN-2025 11:32:59)
3,2,1,K,S, 	(03-JUN-2025 11:32:59)
3,3,1,K,S, 	(03-JUN-2025 11:32:59)
3,4,1,K,S, 	(03-JUN-2025 11:32:59)
3,5,1,K,S, 	(03-JUN-2025 11:32:59)
3,6,1,K,S, 	(03-JUN-2025 11:32:59)
3,7,1,K,S, 	(03-JUN-2025 11:32:59)
3,8,1,K,S, 	(03-JUN-2025 11:32:59)
3,9,1,K,S, 	(03-JUN-2025 11:32:59)
3,10,1,K,S, 	(03-JUN-2025 11:32:59)
3,11,1,K,S, 	(03-JUN-2025 11:32:59)
3,12,1,K,S, 	(03-JUN-2025 11:32:59)
3,13,1,K,S, 	(03-JUN-2025 11:32:59)
3,14,1,K,S, 	(03-JUN-2025 11:32:59)
3,15,1,K,S, 	(03-JUN-2025 11:32:59)
3,16,1,K,S, 	(03-JUN-2025 11:32:59)
3,17,1,K,S, 	(03-JUN-2025 11:32:59)
3,18,1,K,S, 	(03-JUN-2025 11:32:59)
3,19,1,K,S, 	(03-JUN-2025 11:32:59)
3,20,1,K,S, 	(03-JUN-2025 11:32:59)
3,21,1,K,S, 	(03-JUN-2025 11:32:59)
3,22,1,K,S, 	(03-JUN-2025 11:32:59)
3,23,1,K,S, 	(03-JUN-2025 11:32:59)
3,24,1,K,S, 	(03-JUN-2025 11:32:59)
3,25,1,K,S, 	(03-JUN-2025 11:32:59)
3,26,1,K,S, 	(03-JUN-2025 11:32:59)
3,27,1,K,S, 	(03-JUN-2025 11:32:59)
3,28,1,K,S, 	(03-JUN-2025 11:32:59)
3,29,1,K,S, 	(03-JUN-2025 11:32:59)
3,30,1,K,S, 	(03-JUN-2025 11:32:59)
3,31,1,K,S, 	(03-JUN-2025 11:32:59)
3,32,1,K,S, 	(03-JUN-2025 11:32:59)
3,33,1,K,S, 	(03-JUN-2025 11:32:59)
3,34,1,K,S, 	(03-JUN-2025 11:32:59)
3,35,1,K,S, 	(03-JUN-2025 11:32:59)
3,36,1,K,S, 	(03-JUN-2025 11:32:59)
3,37,1,K,S, 	(03-JUN-2025 11:32:59)
3,38,1,K,S, 	(03-JUN-2025 11:32:59)
3,39,1,K,S, 	(03-JUN-2025 11:32:59)
3,40,1,K,S, 	(03-JUN-2025 11:32:59)
3,41,1,K,S, 	(03-JUN-2025 11:32:59)
3,42,1,K,S, 	(03-JUN-2025 11:32:59)
4,1,1,K,S, 	(03-JUN-2025 11:32:59)
4,2,1,K,S, 	(03-JUN-2025 11:32:59)
4,3,1,K,S, 	(03-JUN-2025 11:32:59)
4,4,1,K,S, 	(03-JUN-2025 11:32:59)
4,5,1,K,S, 	(03-JUN-2025 11:32:59)
4,6,1,K,S, 	(03-JUN-2025 11:32:59)
4,7,1,0,K,L, 	(03-JUN-2025 11:32:59)
4,8,1,0,K,L, 	(03-JUN-2025 11:32:59)
4,9,1,0,K,L, 	(03-JUN-2025 11:32:59)
4,10,1,0,K,L, 	(03-JUN-2025 11:32:59)
4,11,1,0,K,L, 	(03-JUN-2025 11:32:59)
4,12,1,0,K,L, 	(03-JUN-2025 11:32:59)
4,13,1,0,K,L, 	(03-JUN-2025 11:32:59)
4,14,1,0,K,L, 	(03-JUN-2025 11:32:59)
4,15,1,0,K,L, 	(03-JUN-2025 11:32:59)
4,16,1,0,K,L, 	(03-JUN-2025 11:32:59)
4,17,1,0,K,L, 	(03-JUN-2025 11:32:59)
4,1,1,K,L, 	(03-JUN-2025 11:32:59)
4,2,1,K,L, 	(03-JUN-2025 11:32:59)
4,3,1,K,L, 	(03-JUN-2025 11:32:59)
4,4,1,K,L, 	(03-JUN-2025 11:32:59)
4,5,1,K,L, 	(03-JUN-2025 11:32:59)
4,6,1,K,L, 	(03-JUN-2025 11:32:59)
4,7,1,K,L, 	(03-JUN-2025 11:32:59)
4,8,1,K,L, 	(03-JUN-2025 11:32:59)
4,9,1,K,L, 	(03-JUN-2025 11:32:59)
4,10,1,K,L, 	(03-JUN-2025 11:32:59)
4,11,1,K,L, 	(03-JUN-2025 11:32:59)
4,12,1,K,L, 	(03-JUN-2025 11:32:59)
4,13,1,K,L, 	(03-JUN-2025 11:32:59)
