
<<START>>,<<FMS_AGMT_PLANT>>,,,, 	(04-MAR-2025 09:53:18)
 
COUNTERPARTY_ABBR,AGMT_TYPE,AGMT_NO,AGMT_REV,PLANT_SEQ_NO 	(04-MAR-2025 09:53:19)
 
RIL,F,2,1,1, 	(04-MAR-2025 09:53:19)
RIL,F,2,1,4, 	(04-MAR-2025 09:53:19)
RIL,F,4,0,3, 	(04-MAR-2025 09:53:19)
RIL,F,3,0,2, 	(04-MAR-2025 09:53:19)
RIL,F,2,0,2, 	(04-MAR-2025 09:53:19)
RIL,F,1,0,3, 	(04-MAR-2025 09:53:19)
RIL,F,2,1,3, 	(04-MAR-2025 09:53:19)
RIL,F,4,0,1, 	(04-MAR-2025 09:53:19)
RIL,F,3,0,1, 	(04-MAR-2025 09:53:19)
RIL,F,2,0,6, 	(04-MAR-2025 09:53:19)
RIL,F,1,0,2, 	(04-MAR-2025 09:53:19)
RIL,F,3,0,4, 	(04-MAR-2025 09:53:19)
RIL,F,2,0,4, 	(04-MAR-2025 09:53:19)
RIL,F,2,1,2, 	(04-MAR-2025 09:53:19)
RIL,F,3,0,6, 	(04-MAR-2025 09:53:19)
RIL,F,2,0,3, 	(04-MAR-2025 09:53:19)
RIL,F,2,0,5, 	(04-MAR-2025 09:53:19)
RIL,F,3,0,5, 	(04-MAR-2025 09:53:19)
RIL,F,2,0,1, 	(04-MAR-2025 09:53:19)
RIL,F,4,0,5, 	(04-MAR-2025 09:53:19)
RIL,F,3,0,3, 	(04-MAR-2025 09:53:19)
RIL,F,2,1,5, 	(04-MAR-2025 09:53:19)
RIL,F,2,1,6, 	(04-MAR-2025 09:53:19)
MGL,F,2,0,1, 	(04-MAR-2025 09:53:19)
MGL,F,6,0,1, 	(04-MAR-2025 09:53:19)
MGL,F,5,0,1, 	(04-MAR-2025 09:53:19)
MGL,F,4,0,1, 	(04-MAR-2025 09:53:19)
MGL,F,1,0,1, 	(04-MAR-2025 09:53:19)
MGL,F,7,0,1, 	(04-MAR-2025 09:53:19)
MGL,F,3,0,1, 	(04-MAR-2025 09:53:19)
GSPCL,F,1,1,1, 	(04-MAR-2025 09:53:19)
GSPCL,F,2,0,1, 	(04-MAR-2025 09:53:19)
GSPCL,F,1,3,1, 	(04-MAR-2025 09:53:19)
GSPCL,F,3,0,1, 	(04-MAR-2025 09:53:19)
GSPCL,F,1,2,1, 	(04-MAR-2025 09:53:19)
GSPCL,F,1,0,1, 	(04-MAR-2025 09:53:19)
Gail,F,1,0,1, 	(04-MAR-2025 09:53:19)
Gail,F,2,0,1, 	(04-MAR-2025 09:53:19)
Gail,F,2,1,1, 	(04-MAR-2025 09:53:19)
BPL,F,1,0,1, 	(04-MAR-2025 09:53:19)
EPL,F,1,0,1, 	(04-MAR-2025 09:53:19)
ESL,F,1,0,1, 	(04-MAR-2025 09:53:19)
KRIBHCO,F,1,0,1, 	(04-MAR-2025 09:53:19)
DFPCL,F,2,0,1, 	(04-MAR-2025 09:53:19)
DFPCL,F,1,0,1, 	(04-MAR-2025 09:53:19)
AIGL,F,1,0,1, 	(04-MAR-2025 09:53:19)
ESEZ,F,1,0,1, 	(04-MAR-2025 09:53:19)
VIL,F,1,0,1, 	(04-MAR-2025 09:53:19)
VSIL,F,1,0,1, 	(04-MAR-2025 09:53:19)
GGCL,F,1,0,1, 	(04-MAR-2025 09:53:19)
TPL,F,1,0,1, 	(04-MAR-2025 09:53:19)
WMSL,F,2,0,1, 	(04-MAR-2025 09:53:19)
WMSL,F,1,1,1, 	(04-MAR-2025 09:53:19)
WMSL,F,1,2,1, 	(04-MAR-2025 09:53:19)
WMSL,F,1,0,1, 	(04-MAR-2025 09:53:19)
MNGL,F,1,0,1, 	(04-MAR-2025 09:53:19)
IGL,F,2,0,1, 	(04-MAR-2025 09:53:19)
IGL,F,1,0,1, 	(04-MAR-2025 09:53:19)
BPCL,F,1,0,1, 	(04-MAR-2025 09:53:19)
BPCL,F,2,0,1, 	(04-MAR-2025 09:53:19)
TEL,F,1,0,1, 	(04-MAR-2025 09:53:19)
HPCL,F,1,2,2, 	(04-MAR-2025 09:53:19)
HPCL,F,2,0,1, 	(04-MAR-2025 09:53:19)
HPCL,F,1,1,1, 	(04-MAR-2025 09:53:19)
HPCL,F,2,0,2, 	(04-MAR-2025 09:53:19)
HPCL,F,1,2,1, 	(04-MAR-2025 09:53:19)
HPCL,F,1,0,1, 	(04-MAR-2025 09:53:19)
JSW,F,1,0,1, 	(04-MAR-2025 09:53:19)
BGL,F,1,0,1, 	(04-MAR-2025 09:53:19)
GSFC,F,1,0,1, 	(04-MAR-2025 09:53:19)
H-Energy,F,1,0,1, 	(04-MAR-2025 09:53:19)
SIMPL,F,1,0,1, 	(04-MAR-2025 09:53:19)
AMNS,F,2,3,1, 	(04-MAR-2025 09:53:19)
AMNS,F,3,0,1, 	(04-MAR-2025 09:53:19)
AMNS,F,2,2,1, 	(04-MAR-2025 09:53:19)
AMNS,F,1,0,1, 	(04-MAR-2025 09:53:19)
AMNS,F,2,0,1, 	(04-MAR-2025 09:53:19)
AMNS,F,2,1,1, 	(04-MAR-2025 09:53:19)
SEMTIPL,F,1,0,1, 	(04-MAR-2025 09:53:19)
SEMTIPL,F,1,0,2, 	(04-MAR-2025 09:53:19)
SGIPL,F,1,0,1, 	(04-MAR-2025 09:53:19)
VGL,F,1,0,1, 	(04-MAR-2025 09:53:19)
VGL,F,1,0,2, 	(04-MAR-2025 09:53:19)
PGPGPL,F,1,0,2, 	(04-MAR-2025 09:53:19)
PGPGPL,F,1,0,1, 	(04-MAR-2025 09:53:19)
HCG,F,1,0,1, 	(04-MAR-2025 09:53:19)
GGL,F,1,0,1, 	(04-MAR-2025 09:53:19)
PipeInfra,F,1,0,5, 	(04-MAR-2025 09:53:19)
PipeInfra,F,1,0,6, 	(04-MAR-2025 09:53:19)
HSIL,F,1,0,1, 	(04-MAR-2025 09:53:19)
RIPL,F,1,0,1, 	(04-MAR-2025 09:53:19)
CP,F,1,0,1, 	(04-MAR-2025 09:53:19)
CP,F,2,0,2, 	(04-MAR-2025 09:53:19)
CP,F,1,0,2, 	(04-MAR-2025 09:53:19)
CP,F,2,0,1, 	(04-MAR-2025 09:53:19)
CP,F,3,0,1, 	(04-MAR-2025 09:53:19)
CP,F,3,0,2, 	(04-MAR-2025 09:53:19)

TOTAL DATA EXTRACTED :,97,,,, 	(04-MAR-2025 09:53:20)
 
<<END>>,<<FMS_AGMT_PLANT>>,,,, 	(04-MAR-2025 09:53:20)
 
