

<<START>>,<<FMS_AGMT_MST>>,,, 	(04-JUN-2025 15:52:01)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP,
RIL,1,F,1,0, 	(04-JUN-2025 15:52:02)
RIL,1,F,2,1, 	(04-JUN-2025 15:52:02)
RIL,1,F,2,0, 	(04-JUN-2025 15:52:02)
RIL,1,F,3,0, 	(04-JUN-2025 15:52:02)
MGL,2,F,6,0, 	(04-JUN-2025 15:52:02)
MGL,2,F,6,1, 	(04-JUN-2025 15:52:02)
MGL,2,F,6,2, 	(04-JUN-2025 15:52:02)
MGL,2,F,1,0, 	(04-JUN-2025 15:52:02)
MGL,2,F,3,0, 	(04-JUN-2025 15:52:02)
MGL,2,F,4,0, 	(04-JUN-2025 15:52:02)
MGL,2,F,2,0, 	(04-JUN-2025 15:52:02)
MGL,2,F,5,0, 	(04-JUN-2025 15:52:02)
GSPCL,3,F,1,3, 	(04-JUN-2025 15:52:02)
GSPCL,3,F,1,4, 	(04-JUN-2025 15:52:02)
GSPCL,3,F,1,2, 	(04-JUN-2025 15:52:02)
GSPCL,3,F,2,0, 	(04-JUN-2025 15:52:02)
GSPCL,3,F,1,1, 	(04-JUN-2025 15:52:02)
GSPCL,3,F,1,0, 	(04-JUN-2025 15:52:02)
Gail,4,F,2,0, 	(04-JUN-2025 15:52:02)
Gail,4,F,2,1, 	(04-JUN-2025 15:52:02)
Gail,4,F,1,0, 	(04-JUN-2025 15:52:02)
BPL,5,F,1,0, 	(04-JUN-2025 15:52:02)
EPL,6,F,1,0, 	(04-JUN-2025 15:52:02)
ESL,7,F,1,0, 	(04-JUN-2025 15:52:02)
DFPCL,10,F,1,0, 	(04-JUN-2025 15:52:02)
DFPCL,10,F,2,0, 	(04-JUN-2025 15:52:02)
AIGL,11,F,1,0, 	(04-JUN-2025 15:52:02)
ESEZ,12,F,1,0, 	(04-JUN-2025 15:52:02)
VIL,17,F,1,0, 	(04-JUN-2025 15:52:02)
VSIL,18,F,1,0, 	(04-JUN-2025 15:52:02)
GGCL,19,F,1,0, 	(04-JUN-2025 15:52:02)
TPL,20,F,1,0, 	(04-JUN-2025 15:52:02)
WMSL,21,F,2,0, 	(04-JUN-2025 15:52:02)
WMSL,21,F,1,0, 	(04-JUN-2025 15:52:02)
WMSL,21,F,1,1, 	(04-JUN-2025 15:52:02)
MNGL,22,F,1,0, 	(04-JUN-2025 15:52:02)
IGL,23,F,2,0, 	(04-JUN-2025 15:52:02)
IGL,23,F,1,0, 	(04-JUN-2025 15:52:02)
BPCL,24,F,1,0, 	(04-JUN-2025 15:52:02)
TEL,25,F,1,0, 	(04-JUN-2025 15:52:02)
HPCL,26,F,1,1, 	(04-JUN-2025 15:52:02)
HPCL,26,F,1,0, 	(04-JUN-2025 15:52:02)
HPCL,26,F,1,2, 	(04-JUN-2025 15:52:02)
HPCL,26,F,2,0, 	(04-JUN-2025 15:52:02)
JSW,27,F,1,0, 	(04-JUN-2025 15:52:02)
BGL,28,F,1,0, 	(04-JUN-2025 15:52:02)
GSFC,29,F,1,0, 	(04-JUN-2025 15:52:02)
H-Energy,30,F,1,0, 	(04-JUN-2025 15:52:02)
SIMPL,31,F,1,0, 	(04-JUN-2025 15:52:02)
ATGL,32,F,1,0, 	(04-JUN-2025 15:52:02)
AMNS,33,F,1,0, 	(04-JUN-2025 15:52:02)
AMNS,33,F,2,0, 	(04-JUN-2025 15:52:02)
SEMTPL,34,F,1,0, 	(04-JUN-2025 15:52:02)
SGIPL,35,F,1,0, 	(04-JUN-2025 15:52:02)
VGL,36,F,1,0, 	(04-JUN-2025 15:52:02)
PGPGPL,37,F,1,0, 	(04-JUN-2025 15:52:02)
PGPGPL,37,F,1,0, 	(04-JUN-2025 15:52:02)
HCG,38,F,1,0, 	(04-JUN-2025 15:52:02)
GGL,39,F,1,0, 	(04-JUN-2025 15:52:02)
HGL-RLNG,42,F,1,0, 	(04-JUN-2025 15:52:02)
HSIL,45,F,1,0, 	(04-JUN-2025 15:52:02)
VVF,46,F,1,0, 	(04-JUN-2025 15:52:02)
MINDA,54,F,1,0, 	(04-JUN-2025 15:52:02)
HIL,57,F,1,0, 	(04-JUN-2025 15:52:02)
HCGD-B,58,F,1,0, 	(04-JUN-2025 15:52:02)
KAJARIA,68,F,1,0, 	(04-JUN-2025 15:52:02)
SISECAM,70,F,1,0, 	(04-JUN-2025 15:52:02)
ATPL,71,F,1,0, 	(04-JUN-2025 15:52:02)
OPAL,72,F,1,0, 	(04-JUN-2025 15:52:02)
TGLPL,110,F,1,0, 	(04-JUN-2025 15:52:02)
TGBPL,111,F,1,0, 	(04-JUN-2025 15:52:02)
BGEPL,112,F,1,0, 	(04-JUN-2025 15:52:02)
VVF India,115,F,1,0, 	(04-JUN-2025 15:52:02)
GNFC,116,F,1,0, 	(04-JUN-2025 15:52:02)
GLIL,119,F,1,0, 	(04-JUN-2025 15:52:02)
GFCL,128,F,1,0, 	(04-JUN-2025 15:52:02)
CPL,130,F,1,0, 	(04-JUN-2025 15:52:02)
IRM,131,F,1,0, 	(04-JUN-2025 15:52:02)
INPEROX,134,F,1,0, 	(04-JUN-2025 15:52:02)
EFSPL,138,F,1,0, 	(04-JUN-2025 15:52:02)
GOAGLSF,143,F,1,0, 	(04-JUN-2025 15:52:02)
PEFORCV,146,F,1,0, 	(04-JUN-2025 15:52:02)
HINAGIL,184,F,1,0, 	(04-JUN-2025 15:52:02)
NEL,209,F,1,0, 	(04-JUN-2025 15:52:02)
NEL,209,F,2,0, 	(04-JUN-2025 15:52:02)
TASTELI,238,F,2,0, 	(04-JUN-2025 15:52:02)
TASTELI,238,F,1,0, 	(04-JUN-2025 15:52:02)
BOROREN,241,F,1,0, 	(04-JUN-2025 15:52:02)
SEMTEXP,269,F,1,0, 	(04-JUN-2025 15:52:02)
SUMGLAS,274,F,1,0, 	(04-JUN-2025 15:52:02)
SVTPLIN,275,F,1,0, 	(04-JUN-2025 15:52:02)
CRMNDEL,291,F,1,0, 	(04-JUN-2025 15:52:02)

TOTAL DATA EXTRACTED :,92 ,,, 	(04-JUN-2025 15:52:02)
 
<<END>>,<<FMS_AGMT_MST>>,,, 	(04-JUN-2025 15:52:02)
 
<<START>>,<<FMS_AGMT_TRANSPTR>>,,,, 	(04-JUN-2025 15:52:02)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TRANSPORTER_CD,PLANT_SEQ_NO,TIMESTAMP,
RIL,1,F,2,0,GSPL,1, 	(04-JUN-2025 15:52:03)
