
<<START>>,<<FMS_FFLOW_INV_MST>>,,,, 	(04-SEP-2025 16:02:55)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,LOG_SEQ_NO,TIMESTAMP,
RIL,O,, 	(04-SEP-2025 16:02:56)
RIL,O,, 	(04-SEP-2025 16:02:56)
RIL,O,, 	(04-SEP-2025 16:02:56)
RIL,O,, 	(04-SEP-2025 16:02:56)
RIL,O,, 	(04-SEP-2025 16:02:56)
RIL,O,, 	(04-SEP-2025 16:02:56)
RIL,O,, 	(04-SEP-2025 16:02:56)
RIL,L,, 	(04-SEP-2025 16:02:56)
GSPCL,O,, 	(04-SEP-2025 16:02:56)
GSPCL,M,, 	(04-SEP-2025 16:02:56)
Gail,E,, 	(04-SEP-2025 16:02:56)
Gail,E,, 	(04-SEP-2025 16:02:56)
Gail,M,, 	(04-SEP-2025 16:02:56)
Gail,M,, 	(04-SEP-2025 16:02:56)
Gail,O,, 	(04-SEP-2025 16:02:56)
KRIBHCO,L,, 	(04-SEP-2025 16:02:56)
HPCL,M,, 	(04-SEP-2025 16:02:56)
GSFC,M,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,E,, 	(04-SEP-2025 16:02:56)
AMNS,O,, 	(04-SEP-2025 16:02:56)
AMNS,O,, 	(04-SEP-2025 16:02:56)
AMNS,Q,, 	(04-SEP-2025 16:02:56)
SEMTPL,M,, 	(04-SEP-2025 16:02:56)
SGIPL,M,, 	(04-SEP-2025 16:02:56)
SGIPL,M,, 	(04-SEP-2025 16:02:56)
SGIPL,M,, 	(04-SEP-2025 16:02:56)
HCG,M,, 	(04-SEP-2025 16:02:56)
GGL,M,, 	(04-SEP-2025 16:02:56)

TOTAL DATA EXTRACTED :,62,,,, 	(04-SEP-2025 16:02:56)
 
<<END>>,<<FMS_FFLOW_INV_MST>>,,,, 	(04-SEP-2025 16:02:56)
 
