
<<START>>,<<FMS_LTCORA_CONT_BILLING_DTL>>,,,, 	(12-SEP-2025 16:03:09)
 
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
1,C,A,1,0,2,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,2,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,2,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,2,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,2,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,2,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,2,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,2,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
4,C,A,1,0,12016,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
20,C,A,1,0,3,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
20,C,A,1,0,4,0,O, 	(12-SEP-2025 16:03:09)
20,C,A,1,0,4,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
1,C,A,1,0,3,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,3,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,3,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,3,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,3,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,3,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,3,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,3,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,3,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,3,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,1,0,12017,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,2,0,12017,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,5,0,90519,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,2,0,12017,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,3,0,12017,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,3,0,12017,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,5,0,32019,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,8,0,12019,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,5,0,12019,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,5,0,60519,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,5,0,70519,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
1,C,A,1,0,1,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,1,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,1,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,1,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,1,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,1,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,1,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,1,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
4,C,A,2,0,12018,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
20,C,A,1,0,2,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,5,0,12017,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,4,0,12018,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
4,C,A,3,0,12018,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
20,C,A,1,0,8,0,O, 	(12-SEP-2025 16:03:09)
20,C,A,1,0,8,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,5,0,22019,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,11,0,11119,0,Q, 	(12-SEP-2025 16:03:09)
