
<<START>>,<<FMS_INVOICE_MST>>,,,, 	(13-MAY-2025 11:46:52)
 
ABBR,CONT_TYPE,SEQ_NO,TIMESTAMP
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,S,, 	(13-MAY-2025 11:46:53)
RIL,L,, 	(13-MAY-2025 11:46:53)
RIL,L,, 	(13-MAY-2025 11:46:53)
RIL,L,, 	(13-MAY-2025 11:46:53)
RIL,L,, 	(13-MAY-2025 11:46:53)
RIL,L,, 	(13-MAY-2025 11:46:53)
RIL,L,, 	(13-MAY-2025 11:46:53)
RIL,L,, 	(13-MAY-2025 11:46:53)
RIL,L,, 	(13-MAY-2025 11:46:53)
RIL,L,, 	(13-MAY-2025 11:46:53)
RIL,L,, 	(13-MAY-2025 11:46:53)
RIL,L,, 	(13-MAY-2025 11:46:53)
RIL,L,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:53)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,S,, 	(13-MAY-2025 11:46:54)
MGL,K,, 	(13-MAY-2025 11:46:54)
MGL,K,, 	(13-MAY-2025 11:46:54)
MGL,K,, 	(13-MAY-2025 11:46:54)
MGL,K,, 	(13-MAY-2025 11:46:54)
MGL,K,, 	(13-MAY-2025 11:46:54)
MGL,K,, 	(13-MAY-2025 11:46:54)
MGL,K,, 	(13-MAY-2025 11:46:54)
MGL,K,, 	(13-MAY-2025 11:46:54)
MGL,K,, 	(13-MAY-2025 11:46:54)
MGL,K,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
GSPCL,S,, 	(13-MAY-2025 11:46:54)
