

<<START>>,<<FMS_AGMT_MST>>,,, 	(17-MAY-2025 17:15:07)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP,
RIL,1,F,1,0, 	(17-MAY-2025 17:15:08)
RIL,1,F,2,1, 	(17-MAY-2025 17:15:08)
RIL,1,F,2,0, 	(17-MAY-2025 17:15:08)
RIL,1,F,3,0, 	(17-MAY-2025 17:15:08)
MGL,2,F,6,0, 	(17-MAY-2025 17:15:08)
MGL,2,F,6,1, 	(17-MAY-2025 17:15:08)
MGL,2,F,6,2, 	(17-MAY-2025 17:15:08)
MGL,2,F,1,0, 	(17-MAY-2025 17:15:08)
MGL,2,F,3,0, 	(17-MAY-2025 17:15:08)
MGL,2,F,4,0, 	(17-MAY-2025 17:15:08)
MGL,2,F,2,0, 	(17-MAY-2025 17:15:08)
MGL,2,F,5,0, 	(17-MAY-2025 17:15:08)
GSPCL,3,F,1,3, 	(17-MAY-2025 17:15:08)
GSPCL,3,F,1,4, 	(17-MAY-2025 17:15:08)
GSPCL,3,F,1,2, 	(17-MAY-2025 17:15:08)
GSPCL,3,F,2,0, 	(17-MAY-2025 17:15:08)
GSPCL,3,F,1,1, 	(17-MAY-2025 17:15:08)
GSPCL,3,F,1,0, 	(17-MAY-2025 17:15:08)
Gail,4,F,2,0, 	(17-MAY-2025 17:15:08)
Gail,4,F,2,1, 	(17-MAY-2025 17:15:08)
Gail,4,F,1,0, 	(17-MAY-2025 17:15:08)
BPL,5,F,1,0, 	(17-MAY-2025 17:15:08)
EPL,6,F,1,0, 	(17-MAY-2025 17:15:08)
ESL,7,F,1,0, 	(17-MAY-2025 17:15:08)
DFPCL,10,F,1,0, 	(17-MAY-2025 17:15:08)
DFPCL,10,F,2,0, 	(17-MAY-2025 17:15:08)
AIGL,11,F,1,0, 	(17-MAY-2025 17:15:08)
ESEZ,12,F,1,0, 	(17-MAY-2025 17:15:08)
VIL,17,F,1,0, 	(17-MAY-2025 17:15:08)
VSIL,18,F,1,0, 	(17-MAY-2025 17:15:08)
GGCL,19,F,1,0, 	(17-MAY-2025 17:15:08)
TPL,20,F,1,0, 	(17-MAY-2025 17:15:08)
WMSL,21,F,2,0, 	(17-MAY-2025 17:15:08)
WMSL,21,F,1,0, 	(17-MAY-2025 17:15:08)
WMSL,21,F,1,1, 	(17-MAY-2025 17:15:08)
MNGL,22,F,1,0, 	(17-MAY-2025 17:15:08)
IGL,23,F,2,0, 	(17-MAY-2025 17:15:08)
IGL,23,F,1,0, 	(17-MAY-2025 17:15:08)
BPCL,24,F,1,0, 	(17-MAY-2025 17:15:08)
TEL,25,F,1,0, 	(17-MAY-2025 17:15:08)
HPCL,26,F,1,1, 	(17-MAY-2025 17:15:08)
HPCL,26,F,1,0, 	(17-MAY-2025 17:15:08)
HPCL,26,F,1,2, 	(17-MAY-2025 17:15:08)
HPCL,26,F,2,0, 	(17-MAY-2025 17:15:08)
JSW,27,F,1,0, 	(17-MAY-2025 17:15:08)
BGL,28,F,1,0, 	(17-MAY-2025 17:15:08)
GSFC,29,F,1,0, 	(17-MAY-2025 17:15:08)
H-Energy,30,F,1,0, 	(17-MAY-2025 17:15:08)
SIMPL,31,F,1,0, 	(17-MAY-2025 17:15:08)
ATGL,32,F,1,0, 	(17-MAY-2025 17:15:08)
AMNS,33,F,1,0, 	(17-MAY-2025 17:15:08)
AMNS,33,F,2,0, 	(17-MAY-2025 17:15:08)
SEMTPL,34,F,1,0, 	(17-MAY-2025 17:15:08)
SGIPL,35,F,1,0, 	(17-MAY-2025 17:15:08)
VGL,36,F,1,0, 	(17-MAY-2025 17:15:08)
PGPGPL,37,F,1,0, 	(17-MAY-2025 17:15:08)
PGPL,37,F,1,0, 	(17-MAY-2025 17:15:08)
HCG,38,F,1,0, 	(17-MAY-2025 17:15:08)
GGL,39,F,1,0, 	(17-MAY-2025 17:15:08)
HGL-RLNG,42,F,1,0, 	(17-MAY-2025 17:15:08)
HSIL,45,F,1,0, 	(17-MAY-2025 17:15:08)
VVF,46,F,1,0, 	(17-MAY-2025 17:15:08)
MINDA,54,F,1,0, 	(17-MAY-2025 17:15:08)
HIL,57,F,1,0, 	(17-MAY-2025 17:15:08)
HCGD-B,58,F,1,0, 	(17-MAY-2025 17:15:08)
KAJARIA,68,F,1,0, 	(17-MAY-2025 17:15:08)
SISECAM,70,F,1,0, 	(17-MAY-2025 17:15:08)
ATPL,71,F,1,0, 	(17-MAY-2025 17:15:08)
OPAL,72,F,1,0, 	(17-MAY-2025 17:15:08)
TGLPL,110,F,1,0, 	(17-MAY-2025 17:15:08)
TGBPL,111,F,1,0, 	(17-MAY-2025 17:15:08)
BGEPL,112,F,1,0, 	(17-MAY-2025 17:15:08)
VVF India,115,F,1,0, 	(17-MAY-2025 17:15:08)
GNFC,116,F,1,0, 	(17-MAY-2025 17:15:08)
GLIL,119,F,1,0, 	(17-MAY-2025 17:15:08)
GFCL,128,F,1,0, 	(17-MAY-2025 17:15:08)
CPL,130,F,1,0, 	(17-MAY-2025 17:15:08)
IRM,131,F,1,0, 	(17-MAY-2025 17:15:08)
INPEROX,134,F,1,0, 	(17-MAY-2025 17:15:08)
EFSPL,138,F,1,0, 	(17-MAY-2025 17:15:08)
GOAGLSF,143,F,1,0, 	(17-MAY-2025 17:15:08)
PEFORCV,146,F,1,0, 	(17-MAY-2025 17:15:08)
HINAGIL,184,F,1,0, 	(17-MAY-2025 17:15:08)
NEL,209,F,1,0, 	(17-MAY-2025 17:15:08)
NEL,209,F,2,0, 	(17-MAY-2025 17:15:08)
TASTELI,238,F,2,0, 	(17-MAY-2025 17:15:08)
TASTELI,238,F,1,0, 	(17-MAY-2025 17:15:08)
BOROREN,241,F,1,0, 	(17-MAY-2025 17:15:08)
SEMTEXP,269,F,1,0, 	(17-MAY-2025 17:15:08)
SUMGLAS,274,F,1,0, 	(17-MAY-2025 17:15:08)
SVTPLIN,275,F,1,0, 	(17-MAY-2025 17:15:08)
CRMNDEL,291,F,1,0, 	(17-MAY-2025 17:15:08)

TOTAL DATA EXTRACTED :,92 ,,, 	(17-MAY-2025 17:15:08)
 
<<END>>,<<FMS_AGMT_MST>>,,, 	(17-MAY-2025 17:15:08)
 
