
<<START>>,<<FMS_LTCORA_CONT_STRG_CRG>>,,,, 	(17-MAY-2025 18:06:26)
 
COUNTERPARTY_ABBR,BUY_SALE,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,SEQ_NO,TIMESTAMP,
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)
AMNS,,A,19,0,, 	(17-MAY-2025 18:06:27)

TOTAL DATA EXTRACTED :,20,,,, 	(17-MAY-2025 18:06:27)
 
<<END>>,<<FMS_LTCORA_CONT_STRG_CRG>>,,,, 	(17-MAY-2025 18:06:27)
 
<<START>>,<<FMS_SECURITY_DEAL_MAP>>,,,,, 	(17-MAY-2025 18:06:27)
 
 COUNTERPARTY_CD, SEQ_NO, MAP_SEQ_NO, SEQ_REV_NO, GX , CONT_TYPE,TIMESTAMP
1,1,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,2,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,3,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,4,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,5,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,6,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,7,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,8,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,9,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,10,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,11,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,12,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,13,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,14,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,15,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,16,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,17,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,18,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,19,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,20,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,21,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,22,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,23,1,0,K,S, 	(17-MAY-2025 18:06:27)
1,24,1,0,K,L, 	(17-MAY-2025 18:06:27)
1,25,1,0,K,L, 	(17-MAY-2025 18:06:27)
1,26,1,0,K,L, 	(17-MAY-2025 18:06:27)
1,27,1,0,K,L, 	(17-MAY-2025 18:06:27)
1,28,1,0,K,L, 	(17-MAY-2025 18:06:27)
1,29,1,0,K,L, 	(17-MAY-2025 18:06:27)
1,30,1,0,K,L, 	(17-MAY-2025 18:06:27)
2,1,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,2,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,3,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,4,1,1,K,S, 	(17-MAY-2025 18:06:27)
2,5,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,6,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,7,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,8,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,9,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,10,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,11,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,12,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,13,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,14,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,15,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,16,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,17,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,18,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,19,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,20,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,21,1,0,K,S, 	(17-MAY-2025 18:06:27)
2,22,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,1,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,2,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,3,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,4,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,5,1,1,K,S, 	(17-MAY-2025 18:06:27)
3,6,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,7,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,8,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,9,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,10,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,11,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,12,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,13,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,14,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,15,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,16,1,0,K,S, 	(17-MAY-2025 18:06:27)
3,17,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,1,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,2,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,3,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,4,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,5,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,6,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,7,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,8,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,9,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,10,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,11,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,12,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,13,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,14,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,15,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,16,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,17,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,18,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,19,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,20,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,21,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,22,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,23,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,24,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,25,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,26,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,27,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,28,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,29,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,30,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,31,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,32,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,33,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,34,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,35,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,36,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,37,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,38,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,39,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,40,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,41,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,1,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,2,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,3,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,4,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,5,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,6,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,7,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,8,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,9,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,10,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,11,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,12,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,13,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,14,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,15,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,16,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,17,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,18,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,19,1,0,K,S, 	(17-MAY-2025 18:06:27)
