
<<START>>,<<FMS_INVOICE_MST>>,,,, 	(22-SEP-2025 17:32:35)
 
ABBR,CONT_TYPE,SEQ_NO,TIMESTAMP
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,S,, 	(22-SEP-2025 17:32:36)
RIL,L,, 	(22-SEP-2025 17:32:36)
RIL,L,, 	(22-SEP-2025 17:32:36)
RIL,L,, 	(22-SEP-2025 17:32:36)
RIL,L,, 	(22-SEP-2025 17:32:36)
RIL,L,, 	(22-SEP-2025 17:32:36)
RIL,L,, 	(22-SEP-2025 17:32:36)
RIL,L,, 	(22-SEP-2025 17:32:36)
RIL,L,, 	(22-SEP-2025 17:32:36)
RIL,L,, 	(22-SEP-2025 17:32:36)
RIL,L,, 	(22-SEP-2025 17:32:36)
RIL,L,, 	(22-SEP-2025 17:32:36)
RIL,L,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:36)
RIL,O,, 	(22-SEP-2025 17:32:37)
