
<<START>>,<<FMS_INVOICE_MST_TAXCD_UPDATE>>,,,, 	(23-JAN-2026 10:24:15)
 
ABBR,CONT_TYPE,SEQ_NO,TIMESTAMP
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
RIL,O,, 	(23-JAN-2026 10:24:16)
