
<<START>>,<<FMS_DAILY_BUYER_NOM>>,,,, 	(23-APR-2025 11:21:22)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,PLANT_SEQ,CONTRACT_TYPE,TIMESTAMP,
RIL,,,,2,S, 	(23-APR-2025 11:21:23)
RIL,,,,2,S, 	(23-APR-2025 11:21:23)
RIL,,,,2,S, 	(23-APR-2025 11:21:23)
RIL,,,,2,S, 	(23-APR-2025 11:21:23)
RIL,,,,2,S, 	(23-APR-2025 11:21:23)
RIL,,,,2,S, 	(23-APR-2025 11:21:23)
RIL,,,,2,S, 	(23-APR-2025 11:21:23)
RIL,,,,2,S, 	(23-APR-2025 11:21:23)
RIL,,,,2,S, 	(23-APR-2025 11:21:23)
RIL,,,,2,S, 	(23-APR-2025 11:21:23)
RIL,,,,2,S, 	(23-APR-2025 11:21:23)
RIL,,,,2,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
RIL,,,,4,S, 	(23-APR-2025 11:21:23)
