
<<START>>,<<FMS_INVOICE_MST>>,,,, 	(25-JUN-2025 17:01:52)
 
ABBR,CONT_TYPE,SEQ_NO,TIMESTAMP
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,S,, 	(25-JUN-2025 17:01:53)
RIL,L,, 	(25-JUN-2025 17:01:53)
RIL,L,, 	(25-JUN-2025 17:01:53)
RIL,L,, 	(25-JUN-2025 17:01:53)
RIL,L,, 	(25-JUN-2025 17:01:53)
RIL,L,, 	(25-JUN-2025 17:01:53)
RIL,L,, 	(25-JUN-2025 17:01:53)
RIL,L,, 	(25-JUN-2025 17:01:53)
RIL,L,, 	(25-JUN-2025 17:01:53)
RIL,L,, 	(25-JUN-2025 17:01:53)
RIL,L,, 	(25-JUN-2025 17:01:53)
RIL,L,, 	(25-JUN-2025 17:01:53)
RIL,L,, 	(25-JUN-2025 17:01:53)
RIL,O,, 	(25-JUN-2025 17:01:53)
RIL,O,, 	(25-JUN-2025 17:01:53)
RIL,O,, 	(25-JUN-2025 17:01:53)
RIL,O,, 	(25-JUN-2025 17:01:53)
RIL,O,, 	(25-JUN-2025 17:01:53)
RIL,O,, 	(25-JUN-2025 17:01:53)
RIL,O,, 	(25-JUN-2025 17:01:53)
RIL,O,, 	(25-JUN-2025 17:01:53)
RIL,O,, 	(25-JUN-2025 17:01:53)
RIL,O,, 	(25-JUN-2025 17:01:53)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
RIL,O,, 	(25-JUN-2025 17:01:54)
