
<<START>>,<<FMS_DAILY_ALLOCATION_DTL>>,,,, 	(25-JUN-2025 17:52:20)
 
ABBR,CONT_TYPE,SEQ_NO,TIMESTAMP
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
RIL,S,, 	(25-JUN-2025 17:52:21)
