

<<START>>,<<FMS_AGMT_MST>>,,, 	(28-APR-2025 11:36:28)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP,
RIL,1,F,1,0, 	(28-APR-2025 11:36:29)
RIL,1,F,2,1, 	(28-APR-2025 11:36:29)
RIL,1,F,2,0, 	(28-APR-2025 11:36:29)
RIL,1,F,3,0, 	(28-APR-2025 11:36:29)
MGL,2,F,6,0, 	(28-APR-2025 11:36:29)
MGL,2,F,6,1, 	(28-APR-2025 11:36:29)
MGL,2,F,6,2, 	(28-APR-2025 11:36:29)
MGL,2,F,1,0, 	(28-APR-2025 11:36:29)
MGL,2,F,3,0, 	(28-APR-2025 11:36:29)
MGL,2,F,4,0, 	(28-APR-2025 11:36:29)
MGL,2,F,2,0, 	(28-APR-2025 11:36:29)
MGL,2,F,5,0, 	(28-APR-2025 11:36:29)
GSPCL,3,F,1,3, 	(28-APR-2025 11:36:29)
GSPCL,3,F,1,4, 	(28-APR-2025 11:36:29)
GSPCL,3,F,1,2, 	(28-APR-2025 11:36:29)
GSPCL,3,F,2,0, 	(28-APR-2025 11:36:29)
GSPCL,3,F,1,1, 	(28-APR-2025 11:36:29)
GSPCL,3,F,1,0, 	(28-APR-2025 11:36:29)
Gail,4,F,2,0, 	(28-APR-2025 11:36:29)
Gail,4,F,2,1, 	(28-APR-2025 11:36:29)
Gail,4,F,1,0, 	(28-APR-2025 11:36:29)
BPL,5,F,1,0, 	(28-APR-2025 11:36:29)
EPL,6,F,1,0, 	(28-APR-2025 11:36:29)
ESL,7,F,1,0, 	(28-APR-2025 11:36:29)
DFPCL,10,F,1,0, 	(28-APR-2025 11:36:29)
DFPCL,10,F,2,0, 	(28-APR-2025 11:36:29)
AIGL,11,F,1,0, 	(28-APR-2025 11:36:29)
ESEZ,12,F,1,0, 	(28-APR-2025 11:36:29)
VIL,17,F,1,0, 	(28-APR-2025 11:36:29)
VSIL,18,F,1,0, 	(28-APR-2025 11:36:29)
GGCL,19,F,1,0, 	(28-APR-2025 11:36:29)
TPL,20,F,1,0, 	(28-APR-2025 11:36:29)
WMSL,21,F,2,0, 	(28-APR-2025 11:36:29)
WMSL,21,F,1,0, 	(28-APR-2025 11:36:29)
WMSL,21,F,1,1, 	(28-APR-2025 11:36:29)
MNGL,22,F,1,0, 	(28-APR-2025 11:36:29)
IGL,23,F,2,0, 	(28-APR-2025 11:36:29)
IGL,23,F,1,0, 	(28-APR-2025 11:36:29)
BPCL,24,F,1,0, 	(28-APR-2025 11:36:29)
TEL,25,F,1,0, 	(28-APR-2025 11:36:29)
HPCL,26,F,1,1, 	(28-APR-2025 11:36:29)
HPCL,26,F,1,0, 	(28-APR-2025 11:36:29)
HPCL,26,F,1,2, 	(28-APR-2025 11:36:29)
HPCL,26,F,2,0, 	(28-APR-2025 11:36:29)
JSW,27,F,1,0, 	(28-APR-2025 11:36:29)
BGL,28,F,1,0, 	(28-APR-2025 11:36:29)
GSFC,29,F,1,0, 	(28-APR-2025 11:36:29)
H-Energy,30,F,1,0, 	(28-APR-2025 11:36:29)
SIMPL,31,F,1,0, 	(28-APR-2025 11:36:29)
ATGL,32,F,1,0, 	(28-APR-2025 11:36:29)
AMNS,33,F,1,0, 	(28-APR-2025 11:36:29)
AMNS,33,F,2,0, 	(28-APR-2025 11:36:29)
SEMTPL,34,F,1,0, 	(28-APR-2025 11:36:29)
SGIPL,35,F,1,0, 	(28-APR-2025 11:36:29)
VGL,36,F,1,0, 	(28-APR-2025 11:36:29)
PGPGPL,37,F,1,0, 	(28-APR-2025 11:36:29)
PGPL,37,F,1,0, 	(28-APR-2025 11:36:29)
HCG,38,F,1,0, 	(28-APR-2025 11:36:29)
GGL,39,F,1,0, 	(28-APR-2025 11:36:29)
HGL-RLNG,42,F,1,0, 	(28-APR-2025 11:36:29)
HSIL,45,F,1,0, 	(28-APR-2025 11:36:29)
VVF,46,F,1,0, 	(28-APR-2025 11:36:29)
MINDA,54,F,1,0, 	(28-APR-2025 11:36:29)
HIL,57,F,1,0, 	(28-APR-2025 11:36:29)
HCGD-B,58,F,1,0, 	(28-APR-2025 11:36:29)
KAJARIA,68,F,1,0, 	(28-APR-2025 11:36:29)
SISECAM,70,F,1,0, 	(28-APR-2025 11:36:29)
ATPL,71,F,1,0, 	(28-APR-2025 11:36:29)
OPAL,72,F,1,0, 	(28-APR-2025 11:36:29)
TGLPL,110,F,1,0, 	(28-APR-2025 11:36:29)
TGBPL,111,F,1,0, 	(28-APR-2025 11:36:29)
BGEPL,112,F,1,0, 	(28-APR-2025 11:36:29)
VVF India,115,F,1,0, 	(28-APR-2025 11:36:29)
GNFC,116,F,1,0, 	(28-APR-2025 11:36:29)
GLIL,119,F,1,0, 	(28-APR-2025 11:36:29)
GFCL,128,F,1,0, 	(28-APR-2025 11:36:29)
CPL,130,F,1,0, 	(28-APR-2025 11:36:29)
IRM,131,F,1,0, 	(28-APR-2025 11:36:29)
INPEROX,134,F,1,0, 	(28-APR-2025 11:36:29)
EFSPL,138,F,1,0, 	(28-APR-2025 11:36:29)
GOAGLSF,143,F,1,0, 	(28-APR-2025 11:36:29)
PEFORCV,146,F,1,0, 	(28-APR-2025 11:36:29)
HINAGIL,184,F,1,0, 	(28-APR-2025 11:36:29)
NEL,209,F,1,0, 	(28-APR-2025 11:36:29)
NEL,209,F,2,0, 	(28-APR-2025 11:36:29)
TASTELI,238,F,2,0, 	(28-APR-2025 11:36:29)
TASTELI,238,F,1,0, 	(28-APR-2025 11:36:29)
BOROREN,241,F,1,0, 	(28-APR-2025 11:36:29)
SEMTEXP,269,F,1,0, 	(28-APR-2025 11:36:29)
SUMGLAS,274,F,1,0, 	(28-APR-2025 11:36:29)
SVTPLIN,275,F,1,0, 	(28-APR-2025 11:36:29)
CRMNDEL,291,F,1,0, 	(28-APR-2025 11:36:29)

TOTAL DATA EXTRACTED :,92 ,,, 	(28-APR-2025 11:36:29)
 
<<END>>,<<FMS_AGMT_MST>>,,, 	(28-APR-2025 11:36:29)
 
<<START>>,<<FMS_AGMT_TRANSPTR>>,,,, 	(28-APR-2025 11:36:41)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TRANSPORTER_CD,PLANT_SEQ_NO,TIMESTAMP,
RIL,1,F,2,0,GSPL,1, 	(28-APR-2025 11:36:41)
RIL,1,F,2,0,GSPL,2, 	(28-APR-2025 11:36:41)
RIL,1,F,2,0,GSPL,3, 	(28-APR-2025 11:36:41)
RIL,1,F,2,0,GSPL,4, 	(28-APR-2025 11:36:41)
