
<<START>>,<<FMS_LTCORA_AGMT_TRANSPTR>>,,,, 	(30-MAY-2025 13:14:18)
 
COUNTERPARTY_ABBR,BUY_SALE,AGMT_TYPE,AGMT_NO,AGMT_REV,TRANSPORTER_CD,PLANT_SEQ_NO,TIMESTAMP,
RIL,C,A,1,0,GSPL,1, 	(30-MAY-2025 13:14:19)
RIL,C,A,1,0,GSPL,2, 	(30-MAY-2025 13:14:19)
RIL,C,A,1,0,GSPL,3, 	(30-MAY-2025 13:14:19)
RIL,C,A,1,0,GSPL,4, 	(30-MAY-2025 13:14:19)
RIL,C,A,1,0,GSPL,1, 	(30-MAY-2025 13:14:19)
RIL,C,A,1,0,GSPL,2, 	(30-MAY-2025 13:14:19)
RIL,C,A,1,0,GSPL,3, 	(30-MAY-2025 13:14:19)
RIL,C,A,1,0,GSPL,4, 	(30-MAY-2025 13:14:19)
RIL,C,A,1,0,GSPL,1, 	(30-MAY-2025 13:14:19)
RIL,C,A,1,0,GSPL,2, 	(30-MAY-2025 13:14:19)
RIL,C,A,1,0,GSPL,3, 	(30-MAY-2025 13:14:19)
RIL,C,A,1,0,GSPL,4, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,4,0,GSPL,1, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,4,0,GSPL,2, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,4,0,GSPL,3, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,4,0,GSPL,4, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,5,1,GSPL,1, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,5,1,GSPL,2, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,5,1,GSPL,3, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,5,1,GSPL,4, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,2,0,GSPL,1, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,2,0,GSPL,2, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,2,0,GSPL,3, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,2,0,GSPL,4, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,0,GSPL,1, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,0,GSPL,2, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,0,GSPL,3, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,0,GSPL,4, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,3,0,GSPL,1, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,3,0,GSPL,2, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,3,0,GSPL,3, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,3,0,GSPL,4, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,5,0,GSPL,1, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,5,0,GSPL,2, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,5,0,GSPL,3, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,5,0,GSPL,4, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,0,GSPL,1, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,0,GSPL,2, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,0,GSPL,3, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,0,GSPL,4, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,0,GSPL,1, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,0,GSPL,2, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,0,GSPL,3, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,0,GSPL,4, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,1,GSPL,1, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,1,GSPL,2, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,1,GSPL,3, 	(30-MAY-2025 13:14:19)
GSPCL,C,A,1,1,GSPL,4, 	(30-MAY-2025 13:14:19)
Gail,C,A,2,0,GSPL,1, 	(30-MAY-2025 13:14:19)
Gail,C,A,2,0,GSPL,2, 	(30-MAY-2025 13:14:19)
Gail,C,A,2,0,GSPL,3, 	(30-MAY-2025 13:14:19)
Gail,C,A,2,0,GSPL,4, 	(30-MAY-2025 13:14:19)
Gail,C,A,6,0,GSPL,1, 	(30-MAY-2025 13:14:19)
Gail,C,A,6,0,GSPL,2, 	(30-MAY-2025 13:14:19)
Gail,C,A,6,0,GSPL,3, 	(30-MAY-2025 13:14:19)
Gail,C,A,6,0,GSPL,4, 	(30-MAY-2025 13:14:19)
Gail,C,A,1,0,GSPL,1, 	(30-MAY-2025 13:14:19)
Gail,C,A,1,0,GSPL,2, 	(30-MAY-2025 13:14:19)
Gail,C,A,1,0,GSPL,3, 	(30-MAY-2025 13:14:19)
Gail,C,A,1,0,GSPL,4, 	(30-MAY-2025 13:14:19)
Gail,C,A,7,0,Gail,1, 	(30-MAY-2025 13:14:19)
Gail,C,A,7,0,Gail,2, 	(30-MAY-2025 13:14:19)
Gail,C,A,7,0,Gail,3, 	(30-MAY-2025 13:14:19)
Gail,C,A,7,0,Gail,4, 	(30-MAY-2025 13:14:19)
Gail,C,A,7,0,Gail,5, 	(30-MAY-2025 13:14:19)
Gail,C,A,7,0,Gail,6, 	(30-MAY-2025 13:14:19)
Gail,C,A,7,0,Gail,7, 	(30-MAY-2025 13:14:19)
Gail,C,A,7,0,Gail,8, 	(30-MAY-2025 13:14:19)
Gail,C,A,7,0,Gail,9, 	(30-MAY-2025 13:14:19)
Gail,C,A,7,0,GSPL,1, 	(30-MAY-2025 13:14:19)
Gail,C,A,7,0,GSPL,2, 	(30-MAY-2025 13:14:19)
Gail,C,A,7,0,GSPL,3, 	(30-MAY-2025 13:14:19)
Gail,C,A,7,0,GSPL,4, 	(30-MAY-2025 13:14:19)
Gail,C,A,3,0,GSPL,1, 	(30-MAY-2025 13:14:19)
Gail,C,A,3,0,GSPL,2, 	(30-MAY-2025 13:14:19)
Gail,C,A,3,0,GSPL,3, 	(30-MAY-2025 13:14:19)
Gail,C,A,3,0,GSPL,4, 	(30-MAY-2025 13:14:19)
TPL,C,A,1,0,GSPL,1, 	(30-MAY-2025 13:14:19)
TPL,C,A,1,0,GSPL,2, 	(30-MAY-2025 13:14:19)
TPL,C,A,1,0,GSPL,3, 	(30-MAY-2025 13:14:19)
TPL,C,A,1,0,GSPL,4, 	(30-MAY-2025 13:14:19)
HPCL,C,A,1,0,GSPL,1, 	(30-MAY-2025 13:14:19)
HPCL,C,A,1,0,GSPL,2, 	(30-MAY-2025 13:14:19)
HPCL,C,A,1,0,GSPL,3, 	(30-MAY-2025 13:14:19)
HPCL,C,A,1,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,19,0,Gail,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,19,0,Gail,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,19,0,Gail,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,19,0,Gail,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,19,0,Gail,5, 	(30-MAY-2025 13:14:19)
AMNS,C,A,19,0,Gail,6, 	(30-MAY-2025 13:14:19)
AMNS,C,A,19,0,Gail,7, 	(30-MAY-2025 13:14:19)
AMNS,C,A,19,0,Gail,8, 	(30-MAY-2025 13:14:19)
AMNS,C,A,19,0,Gail,9, 	(30-MAY-2025 13:14:19)
AMNS,C,A,1,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,1,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,1,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,1,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,17,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,17,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,17,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,17,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,3,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,3,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,3,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,3,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,8,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,8,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,8,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,8,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,12,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,12,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,12,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,12,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,7,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,7,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,7,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,7,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,10,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,10,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,10,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,10,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,11,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,11,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,11,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,11,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,2,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,2,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,2,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,2,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,15,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,15,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,15,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,15,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,9,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,9,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,9,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,9,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,13,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,13,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,13,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,13,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,14,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,14,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,14,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,14,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,5,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,5,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,5,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,5,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,16,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,16,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,16,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,16,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,18,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,18,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,18,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,18,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,19,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,19,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,19,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,19,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,4,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,4,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,4,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,4,0,GSPL,4, 	(30-MAY-2025 13:14:19)
AMNS,C,A,6,0,GSPL,1, 	(30-MAY-2025 13:14:19)
AMNS,C,A,6,0,GSPL,2, 	(30-MAY-2025 13:14:19)
AMNS,C,A,6,0,GSPL,3, 	(30-MAY-2025 13:14:19)
AMNS,C,A,6,0,GSPL,4, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,GSPL,1, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,GSPL,2, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,GSPL,3, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,GSPL,4, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,PipeInfra,1, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,PipeInfra,2, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,PipeInfra,3, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,PipeInfra,4, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,PipeInfra,5, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,PipeInfra,6, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,PipeInfra,7, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,PipeInfra,8, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,Gail,1, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,Gail,2, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,Gail,3, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,Gail,4, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,Gail,5, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,Gail,6, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,Gail,7, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,Gail,8, 	(30-MAY-2025 13:14:19)
SEMTPL,C,A,1,0,Gail,9, 	(30-MAY-2025 13:14:19)

TOTAL DATA EXTRACTED :,191,  	(30-MAY-2025 13:14:19)
 
<<END>>,<<FMS_LTCORA_AGMT_TRANSPTR>>,,,, 	(30-MAY-2025 13:14:19)
 
<<START>>,<<FMS_LTCORA_AGMT_PLANT>>,,,, 	(30-MAY-2025 13:14:19)
 
COUNTERPARTY_ABBR,BUY_SALE,AGMT_TYPE,AGMT_NO,AGMT_REV,PLANT_SEQ_NO,TIMESTAMP,
RIL,,A,1,0,1, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,2, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,3, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,9, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,4, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,7, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,8, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,10, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,5, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,4, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,4, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,8, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,10, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,1, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,2, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,3, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,5, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,2, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,6, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,8, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,1, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,7, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,5, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,7, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,9, 	(30-MAY-2025 13:14:19)
RIL,,A,1,0,3, 	(30-MAY-2025 13:14:19)
GSPCL,,A,3,0,1, 	(30-MAY-2025 13:14:19)
GSPCL,,A,2,0,1, 	(30-MAY-2025 13:14:19)
GSPCL,,A,1,0,1, 	(30-MAY-2025 13:14:19)
GSPCL,,A,4,0,1, 	(30-MAY-2025 13:14:19)
GSPCL,,A,5,0,1, 	(30-MAY-2025 13:14:19)
GSPCL,,A,5,1,1, 	(30-MAY-2025 13:14:19)
GSPCL,,A,1,0,1, 	(30-MAY-2025 13:14:19)
GSPCL,,A,1,1,1, 	(30-MAY-2025 13:14:19)
GSPCL,,A,1,0,1, 	(30-MAY-2025 13:14:19)
Gail,,A,6,0,1, 	(30-MAY-2025 13:14:19)
Gail,,A,1,0,1, 	(30-MAY-2025 13:14:19)
Gail,,A,3,0,1, 	(30-MAY-2025 13:14:19)
Gail,,A,5,0,1, 	(30-MAY-2025 13:14:19)
Gail,,A,7,0,5, 	(30-MAY-2025 13:14:19)
Gail,,A,7,0,1, 	(30-MAY-2025 13:14:19)
Gail,,A,4,0,1, 	(30-MAY-2025 13:14:19)
Gail,,A,7,0,6, 	(30-MAY-2025 13:14:19)
Gail,,A,2,0,1, 	(30-MAY-2025 13:14:19)
Gail,,A,1,0,1, 	(30-MAY-2025 13:14:19)
TPL,,A,1,0,2, 	(30-MAY-2025 13:14:19)
TPL,,A,1,0,1, 	(30-MAY-2025 13:14:19)
HPCL,,A,1,0,1, 	(30-MAY-2025 13:14:19)
HPCL,,A,1,0,2, 	(30-MAY-2025 13:14:19)
AMNS,,A,1,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,7,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,8,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,3,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,12,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,6,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,17,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,13,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,4,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,19,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,5,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,10,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,16,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,15,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,2,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,9,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,14,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,11,0,1, 	(30-MAY-2025 13:14:19)
AMNS,,A,18,0,1, 	(30-MAY-2025 13:14:19)
SEMTPL,,A,1,0,2, 	(30-MAY-2025 13:14:19)

TOTAL DATA EXTRACTED :,69,,,, 	(30-MAY-2025 13:14:19)
 
<<END>>,<<FMS_LTCORA_AGMT_PLANT>>,,,, 	(30-MAY-2025 13:14:19)
 

<<START>>,<<FMS_LTCORA_AGMT_LIABILITY>>,,, 	(30-MAY-2025 13:14:42)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,TIMESTAMP,
RIL,A,1,0, 	(30-MAY-2025 13:14:42)
GSPCL,A,1,0, 	(30-MAY-2025 13:14:42)
