
<<START>>,<<FMS_TANK_MST>>,, 	(06-MAR-2025 10:18:08)
 
COMPANY_CD,TANK_CD,EFF_DT,TIMESTAMP,
2,1,01/04/2005 00:00:00, 	(06-MAR-2025 10:18:09)
2,1,15/11/2011 00:00:00, 	(06-MAR-2025 10:18:09)
2,1,26/11/2019 00:00:00, 	(06-MAR-2025 10:18:09)
2,1,16/12/2020 00:00:00, 	(06-MAR-2025 10:18:09)
2,2,01/04/2005 00:00:00, 	(06-MAR-2025 10:18:09)
2,2,15/11/2011 00:00:00, 	(06-MAR-2025 10:18:09)
2,2,26/11/2019 00:00:00, 	(06-MAR-2025 10:18:09)
2,2,16/12/2020 00:00:00, 	(06-MAR-2025 10:18:09)

TOTAL DATA EXTRACTED :,8,,  	(06-MAR-2025 10:18:09)
 
<<END>>,<<FMS_TANK_MST>>,, 	(06-MAR-2025 10:18:09)
 
<<START>>,<<FMS_TANK_CONSUMPTION_MST>>,, 	(06-MAR-2025 10:18:09)
 
COMPANY_CD,EFF_DT,TIMESTAMP,
2,01/01/2005 00:00:00, 	(06-MAR-2025 10:18:09)
2,20/04/2011 00:00:00, 	(06-MAR-2025 10:18:09)
2,30/12/2019 00:00:00, 	(06-MAR-2025 10:18:09)
2,25/11/2019 00:00:00, 	(06-MAR-2025 10:18:09)
2,01/01/2019 00:00:00, 	(06-MAR-2025 10:18:09)
2,01/12/2018 00:00:00, 	(06-MAR-2025 10:18:09)
2,26/12/2024 00:00:00, 	(06-MAR-2025 10:18:09)

TOTAL DATA EXTRACTED :,7,,  	(06-MAR-2025 10:18:09)
 
<<END>>,<<FMS_TANK_CONSUMPTION_MST>>,, 	(06-MAR-2025 10:18:09)
 
