
<<START>>,<<FMS_GTA_AGMT_MST>>,, 	(09-JUN-2025 09:19:04)
 
COMPANY_CD,ABBR,AGMT_NAME,AGMT_TYPE,TIMESTAMP,
2,Gail,SEIPL-Gail-GTA1-REV0,GTA, 	(09-JUN-2025 09:19:05)
2,PipeInfra,SEIPL-PipeInfra-GTA1-REV0,GTA, 	(09-JUN-2025 09:19:05)
2,PipeInfra,SEIPL-PipeInfra-GTA1-REV0,Parking, 	(09-JUN-2025 09:19:05)
2,GSPL,SEIPL-GSPL-GTA1-REV0,GTA, 	(09-JUN-2025 09:19:05)
2,RGPL,SEIPL-RGPL-GTA1-REV0,GTA, 	(09-JUN-2025 09:19:05)
2,GSIGLIM,SEIPL-GSIGLIM-GTA1-REV0,GTA, 	(09-JUN-2025 09:19:05)
2,GSINLIM,SEIPL-GSINLIM-GTA1-REV0,GTA, 	(09-JUN-2025 09:19:05)

TOTAL DATA EXTRACTED :,7,,  	(09-JUN-2025 09:19:05)
 
<<END>>,<<FMS_GTA_AGMT_MST>>,, 	(09-JUN-2025 09:19:05)
 
<<START>>,<<FMS_GTA_ENTRY_POINT>>,, 	(09-JUN-2025 09:19:05)
 
COMPANY_CD,ABBR,TRANSPORTER_CD,ENT_PT,AGMT_TYPE,TIMESTAMP,
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:05)
