
<<START>>,<<FMS_GTA_AGMT_MST>>,, 	(13-MAY-2025 15:42:54)
 

TOTAL DATA EXTRACTED :,6,,  	(13-MAY-2025 15:42:55)
 
<<END>>,<<FMS_GTA_AGMT_MST>>,, 	(13-MAY-2025 15:42:55)
 
<<START>>,<<FMS_GTA_ENTRY_POINT>>,, 	(13-MAY-2025 15:42:55)
 

TOTAL DATA EXTRACTED :,392,,  	(13-MAY-2025 15:42:55)
 
<<END>>,<<FMS_GTA_ENTRY_POINT>>,, 	(13-MAY-2025 15:42:55)
 
<<START>>,<<FMS_GTA_EXIT_POINT>>,, 	(13-MAY-2025 15:42:55)
 

TOTAL DATA EXTRACTED :,392,,  	(13-MAY-2025 15:42:58)
 
<<END>>,<<FMS_GTA_EXIT_POINT>>,, 	(13-MAY-2025 15:42:58)
 

<<START>>,<<FMS_GTA_CONT_MST>>,,, 	(13-MAY-2025 15:42:58)
 
COUNTERPARTY_ABBR,PARTY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,TIMESTAMP,
Gail,16,16,1,0,2,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,3,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,4,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,5,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,6,0,GAIL PHU, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,7,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,8,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,9,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,10,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,11,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,12,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,13,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,14,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,15,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,16,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,17,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,18,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,19,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,20,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,21,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,22,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,23,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,24,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,25,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
