
<<START>>,<<FMS_GTA_AGMT_MST>>,, 	(26-JUL-2025 10:32:58)
 
COMPANY_CD,ABBR,AGMT_NAME,AGMT_TYPE,TIMESTAMP,
2,Gail,SEIPL-Gail-GTA1-REV0,GTA, 	(26-JUL-2025 10:32:59)
2,PipeInfra,SEIPL-PipeInfra-GTA1-REV0,GTA, 	(26-JUL-2025 10:32:59)
2,PipeInfra,SEIPL-PipeInfra-GTA1-REV0,Parking, 	(26-JUL-2025 10:32:59)
2,GSPL,SEIPL-GSPL-GTA1-REV0,GTA, 	(26-JUL-2025 10:32:59)
2,RGPL,SEIPL-RGPL-GTA1-REV0,GTA, 	(26-JUL-2025 10:32:59)
2,GSIGLIM,SEIPL-GSIGLIM-GTA1-REV0,GTA, 	(26-JUL-2025 10:32:59)
2,GSINLIM,SEIPL-GSINLIM-GTA1-REV0,GTA, 	(26-JUL-2025 10:32:59)

TOTAL DATA EXTRACTED :,7,,  	(26-JUL-2025 10:32:59)
 
<<END>>,<<FMS_GTA_AGMT_MST>>,, 	(26-JUL-2025 10:32:59)
 
<<START>>,<<FMS_GTA_ENTRY_POINT>>,, 	(26-JUL-2025 10:32:59)
 
COMPANY_CD,ABBR,TRANSPORTER_CD,ENT_PT,AGMT_TYPE,TIMESTAMP,
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
