

<<START>>,<<FMS_GTA_FFLOW_INV_MST>>,,, 	(30-AUG-2025 10:37:22)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TRANSPORTER_MAP,CONT_MAP,MDQ,TIMESTAMP,

TOTAL DATA EXTRACTED :,237 ,,, 	(30-AUG-2025 10:37:25)
 
<<END>>,<<FMS_GTA_FFLOW_INV_MST>>,,, 	(30-AUG-2025 10:37:25)
 

<<START>>,<<FMS_GTA_FFLOW_INV_DTL>>,,, 	(30-AUG-2025 10:37:25)
 
COMPANY_CD,COUNTERPARTY_CD,CONTRACT_TYPE,INVOICE_NO,INVOICE_TYPE,TIMESTAMP,
Gail,16-1-1-16-1603-1021,FGSA,UPG2A25109000731,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-1021,FGSA,UPG2A25109000732,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-1021,FGSA,UPG2A25109002590,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-1361,FGSA,UPG2A23109013679,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-1361,FGSA,UPG2A23109014653,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-1361,FGSA,UPG2A23109014653,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1282,Tender,UPG2A23109003600,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1282,Tender,UPG2A23109003774,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-1281,Tender,UPG2A23109003597,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-892,FGSA,UPG2A23109009046,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-893,FGSA,UPG2A23109004716,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A24109010433,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A24109010434,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A24109010761,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A24109010762,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A24109012610,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-1361,FGSA,UPG2A24109005824,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-542,FGSA,UPG2A23109017268,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A24109013098,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A24109013099,TC, 	(30-AUG-2025 10:37:25)
