

<<START>>,<<FMS_TRUCK_TRANSPORTER_LINK>>,,, 	(07-JUN-2025 09:45:17)
 
ENT_PROFILE,TRUCK_TRANS_CD,TRUCK_CD,EFF_DT,LINK_SEQ,TIMESTAMP,
2,2,2,22/12/2020 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,3,24/12/2020 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,4,30/12/2020 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,1,5,09/01/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,1,1,11/01/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,1,6,12/01/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,4,8,13/01/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,2,15/01/2021 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,2,10,28/01/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,4,29/01/2021 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,6,12,29/01/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,4,8,02/02/2021 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,8,16,08/02/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,4,17,09/02/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,4,8,12/02/2021 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,4,15,12/02/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,8,19,18/02/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,8,20,19/02/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,4,17,01/03/2021 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,1,22,01/03/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,1,21,01/03/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,4,23,02/03/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,4,24,04/03/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,25,05/03/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,4,24,22/03/2021 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,1,1,22/03/2021 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,2,10,27/03/2021 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,1,26,30/03/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,7,14,31/03/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,28,01/04/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,1,5,02/04/2021 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,1,21,05/04/2021 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,4,24,05/04/2021 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,6,28,08/04/2021 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,2,25,09/04/2021 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,4,8,10/04/2021 00:00:00,4, 	(07-JUN-2025 09:45:18)
