

<<START>>,<<FMS_DLNG_INVOICE_MST_CR_DR>>,, 	(12-FEB-2026 12:04:22)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,PLANT_SEQ_NO,BU_SEQ,INVOICE_DT,FILL_STATION_CD,BAY_CD,SLOT_START_TIME,SLOT_END_TIME,INVOICE_NO,TRUCK_TRANS_CD,TRUCK_CD,TIMESTAMP,
SGIPL,21,1,0,220002,0,F,,,,,,,,,12,43, 	(12-FEB-2026 12:04:23)
SGIPL,21,1,0,220001,0,F,,,,,,,,,12,42, 	(12-FEB-2026 12:04:23)
SGIPL,21,1,0,220001,0,F,,,,,,,,,12,42, 	(12-FEB-2026 12:04:23)
SGIPL,21,1,0,230001,0,F,,,,,,,,,12,42, 	(12-FEB-2026 12:04:23)
RIPL,254,1,0,210004,0,F,,,,,,,,,2,2, 	(12-FEB-2026 12:04:23)
CP,207,1,0,210007,2,F,,,,,,,,,4,8, 	(12-FEB-2026 12:04:23)
HALHFGL,150,1,0,220009,0,F,,,,,,,,,2,3, 	(12-FEB-2026 12:04:23)
AGP CGD,33,1,0,240018,0,F,,,,,,,,,15,88, 	(12-FEB-2026 12:04:23)
MINDA,34,1,0,230013,0,F,,,,,,,,,8,20, 	(12-FEB-2026 12:04:23)
MINDA,34,1,0,230013,0,F,,,,,,,,,16,102, 	(12-FEB-2026 12:04:23)
MINDA,34,1,0,230013,0,F,,,,,,,,,8,16, 	(12-FEB-2026 12:04:23)
MINDA,34,1,0,230014,0,F,,,,,,,,,16,101, 	(12-FEB-2026 12:04:23)
MINDA,34,1,0,240024,0,F,,,,,,,,,16,101, 	(12-FEB-2026 12:04:23)
MINDA,34,1,0,240024,0,F,,,,,,,,,8,20, 	(12-FEB-2026 12:04:23)
LEIPL,238,1,0,230015,0,F,,,,,,,,,17,103, 	(12-FEB-2026 12:04:23)
LEIPL,238,1,0,230015,0,F,,,,,,,,,17,103, 	(12-FEB-2026 12:04:23)
LEIPL,238,1,0,230015,0,F,,,,,,,,,17,111, 	(12-FEB-2026 12:04:23)
SCHOTT,35,1,0,210017,0,F,,,,,,,,,1,26, 	(12-FEB-2026 12:04:23)
EXXARO,220,1,0,230021,0,F,,,,,,,,,11,29, 	(12-FEB-2026 12:04:23)
EXXARO,220,1,0,230021,0,F,,,,,,,,,11,56, 	(12-FEB-2026 12:04:23)
EXXARO,220,1,0,230021,0,F,,,,,,,,,11,29, 	(12-FEB-2026 12:04:23)
EXXARO,220,1,0,230021,0,F,,,,,,,,,11,56, 	(12-FEB-2026 12:04:23)
KAJARIA,38,1,0,210020,0,F,,,,,,,,,1,31, 	(12-FEB-2026 12:04:23)
KAJARIA,38,1,0,210020,0,F,,,,,,,,,1,35, 	(12-FEB-2026 12:04:23)
JKPAPER,234,1,0,220025,0,F,,,,,,,,,12,43, 	(12-FEB-2026 12:04:23)
JKPAPER,234,1,0,220024,0,F,,,,,,,,,12,42, 	(12-FEB-2026 12:04:23)
JKPAPER,234,1,0,220024,0,F,,,,,,,,,12,42, 	(12-FEB-2026 12:04:23)
JKPAPER,234,1,0,230028,0,F,,,,,,,,,12,42, 	(12-FEB-2026 12:04:23)
JKPAPER,234,1,0,230027,0,F,,,,,,,,,12,42, 	(12-FEB-2026 12:04:23)
VIRGO,276,1,0,220043,0,F,,,,,,,,,12,42, 	(12-FEB-2026 12:04:23)
VIRGO,276,1,0,230037,0,F,,,,,,,,,12,60, 	(12-FEB-2026 12:04:23)
VIRGO,276,1,0,230037,0,F,,,,,,,,,12,60, 	(12-FEB-2026 12:04:23)
GLIL,52,1,0,230051,0,F,,,,,,,,,12,60, 	(12-FEB-2026 12:04:23)
VIGASLD,277,1,0,240060,0,F,,,,,,,,,12,59, 	(12-FEB-2026 12:04:23)
VIGASLD,277,1,0,240063,0,F,,,,,,,,,16,102, 	(12-FEB-2026 12:04:23)

TOTAL DATA IN EXCEL : ,0,,,,,, 	(12-FEB-2026 12:04:23)
 

TOTAL DATA INSERTED : ,35,,,,,, 	(12-FEB-2026 12:04:23)
 

TOTAL SKIPPED DATA ,0,,,,,, 	(12-FEB-2026 12:04:23)
 
<<END>>,<<FMS_DLNG_INVOICE_MST_CR_DR>>,,,,,, 	(12-FEB-2026 12:04:23)
 

<<START>>,<<FMS_DLNG_INV_TAX_DTL_CR_DR>>, 	(12-FEB-2026 12:04:23)
 
COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,TAX_STRUCT_CD,TAX_CODE, 	(12-FEB-2026 12:04:23)
 
2,24,2076,30,04/08/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,1434,30,05/11/2024 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2066,24,07/08/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2067,24,07/09/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,728,30,12/05/2021 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2068,30,28/04/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2069,30,28/04/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2070,30,28/04/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2071,30,28/04/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,729,23,25/10/2021 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,730,23,02/12/2021 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,731,30,05/04/2022 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,1173,30,27/04/2022 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,1174,30,27/04/2022 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,1175,30,05/12/2022 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2072,30,28/04/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,1176,30,27/04/2022 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2073,30,28/04/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2074,30,28/04/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2075,30,26/06/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,1169,30,05/04/2022 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,1170,30,27/04/2022 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,1171,30,29/04/2022 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,1172,30,02/12/2022 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,161,26,03/01/2021 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,726,23,08/04/2021 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,727,30,01/03/2022 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2060,26,28/04/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2061,30,28/04/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2062,30,28/04/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2063,30,28/04/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2064,30,08/11/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,1432,30,12/07/2024 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,1433,30,29/11/2024 00:00:00 ,  	(12-FEB-2026 12:04:24)
2,24,2065,24,04/08/2023 00:00:00 ,  	(12-FEB-2026 12:04:24)

TOTAL DATA IN EXCEL : ,0, 	(12-FEB-2026 12:04:24)
 

TOTAL DATA INSERTED : ,35, 	(12-FEB-2026 12:04:24)
 

TOTAL SKIPPED DATA ,0, 	(12-FEB-2026 12:04:24)
 
<<END>>,<<FMS_DLNG_INV_TAX_DTL_CR_DR>>, 	(12-FEB-2026 12:04:24)
 
