

<<START>>,<<FMS_SUPPLY_CONT_MST(DLNG)>>,, 	(12-JUN-2025 15:49:22)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
2,21,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,21,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,21,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,21,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,21,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,21,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,21,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,21,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,21,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,21,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,21,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,21,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,21,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,2,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,197,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,254,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,254,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,254,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,254,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,254,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,254,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,207,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,207,1,0,1,4,F, 	(12-JUN-2025 15:49:23)
2,207,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,207,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,207,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,207,1,0,1,2,F, 	(12-JUN-2025 15:49:23)
2,207,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,207,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,207,1,0,1,3,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,2,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,2,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,150,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,187,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,187,1,0,1,2,F, 	(12-JUN-2025 15:49:23)
2,187,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,187,1,0,1,3,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,2,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,2,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,2,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,33,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
