

<<START>>,<<FMS_ENTITY_CONTACT_MST>>,,,,,, 	(01-MAR-2025 14:47:35)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TIMESTAMP
2,1 , RIL , C , 1 , 14/09/2008 00:00:00 , R, 	(01-MAR-2025 14:47:37)	 (Not Inserted)
2,1 , RIL , C , 2 , 01/07/2021 00:00:00 , P5, 	(01-MAR-2025 14:47:37)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , B, 	(01-MAR-2025 14:47:37)
2,1 , RIL , C , 4 , 01/07/2021 00:00:00 , P5, 	(01-MAR-2025 14:47:37)
2,1 , RIL , C , 5 , 14/09/2008 00:00:00 , P4, 	(01-MAR-2025 14:47:37)
2,1 , RIL , C , 6 , 14/09/2008 00:00:00 , R, 	(01-MAR-2025 14:47:37)
2,1 , RIL , C , 7 , 31/01/2018 00:00:00 , P8, 	(01-MAR-2025 14:47:37)
2,1 , RIL , C , 8 , 14/09/2008 00:00:00 , P8, 	(01-MAR-2025 14:47:37)
2,1 , RIL , C , 9 , 14/09/2008 00:00:00 , P2, 	(01-MAR-2025 14:47:37)
2,1 , RIL , C , 10 , 01/01/2020 00:00:00 , P15, 	(01-MAR-2025 14:47:37)
2,1 , RIL , C , 11 , 14/09/2008 00:00:00 , P4, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,1 , RIL , C , 12 , 31/01/2018 00:00:00 , P2, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 14 , 14/09/2008 00:00:00 , R, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 15 , 31/01/2018 00:00:00 , P7, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 16 , 14/09/2008 00:00:00 , P5, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 17 , 01/01/2020 00:00:00 , P15, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 18 , 01/07/2021 00:00:00 , P5, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 19 , 01/01/2020 00:00:00 , P9, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 20 , 14/09/2008 00:00:00 , R, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,1 , RIL , C , 21 , 31/01/2018 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 22 , 31/01/2018 00:00:00 , P18, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 23 , 01/06/2021 00:00:00 , P17, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 24 , 14/09/2008 00:00:00 , P18, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 25 , 14/09/2008 00:00:00 , P4, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 26 , 14/09/2008 00:00:00 , P4, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 27 , 31/01/2018 00:00:00 , P18, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 28 , 01/01/2020 00:00:00 , P9, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 29 , 31/01/2018 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,1 , RIL , C , 30 , 31/01/2018 00:00:00 , B, 	(01-MAR-2025 14:47:38)
