

<<START>>,<<FMS_METER_MST>>,,,,, 	(03-APR-2025 11:48:45)
 
COMPANY_CD,CD,ABBR,PLANT_SEQ,METER_TYPE,METER_SEQ,TIMESTAMP
2 ,29 , PipeInfra , 1 , R , 1, 	(03-APR-2025 11:48:45)
2 ,29 , PipeInfra , 1 , R , 2, 	(03-APR-2025 11:48:45)
2 ,45 , GSPL , 1 , R , 1, 	(03-APR-2025 11:48:45)
2 ,45 , GSPL , 1 , R , 2, 	(03-APR-2025 11:48:45)
2 ,45 , GSPL , 2 , R , 1, 	(03-APR-2025 11:48:45)
2 ,45 , GSPL , 4 , R , 1, 	(03-APR-2025 11:48:45)
2 ,4 , Gail , 6 , R , 1, 	(03-APR-2025 11:48:45)
2 ,4 , Gail , 6 , R , 2, 	(03-APR-2025 11:48:45)
2, , PARK-ANK , 1 , R , 2, 	(03-APR-2025 11:48:45)	 (Not Inserted)
2 ,4 , Gail , 1 , R , 1, 	(03-APR-2025 11:48:45)
2 ,4 , Gail , 1 , R , 2, 	(03-APR-2025 11:48:45)
2 ,4 , Gail , 2 , R , 1, 	(03-APR-2025 11:48:45)
2 ,4 , Gail , 3 , R , 1, 	(03-APR-2025 11:48:45)
2 ,4 , Gail , 4 , R , 1, 	(03-APR-2025 11:48:45)
2 ,4 , Gail , 6 , R , 3, 	(03-APR-2025 11:48:45)
2 ,4 , Gail , 7 , R , 1, 	(03-APR-2025 11:48:45)
2 ,4 , Gail , 8 , R , 1, 	(03-APR-2025 11:48:45)
2 ,4 , Gail , 9 , R , 1, 	(03-APR-2025 11:48:45)
2 ,53 , RGPL , 1 , R , 1, 	(03-APR-2025 11:48:45)
2 ,29 , PipeInfra , 1 , R , 3, 	(03-APR-2025 11:48:45)
2 ,29 , PipeInfra , 1 , R , 4, 	(03-APR-2025 11:48:45)
2 ,29 , PipeInfra , 3 , R , 1, 	(03-APR-2025 11:48:45)
2 ,29 , PipeInfra , 4 , R , 1, 	(03-APR-2025 11:48:45)
2 ,29 , PipeInfra , 5 , R , 1, 	(03-APR-2025 11:48:45)
2 ,29 , PipeInfra , 6 , R , 1, 	(03-APR-2025 11:48:45)
2 ,134 , GSINLIM , 1 , R , 1, 	(03-APR-2025 11:48:45)

TOTAL DATA IN EXCEL : ,26,,,,, 	(03-APR-2025 11:48:45)
 

TOTAL DATA INSERTED : ,25,,,,, 	(03-APR-2025 11:48:45)
 

TOTAL SKIPPED DATA ,1,,,,, 	(03-APR-2025 11:48:45)
 
<<END>>,<<FMS_METER_MST>>,,,,, 	(03-APR-2025 11:48:45)
 
