

<<START>>,<<FMS_SECTOR_MST>>, 	(06-MAR-2025 17:36:40)
 
ABBR,,TIMESTAMP
RESELLERS,, 	(06-MAR-2025 17:36:42)
ELLECTRICAL/ ELECTRONICS,, 	(06-MAR-2025 17:36:42)
HEAVY MACHINES,, 	(06-MAR-2025 17:36:42)
LIGHT MACHINES,, 	(06-MAR-2025 17:36:42)
AIRCRAFTS,, 	(06-MAR-2025 17:36:42)
SHIPBUILD. & REPAIRS,, 	(06-MAR-2025 17:36:42)
TRUCKS&PASS VEHICALS,, 	(06-MAR-2025 17:36:42)
SCOOTERS ETC,, 	(06-MAR-2025 17:36:42)
HIGH PRESSURE VESSEL,, 	(06-MAR-2025 17:36:42)
MECH. MISCELLANEOUS,, 	(06-MAR-2025 17:36:42)
STRUCTURAL WORKS,, 	(06-MAR-2025 17:36:42)
IRON & STEEL PLANTS,, 	(06-MAR-2025 17:36:42)
IRON & STEEL REWORKS,, 	(06-MAR-2025 17:36:42)
ALUMINIUM,, 	(06-MAR-2025 17:36:42)
FOUNDRIES/CASTINGS,, 	(06-MAR-2025 17:36:42)
FERROUS ALLOYS,, 	(06-MAR-2025 17:36:42)
METAL. MISCELLANEOUS,, 	(06-MAR-2025 17:36:42)
CANDLE INDUSTRY,, 	(06-MAR-2025 17:36:42)
MATCHES,, 	(06-MAR-2025 17:36:42)
RUBBER TYRES & TUBES,, 	(06-MAR-2025 17:36:42)
PAPER PRODUCTS,, 	(06-MAR-2025 17:36:42)
INDU ABRASIVES,, 	(06-MAR-2025 17:36:42)
GLASS/CERAMICS ETC,, 	(06-MAR-2025 17:36:42)
PACKING MATERIALS,, 	(06-MAR-2025 17:36:42)
PLASTIC INDUSTRIES,, 	(06-MAR-2025 17:36:42)
LEATHER,, 	(06-MAR-2025 17:36:42)
PROCESSOR,, 	(06-MAR-2025 17:36:42)
TOBACCO PRODUCTS,, 	(06-MAR-2025 17:36:42)
INDUS. MISCELLANEOUS,, 	(06-MAR-2025 17:36:42)
COTTON MILLS HOSIERY,, 	(06-MAR-2025 17:36:42)
JUTE MILLS,, 	(06-MAR-2025 17:36:42)
SYN.FIBRE/RAYON MF,, 	(06-MAR-2025 17:36:42)
TEXTI. MISCELLANEOUS,, 	(06-MAR-2025 17:36:42)
PET.EXPLO&PROD,, 	(06-MAR-2025 17:36:42)
IRON ORE,, 	(06-MAR-2025 17:36:42)
COAL,, 	(06-MAR-2025 17:36:42)
BAUXITE,, 	(06-MAR-2025 17:36:42)
