

<<START>>,<<FMS_SAC_MST>>, 	(09-APR-2025 19:58:37)
 
SAC_NAME,TIMESTAMP,
Other Miscellaneous services - Other Services n.e.c. ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Other employment & labour supply services n.e.c ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Other support services n.e.c. ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Road transport services of Goods including letters  parcels  live animals  household & office furnit ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Legal advisory and representation services concerning other fields of law. ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Sponsorship Services & Brand Promotion Services ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Coastal and transoceanic (overseas) water transport services of goods by refrigerator vessels  tanke ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Other administrative services of the government n.e.c. ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Maintenance and repair services of other machinery and equipments ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Courier services ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Other on-line contents n.e.c. ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
On-line text based information such as online books  newpapers  periodicals  directories etc ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
998349 - Other technical and scientific services n.e.c. ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Rental or leasing services involving own or leased non-residential property ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Management consulting and management services including financial  strategic  human resources  marke ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Information technology (IT) consulting and support services ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Commercial training and coaching services ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Hosting and information technology (IT) infrastructure provisioning services ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Repair services of bicycles ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Other professional  technical and business service ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
INSTALLATION SERVICES OF OTHER GOODS ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Other human health services including homeopathy  unani  ayurveda  naturopathy  acupuncture etc. ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Goods transport agency services for road transport ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
998434 - Software downloads ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
RENTAL SERVICES OF ROAD VEHICLES INVCLUDING BUSES COACHES CARS TRUCKS AND OTHER MOTOR VEHICLES WITH  ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Maintenance and repair services of other goods n.e.c. under Heading No. 9987 Maintenance  repair and ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Licensing services for the right to use computer software and databases ,  	(09-APR-2025 19:58:37)	 (Not Inserted)
Engineering advisory services ,  	(09-APR-2025 19:58:37)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,28, 	(09-APR-2025 19:58:37)
 

TOTAL DATA INSERTED : ,0, 	(09-APR-2025 19:58:37)
 

TOTAL SKIPPED DATA ,28, 	(09-APR-2025 19:58:37)
 
<<END>>,<<FMS_SAC_MST>>, 	(09-APR-2025 19:58:37)
 

<<START>>,<<FMS_SAC_MST>>, 	(09-APR-2025 19:58:54)
 
SAC_NAME,TIMESTAMP,
Other Miscellaneous services - Other Services n.e.c. ,  	(09-APR-2025 19:58:54)
Other employment & labour supply services n.e.c ,  	(09-APR-2025 19:58:54)
Other support services n.e.c. ,  	(09-APR-2025 19:58:54)
Road transport services of Goods including letters  parcels  live animals  household & office furnit ,  	(09-APR-2025 19:58:54)
Legal advisory and representation services concerning other fields of law. ,  	(09-APR-2025 19:58:54)
Sponsorship Services & Brand Promotion Services ,  	(09-APR-2025 19:58:54)
Coastal and transoceanic (overseas) water transport services of goods by refrigerator vessels  tanke ,  	(09-APR-2025 19:58:54)
Other administrative services of the government n.e.c. ,  	(09-APR-2025 19:58:54)
Maintenance and repair services of other machinery and equipments ,  	(09-APR-2025 19:58:54)
Courier services ,  	(09-APR-2025 19:58:54)
Other on-line contents n.e.c. ,  	(09-APR-2025 19:58:54)
On-line text based information such as online books  newpapers  periodicals  directories etc ,  	(09-APR-2025 19:58:54)
998349 - Other technical and scientific services n.e.c. ,  	(09-APR-2025 19:58:54)
Rental or leasing services involving own or leased non-residential property ,  	(09-APR-2025 19:58:54)
Management consulting and management services including financial  strategic  human resources  marke ,  	(09-APR-2025 19:58:54)
Information technology (IT) consulting and support services ,  	(09-APR-2025 19:58:54)
Commercial training and coaching services ,  	(09-APR-2025 19:58:54)
Hosting and information technology (IT) infrastructure provisioning services ,  	(09-APR-2025 19:58:54)
Repair services of bicycles ,  	(09-APR-2025 19:58:54)
Other professional  technical and business service ,  	(09-APR-2025 19:58:54)
INSTALLATION SERVICES OF OTHER GOODS ,  	(09-APR-2025 19:58:54)
Other human health services including homeopathy  unani  ayurveda  naturopathy  acupuncture etc. ,  	(09-APR-2025 19:58:54)
Goods transport agency services for road transport ,  	(09-APR-2025 19:58:54)
998434 - Software downloads ,  	(09-APR-2025 19:58:54)
RENTAL SERVICES OF ROAD VEHICLES INVCLUDING BUSES COACHES CARS TRUCKS AND OTHER MOTOR VEHICLES WITH  ,  	(09-APR-2025 19:58:54)
Maintenance and repair services of other goods n.e.c. under Heading No. 9987 Maintenance  repair and ,  	(09-APR-2025 19:58:54)
Licensing services for the right to use computer software and databases ,  	(09-APR-2025 19:58:54)
Engineering advisory services ,  	(09-APR-2025 19:58:54)

TOTAL DATA IN EXCEL : ,28, 	(09-APR-2025 19:58:54)
 

TOTAL DATA INSERTED : ,28, 	(09-APR-2025 19:58:54)
 

TOTAL SKIPPED DATA ,0, 	(09-APR-2025 19:58:54)
 
<<END>>,<<FMS_SAC_MST>>, 	(09-APR-2025 19:58:54)
 
