

<<START>>,<<FMS_CUSTOM_TAX_STRUCT_DTL>>,,, 	(10-MAR-2025 13:15:18)
 
COMPANY_CD,TAX_STRUCT_CD,TAX_STRUCT_DTL,EFF_DT,TIMESTAMP
2, , BCD 5%, ECS 2% , 09/07/2024 00:00:00, 	(10-MAR-2025 13:15:19)
2, , BCD 5%, ECS 2%, HECS 1% , 01/03/2007 00:00:00, 	(10-MAR-2025 13:15:19)
2, , BCD 2.5%, SWS 10% on BCD , 28/02/2024 00:00:00, 	(10-MAR-2025 13:15:19)

TOTAL DATA IN EXCEL : ,3,,, 	(10-MAR-2025 13:15:19)
 

TOTAL DATA INSERTED : ,3,,, 	(10-MAR-2025 13:15:19)
 

TOTAL SKIPPED DATA ,0,,, 	(10-MAR-2025 13:15:19)
 
<<END>>,<<FMS_CUSTOM_TAX_STRUCT_DTL>>,,, 	(10-MAR-2025 13:15:19)
 
