

<<START>>,<<FMS_ENTITY_CONTACT_MST>>,,,,,, 	(17-FEB-2025 13:13:57)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TIMESTAMP
2 ,6 , RIL , C , 52 , 31/01/2018 00:00:00 , P8, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 52 , 31/01/2018 00:00:00 , P8, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 5 , 10/02/2012 00:00:00 , P2, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 5 , 10/02/2012 00:00:00 , P2, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 54 , 31/01/2018 00:00:00 , P1, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 54 , 31/01/2018 00:00:00 , P1, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 32 , 14/09/2008 00:00:00 , P4, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 32 , 14/09/2008 00:00:00 , P4, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 20 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 20 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 23 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 23 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 17 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 17 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 18 , 14/09/2008 00:00:00 , 18, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 18 , 14/09/2008 00:00:00 , 18, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 12 , 14/09/2008 00:00:00 , P4, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 12 , 14/09/2008 00:00:00 , P4, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 2 , 14/09/2008 00:00:00 , P8, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 2 , 14/09/2008 00:00:00 , P8, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 14/09/2008 00:00:00 , P2, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 3 , 14/09/2008 00:00:00 , P2, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 19 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 19 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 58 , 01/01/2020 00:00:00 , P15, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 58 , 01/01/2020 00:00:00 , P15, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 14 , 14/09/2008 00:00:00 , P4, 	(17-FEB-2025 13:13:57)
