

<<START>>,<<FMS_CUSTOM_TAX_STRUCT_DTL>>,,, 	(17-FEB-2025 16:23:35)
 
COMPANY_CD,TAX_STRUCT_CD,TAX_STRUCT_DTL,EFF_DT,TIMESTAMP
2 , ,  , 09/07/2004 00:00:00, 	(17-FEB-2025 16:23:35)	 (Not Inserted)
2 , ,  , 01/03/2007 00:00:00, 	(17-FEB-2025 16:23:35)	 (Not Inserted)
2 , ,  , 02/02/2018 00:00:00, 	(17-FEB-2025 16:23:35)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,3,,, 	(17-FEB-2025 16:23:35)
 

TOTAL DATA INSERTED : ,0,,, 	(17-FEB-2025 16:23:35)
 

TOTAL SKIPPED DATA ,3,,, 	(17-FEB-2025 16:23:35)
 
<<END>>,<<FMS_CUSTOM_TAX_STRUCT_DTL>>,,, 	(17-FEB-2025 16:23:35)
 
