

<<START>>,<<FMS_COUNTERPARTY_BU_TAX>>,,,,, 	(18-FEB-2025 10:18:33)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,STAT_CD,TIMESTAMP
2 , , SGS , S , 1 , 1001, 	(18-FEB-2025 10:18:33)	 (Not Inserted)
2 ,232 , JBB , S , 1 , 1001, 	(18-FEB-2025 10:18:33)	 (Not Inserted)
2 ,264 , SSAPL , S , 1 , 1001, 	(18-FEB-2025 10:18:33)	 (Not Inserted)
2 ,232 , JBB , V , 1 , 1001, 	(18-FEB-2025 10:18:33)	 (Not Inserted)
2 , , BOXCO , H , 1 , 1001, 	(18-FEB-2025 10:18:33)	 (Not Inserted)
2 , , JMB , H , 1 , 1001, 	(18-FEB-2025 10:18:33)	 (Not Inserted)
2 ,265 , SLPL , H , 1 , 1001, 	(18-FEB-2025 10:18:33)	 (Not Inserted)
2 ,265 , SLPL , H , 1 , 1001, 	(18-FEB-2025 10:18:33)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,8,,,,, 	(18-FEB-2025 10:18:33)
 

TOTAL DATA INSERTED : ,0,,,,, 	(18-FEB-2025 10:18:33)
 

TOTAL SKIPPED DATA ,8,,,,, 	(18-FEB-2025 10:18:33)
 
<<END>>,<<FMS_COUNTERPARTY_BU_TAX>>,,,,, 	(18-FEB-2025 10:18:33)
 
