

<<START>>,<<FMS_EXCHG_RATE_ENTRY>>,, 	(18-FEB-2025 10:26:50)
 
CD,NAME,EFF_DT,TIMESTAMP
15 ,SBI RATE SELL , 05/12/2008 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 05/12/2008 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 26/07/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 27/07/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 27/07/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 27/07/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 30/07/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 30/07/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 30/07/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 31/07/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 31/07/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 31/07/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 01/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 01/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 01/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 02/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 02/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 02/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 03/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 03/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 03/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 06/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 06/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 06/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 07/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 07/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 07/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 08/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 08/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 08/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 09/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 09/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 09/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 10/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 10/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 10/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 13/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 13/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 13/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 14/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 14/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 14/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 16/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 16/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 16/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 17/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 17/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 17/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 20/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 20/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 20/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 21/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 21/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 21/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 22/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 22/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 22/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 23/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 23/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 23/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 24/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 24/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 24/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 27/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 27/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 27/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 29/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 29/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 29/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 30/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 30/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 30/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 31/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 31/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 31/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 03/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 03/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 03/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 05/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 05/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 05/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 06/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
