

<<START>>,<<FMS_METER_MST>>,,,,, 	(23-SEP-2025 12:13:26)
 
COMPANY_CD,CD,ABBR,PLANT_SEQ,METER_TYPE,METER_SEQ,TIMESTAMP
2 ,29 , PipeInfra , 1 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,29 , PipeInfra , 1 , R , 2, 	(23-SEP-2025 12:13:26)
2 ,45 , GSPL , 1 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,45 , GSPL , 1 , R , 2, 	(23-SEP-2025 12:13:26)
2 ,45 , GSPL , 2 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,45 , GSPL , 4 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,4 , Gail , 6 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,4 , Gail , 6 , R , 2, 	(23-SEP-2025 12:13:26)
2, , PARK-ANK , 1 , R , 2, 	(23-SEP-2025 12:13:26)	 (Not Inserted)
2 ,4 , Gail , 1 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,4 , Gail , 1 , R , 2, 	(23-SEP-2025 12:13:26)
2 ,4 , Gail , 2 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,4 , Gail , 3 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,4 , Gail , 4 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,4 , Gail , 6 , R , 3, 	(23-SEP-2025 12:13:26)
2 ,4 , Gail , 7 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,4 , Gail , 8 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,4 , Gail , 9 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,53 , RGPL , 1 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,29 , PipeInfra , 1 , R , 3, 	(23-SEP-2025 12:13:26)
2 ,29 , PipeInfra , 1 , R , 4, 	(23-SEP-2025 12:13:26)
2 ,29 , PipeInfra , 3 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,29 , PipeInfra , 4 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,29 , PipeInfra , 5 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,29 , PipeInfra , 6 , R , 1, 	(23-SEP-2025 12:13:26)
2 ,134 , GSINLIM , 1 , R , 1, 	(23-SEP-2025 12:13:26)

TOTAL DATA IN EXCEL : ,26,,,,, 	(23-SEP-2025 12:13:26)
 

TOTAL DATA INSERTED : ,25,,,,, 	(23-SEP-2025 12:13:26)
 

TOTAL SKIPPED DATA ,1,,,,, 	(23-SEP-2025 12:13:26)
 
<<END>>,<<FMS_METER_MST>>,,,,, 	(23-SEP-2025 12:13:26)
 

<<START>>,<<FMS_COUNTERPARTY_PLANT_TAX>>,,,,, 	(23-SEP-2025 12:13:46)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,STAT_CD,TIMESTAMP
2 , 1 , RIL , C , 1 , 1001, 	(23-SEP-2025 12:13:46)
2 , 1 , RIL , C , 1 , 1003, 	(23-SEP-2025 12:13:46)
2 , 1 , RIL , C , 1 , 1004, 	(23-SEP-2025 12:13:46)
2 , 1 , RIL , C , 2 , 1001, 	(23-SEP-2025 12:13:46)
2 , 1 , RIL , C , 2 , 1003, 	(23-SEP-2025 12:13:46)
2 , 1 , RIL , C , 2 , 1004, 	(23-SEP-2025 12:13:46)
2 , 1 , RIL , C , 2 , 1005, 	(23-SEP-2025 12:13:46)
2 , 1 , RIL , C , 3 , 1001, 	(23-SEP-2025 12:13:46)
2 , 1 , RIL , C , 3 , 1003, 	(23-SEP-2025 12:13:46)
2 , 1 , RIL , C , 3 , 1004, 	(23-SEP-2025 12:13:46)
2 , 1 , RIL , C , 3 , 1005, 	(23-SEP-2025 12:13:46)
2 , 1 , RIL , C , 4 , 1001, 	(23-SEP-2025 12:13:46)
