

<<START>>,<<FMS_METER_MST>>,,,,, 	(24-FEB-2025 11:42:58)
 
COMPANY_CD,CD,ABBR,PLANT_SEQ,METER_TYPE,METER_SEQ,TIMESTAMP
2 ,29 , PipeInfra , 9 , R , 1, 	(24-FEB-2025 11:42:59)
2 ,29 , PipeInfra , 9 , R , 2, 	(24-FEB-2025 11:42:59)
2 ,29 , PipeInfra , 9 , R , 3, 	(24-FEB-2025 11:42:59)
2 ,29 , PipeInfra , 9 , R , 4, 	(24-FEB-2025 11:42:59)
2 ,45 , GSPL , 1 , R , 1, 	(24-FEB-2025 11:42:59)
2 ,45 , GSPL , 2 , R , 1, 	(24-FEB-2025 11:42:59)
2 ,45 , GSPL , 3 , R , 1, 	(24-FEB-2025 11:42:59)
2 ,45 , GSPL , 4 , R , 1, 	(24-FEB-2025 11:42:59)
2 ,45 , GSPL , 4 , R , 2, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 10 , R , 1, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 10 , R , 2, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 10 , R , 3, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 11 , R , 1, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 11 , R , 2, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 11 , R , 3, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 11 , R , 4, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 12 , R , 1, 	(24-FEB-2025 11:42:59)
2 ,29 , PipeInfra , 10 , R , 1, 	(24-FEB-2025 11:42:59)
2 ,29 , PipeInfra , 10 , R , 2, 	(24-FEB-2025 11:42:59)
2 ,29 , PipeInfra , 10 , R , 3, 	(24-FEB-2025 11:42:59)
2 ,29 , PipeInfra , 11 , R , 1, 	(24-FEB-2025 11:42:59)
2 ,29 , PipeInfra , 11 , R , 2, 	(24-FEB-2025 11:42:59)
2 ,29 , PipeInfra , 11 , R , 3, 	(24-FEB-2025 11:42:59)
2 ,29 , PipeInfra , 12 , R , 1, 	(24-FEB-2025 11:42:59)
2 ,29 , PipeInfra , 12 , R , 2, 	(24-FEB-2025 11:42:59)
2 ,29 , PipeInfra , 12 , R , 3, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 13 , R , 1, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 13 , R , 2, 	(24-FEB-2025 11:42:59)
2 , , PARK-ANK , 1 , R , 1, 	(24-FEB-2025 11:42:59)	 (Not Inserted)
2 , , PARK-ANK , 2 , R , 1, 	(24-FEB-2025 11:42:59)	 (Not Inserted)
2 ,53 , RGPL , 1 , R , 1, 	(24-FEB-2025 11:42:59)
2 ,53 , RGPL , 1 , R , 2, 	(24-FEB-2025 11:42:59)
2 , , PARK-MSK , 1 , R , 1, 	(24-FEB-2025 11:42:59)	 (Not Inserted)
2 , , PARK-BHD , 1 , R , 1, 	(24-FEB-2025 11:42:59)	 (Not Inserted)
2 , , PARKPHUCBM , 1 , R , 1, 	(24-FEB-2025 11:42:59)	 (Not Inserted)
2 ,29 , PipeInfra , 13 , R , 1, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 1 , R , 2, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 1 , R , 3, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 1 , R , 4, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 2 , R , 2, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 2 , R , 3, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 3 , R , 2, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 3 , R , 3, 	(24-FEB-2025 11:42:59)
2 ,4 , Gail , 4 , R , 1, 	(24-FEB-2025 11:42:59)
