

<<START>>,<<FMS_COUNTERPARTY_MST_Update_IGX>>,, 	(24-JUN-2025 16:45:16)
 
CD,ABBR,IGX,TIMESTAMP
1 , RIL,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
2 , MGL,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
3 , GSPCL,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
4 , Gail,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , BPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , BPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , EPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , EPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
217 , ESL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
217 , ESL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
5 , NTPC,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
6 , KRIBHCO,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
7 , DFPCL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
8 , AIGL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
218 , ESEZ,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
32 , KFL,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
242 , MAHAGENCO,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
249 , NPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
9 , SIGIL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
9 , SIGIL,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
225 , VIL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , VSIL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
10 , GGCL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
11 , TPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
280 , WMSL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
12 , MNGL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
13 , IGL,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
