

<<START>>,<<FMS_INT_PAY_RATE_ENTRY>>,, 	(26-FEB-2025 11:35:47)
 
CD,NAME,EFF_DT,TIMESTAMP
3 , CUSTOMS RATE , 12/09/2003 00:00:00, 	(26-FEB-2025 11:35:47)	 (Not Inserted)
3 , CUSTOMS RATE , 01/06/2011 00:00:00, 	(26-FEB-2025 11:35:47)	 (Not Inserted)
5 , LIBOR , 11/03/2010 00:00:00, 	(26-FEB-2025 11:35:47)	 (Not Inserted)
2 , RBI PLR , 01/01/2010 00:00:00, 	(26-FEB-2025 11:35:47)	 (Not Inserted)
2 , RBI PLR , 11/03/2010 00:00:00, 	(26-FEB-2025 11:35:47)	 (Not Inserted)
5 , LIBOR , 17/02/2010 00:00:00, 	(26-FEB-2025 11:35:47)	 (Not Inserted)
1 , SBI PLR , 17/02/2010 00:00:00, 	(26-FEB-2025 11:35:47)	 (Not Inserted)
3 , CUSTOMS RATE , 01/01/2009 00:00:00, 	(26-FEB-2025 11:35:47)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,8,, 	(26-FEB-2025 11:35:47)
 

TOTAL DATA INSERTED : ,0,, 	(26-FEB-2025 11:35:47)
 

TOTAL SKIPPED DATA ,8,, 	(26-FEB-2025 11:35:47)
 
<<END>>,<<FMS_INT_PAY_RATE_ENTRY>>,, 	(26-FEB-2025 11:35:47)
 
