

<<START>>,<<FMS_EXCHG_RATE_ENTRY>>,, 	(26-FEB-2025 13:12:03)
 
CD,NAME,EFF_DT,TIMESTAMP
15 ,SBI RATE SELL , 31/07/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
13 ,SBI RATE BUY , 30/07/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
14 ,SBI RATE BUY SELL , 30/07/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
13 ,SBI RATE BUY , 31/07/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
14 ,SBI RATE BUY SELL , 31/07/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
6 ,CUSTOM EXCHANGE RATE , 21/08/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
 ,GROUP FOREIGN EXCH RATE , 21/08/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
2 ,SBI FIRST RATE TT BUY , 31/08/2020 00:00:00, 	(26-FEB-2025 13:12:03)
4 ,SBI FIRST RATE TT SELL , 31/08/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
5 ,SBI FIRST RATE TT BUY SELL , 31/08/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
13 ,SBI RATE BUY , 30/09/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
14 ,SBI RATE BUY SELL , 30/09/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
4 ,SBI FIRST RATE TT SELL , 01/10/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
2 ,SBI FIRST RATE TT BUY , 01/10/2020 00:00:00, 	(26-FEB-2025 13:12:03)
5 ,SBI FIRST RATE TT BUY SELL , 01/10/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
4 ,SBI FIRST RATE TT SELL , 08/10/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
2 ,SBI FIRST RATE TT BUY , 08/10/2020 00:00:00, 	(26-FEB-2025 13:12:03)
5 ,SBI FIRST RATE TT BUY SELL , 08/10/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
13 ,SBI RATE BUY , 30/10/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
15 ,SBI RATE SELL , 30/10/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
14 ,SBI RATE BUY SELL , 30/10/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
4 ,SBI FIRST RATE TT SELL , 30/10/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
2 ,SBI FIRST RATE TT BUY , 30/10/2020 00:00:00, 	(26-FEB-2025 13:12:03)
5 ,SBI FIRST RATE TT BUY SELL , 30/10/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
6 ,CUSTOM EXCHANGE RATE , 25/11/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
 ,GROUP FOREIGN EXCH RATE , 25/11/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
13 ,SBI RATE BUY , 27/11/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
15 ,SBI RATE SELL , 27/11/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
14 ,SBI RATE BUY SELL , 27/11/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
2 ,SBI FIRST RATE TT BUY , 30/11/2020 00:00:00, 	(26-FEB-2025 13:12:03)
4 ,SBI FIRST RATE TT SELL , 30/11/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
5 ,SBI FIRST RATE TT BUY SELL , 30/11/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
13 ,SBI RATE BUY , 30/11/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
15 ,SBI RATE SELL , 30/11/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
14 ,SBI RATE BUY SELL , 30/11/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
2 ,SBI FIRST RATE TT BUY , 15/12/2020 00:00:00, 	(26-FEB-2025 13:12:03)
4 ,SBI FIRST RATE TT SELL , 15/12/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
5 ,SBI FIRST RATE TT BUY SELL , 15/12/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
7 ,DLNG SBI FAR , 15/12/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
2 ,SBI FIRST RATE TT BUY , 31/12/2020 00:00:00, 	(26-FEB-2025 13:12:03)
4 ,SBI FIRST RATE TT SELL , 31/12/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
5 ,SBI FIRST RATE TT BUY SELL , 31/12/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
7 ,DLNG SBI FAR , 31/12/2020 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
2 ,SBI FIRST RATE TT BUY , 12/01/2021 00:00:00, 	(26-FEB-2025 13:12:03)
4 ,SBI FIRST RATE TT SELL , 12/01/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
5 ,SBI FIRST RATE TT BUY SELL , 12/01/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
2 ,SBI FIRST RATE TT BUY , 04/02/2021 00:00:00, 	(26-FEB-2025 13:12:03)
5 ,SBI FIRST RATE TT BUY SELL , 04/02/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
2 ,SBI FIRST RATE TT BUY , 05/02/2021 00:00:00, 	(26-FEB-2025 13:12:03)
5 ,SBI FIRST RATE TT BUY SELL , 05/02/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
7 ,DLNG SBI FAR , 15/02/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
2 ,SBI FIRST RATE TT BUY , 15/02/2021 00:00:00, 	(26-FEB-2025 13:12:03)
4 ,SBI FIRST RATE TT SELL , 15/02/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
5 ,SBI FIRST RATE TT BUY SELL , 15/02/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
13 ,SBI RATE BUY , 15/02/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
15 ,SBI RATE SELL , 15/02/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
14 ,SBI RATE BUY SELL , 15/02/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
 ,GROUP FOREIGN EXCH RATE , 11/02/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
6 ,CUSTOM EXCHANGE RATE , 11/02/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
4 ,SBI FIRST RATE TT SELL , 22/03/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
2 ,SBI FIRST RATE TT BUY , 22/03/2021 00:00:00, 	(26-FEB-2025 13:12:03)
5 ,SBI FIRST RATE TT BUY SELL , 22/03/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
6 ,CUSTOM EXCHANGE RATE , 21/06/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
 ,GROUP FOREIGN EXCH RATE , 21/06/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
2 ,SBI FIRST RATE TT BUY , 12/07/2021 00:00:00, 	(26-FEB-2025 13:12:03)
4 ,SBI FIRST RATE TT SELL , 12/07/2021 00:00:00, 	(26-FEB-2025 13:12:03)	 (Not Inserted)
