

<<START>>,<<FMS_CONT_PRICE_DTL>>,,, 	(02-APR-2025 13:14:25)
 
COMPANY_CD,MAPPING_ID,CONTRACT_TYPE,SEQ_NO,TIMESTAMP
2,15-1-725001-1 ,N ,1, 	(02-APR-2025 13:14:26)
2,20-1-725001-1 ,N ,1, 	(02-APR-2025 13:14:26)
2,20-1-725002-1 ,N ,1, 	(02-APR-2025 13:14:26)
2,154---, N ,1, 	(02-APR-2025 13:14:26)	 (Not Inserted)
2,154---, N ,1, 	(02-APR-2025 13:14:26)	 (Not Inserted)
2,256-1-725082-1 ,N ,1, 	(02-APR-2025 13:14:26)
2,256-1-725086-1 ,N ,1, 	(02-APR-2025 13:14:26)
2,256-1-725087-1 ,N ,1, 	(02-APR-2025 13:14:26)
2,256-1-725088-1 ,N ,1, 	(02-APR-2025 13:14:26)
2,256-1-725089-1 ,N ,1, 	(02-APR-2025 13:14:26)
2,110-1-725010-1 ,N ,1, 	(02-APR-2025 13:14:26)
2,110-1-725012-1 ,N ,1, 	(02-APR-2025 13:14:26)
2,110-1-725013-1 ,N ,1, 	(02-APR-2025 13:14:26)
2,110-1-725014-1 ,N ,1, 	(02-APR-2025 13:14:26)
2,110-1-725015-1 ,N ,1, 	(02-APR-2025 13:14:26)
2,110-1-725016-1 ,N ,1, 	(02-APR-2025 13:14:26)

TOTAL DATA IN EXCEL : 16,,,, 	(02-APR-2025 13:14:26)
 

TOTAL DATA INSERTED : 14,,,, 	(02-APR-2025 13:14:26)
 

TOTAL SKIPPED DATA 2,,,, 	(02-APR-2025 13:14:26)
 
<<END>>,<<FMS_CONT_PRICE_DTL>>,,, 	(02-APR-2025 13:14:26)
 

<<START>>,<<FMS_CONT_PRICE_MIN_DTL>>,,,, 	(02-APR-2025 13:14:51)
 
COMPANY_CD,MAPPING_ID,CONTRACT_TYPE,SEQ_NO,CURVE_NM,TIMESTAMP

TOTAL DATA IN EXCEL : 0,,,,, 	(02-APR-2025 13:14:51)
 

TOTAL DATA INSERTED : 0,,,,, 	(02-APR-2025 13:14:51)
 

TOTAL SKIPPED DATA 0,,,,, 	(02-APR-2025 13:14:51)
 
<<END>>,<<FMS_CONT_PRICE_MIN_DTL>>,,,, 	(02-APR-2025 13:14:51)
 
