

<<START>>,<<FMS_BUY_DAILY_BUYER_NOM>>,,,,,, 	(02-JUN-2025 10:11:11)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,1, 0, 0,823034, 4,D, 	(02-JUN-2025 10:11:11)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,61, 0, 0,822030, 1,I, 	(02-JUN-2025 10:11:11)
2,61, 0, 0,822030, 1,I, 	(02-JUN-2025 10:11:11)
2,51, 0, 0,822014, 1,I, 	(02-JUN-2025 10:11:11)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,51, 0, 0,822014, 1,I, 	(02-JUN-2025 10:11:11)
2,51, 0, 0,822014, 1,I, 	(02-JUN-2025 10:11:11)
2,51, 0, 0,822014, 1,I, 	(02-JUN-2025 10:11:11)
2,51, 0, 0,822014, 1,I, 	(02-JUN-2025 10:11:11)
2,51, 0, 0,822014, 1,I, 	(02-JUN-2025 10:11:11)
2,51, 0, 0,822014, 1,I, 	(02-JUN-2025 10:11:11)
2,51, 0, 0,822014, 1,I, 	(02-JUN-2025 10:11:11)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
2,, , ,, ,, 	(02-JUN-2025 10:11:11)	 (Not Inserted)
